,"Agriculture, forest and other land use",Industrial process and product use,Other,Stationary energy,Transport,Unnamed: 0,Waste management,city,country,inventory_type
523,0.0,0.0,0.0,0.0,210.0,523.0,0.0,"Shibuya City, Japan",Japan,Government operations inventory
524,0.0,0.0,,8760000.0,2770000.0,524.0,279000.0,"Shiga Prefecture, Japan",Japan,Community inventories
525,301058.0,25917.0,,4388488.0,1301740.0,525.0,146803.0,"Shimane Prefecture, Japan",Japan,Community inventories
526,0.0,0.0,92750.0,0.0,0.0,526.0,0.0,"Shimane Prefecture, Japan",Japan,Government operations inventory
527,0.0,0.0,0.0,0.0,0.0,527.0,0.0,"Shimokawa Town, Japan",Japan,Government operations inventory
528,0.0,0.0,,2773000.0,532000.0,528.0,31000.0,"Shimonoseki City, Japan",Japan,Community inventories
529,0.0,0.0,0.0,0.0,2302.0,529.0,50297.0,"Shimonoseki City, Japan",Japan,Government operations inventory
530,0.0,0.0,,2535000.0,536000.0,530.0,37000.0,"Shinjuku City, Japan",Japan,Community inventories
531,0.0,0.0,0.0,0.0,0.0,531.0,0.0,"Shinjuku City, Japan",Japan,Government operations inventory
532,0.0,0.0,,4166700.0,1400500.0,532.0,105700.0,"Shizuoka City, Japan",Japan,Community inventories
533,0.0,0.0,113871.0,0.0,2172.0,533.0,135685.0,"Shizuoka City, Japan",Japan,Government operations inventory
534,0.0,0.0,,22614000.0,7205000.0,534.0,751000.0,"Shizuoka Prefecture, Japan",Japan,Community inventories
535,0.0,0.0,,1180000.0,340000.0,535.0,47000.0,"Suita City, Japan",Japan,Community inventories
536,0.0,0.0,0.0,0.0,619.0,536.0,54200.0,"Suita City, Japan",Japan,Government operations inventory
537,0.0,0.0,,839000.0,275000.0,537.0,33000.0,"Sumida City, Japan",Japan,Community inventories
538,0.0,0.0,20727.0,0.0,0.0,538.0,0.0,"Sumida City, Japan",Japan,Government operations inventory
539,0.0,0.0,,908000.0,284000.0,539.0,25000.0,"Taito City, Japan",Japan,Community inventories
540,0.0,0.0,0.0,0.0,248.0,540.0,0.0,"Taito City, Japan",Japan,Government operations inventory
541,0.0,0.0,,486134.0,150766.0,541.0,27461.0,"Takarazuka City, Japan",Japan,Community inventories
542,0.0,0.0,20.249000000000002,0.0,15.014000000000001,542.0,34429.376000000004,"Takarazuka City, Japan",Japan,Government operations inventory
543,0.0,0.0,,1078000.0,255000.0,543.0,69000.0,"Takatsuki City, Japan",Japan,Community inventories
544,0.0,0.0,0.0,0.0,0.0,544.0,0.0,"Takatsuki City, Japan",Japan,Government operations inventory
545,0.0,0.0,,1088357.0,407021.0,545.0,33418.0,"Tokushima City, Japan",Japan,Community inventories
546,0.0,0.0,,0.0,0.0,546.0,0.0,"Tokyo Metropolitan Government, Japan",Japan,Community inventories
