,"Agriculture, forest and other land use",Industrial process and product use,Stationary energy,Transport,Waste management,city,country,inventory_type,Other
36,0.0,0.0,1947968.0,1023580.0,715468.0,"Municipality of Rosario, Argentina",Argentina,Community inventories,
37,157066.8374,0.0,29569.06108,16055.85509,2137.32851,"Municipality of Salliqueló, Argentina",Argentina,Community inventories,
38,0.0,0.0,0.0,0.0,2137.34,"Municipality of Salliqueló, Argentina",Argentina,Government operations inventory,0.0
39,10036.76349,0.0,8343.49248,5256.803768,1560.875559,"Municipality of San Carlos Sud, Argentina",Argentina,Community inventories,
40,0.0,0.0,0.0,0.0,1560.88,"Municipality of San Carlos Sud, Argentina",Argentina,Government operations inventory,0.0
41,0.0,0.0,3.0,1785.0,54.0,"Municipality of San Isidro, Argentina",Argentina,Community inventories,
42,0.0,0.0,0.0,0.0,329309.64999999997,"Municipality of San Isidro, Argentina",Argentina,Government operations inventory,0.0
43,0.0,0.0,522664.3071,373270.8974,109031.3128,"Municipality of Santa Fe de la Vera Cruz, Argentina",Argentina,Community inventories,
44,0.0,0.0,0.0,0.0,109031.31,"Municipality of Santa Fe de la Vera Cruz, Argentina",Argentina,Government operations inventory,0.0
45,64757.0,0.0,9119.0,15436.0,3938.0,"Municipality of Totoras, Argentina",Argentina,Community inventories,
46,0.0,0.0,0.0,0.0,3937.23,"Municipality of Totoras, Argentina",Argentina,Government operations inventory,0.0
47,20096.0,0.0,158071.0,121039.0,46182.0,"Municipality of Venado Tuerto, Argentina",Argentina,Community inventories,
48,2533.0,0.0,2988.0,21871.0,838.0,"Municipality of Villa Pehuenia, Argentina",Argentina,Community inventories,
49,0.0,0.0,563778.0,332267.0,66511.0,"Adelaide City Council, Australia",Australia,Community inventories,
50,0.0,0.0,0.0,0.0,0.0,"Australian Capital Territory Government, Australia",Australia,Community inventories,
51,0.0,0.0,0.0,40633.11,0.0,"Australian Capital Territory Government, Australia",Australia,Government operations inventory,0.0
52,27636.0,0.0,235662.0,95004.0,0.0,"Byron Shire Council, Australia",Australia,Community inventories,
53,0.0,0.0,0.0,0.0,0.0,"Byron Shire Council, Australia",Australia,Government operations inventory,0.0
54,0.0,0.0,0.0,0.0,0.0,"City of Joondalup, Australia",Australia,Community inventories,
55,0.0,0.0,0.0,0.0,0.0,"City of Joondalup, Australia",Australia,Government operations inventory,0.0
56,0.0,0.0,362045.13,321756.0,96590.0,"City of Mandurah, Australia",Australia,Community inventories,
57,0.0,0.0,0.0,0.0,0.0,"City of Mandurah, Australia",Australia,Government operations inventory,3094.0
58,0.0,0.0,563825.405,352558.0725,264706.5476,"City of Melville, Australia",Australia,Community inventories,
59,0.0,0.0,4563794.0,895105.0,308037.0,"City of Sydney, Australia",Australia,Community inventories,
60,0.0,0.0,0.0,2373.0,0.0,"City of Sydney, Australia",Australia,Government operations inventory,5996.0
61,0.0,0.0,0.0,0.0,0.0,"Mornington Peninsula Shire Council, Australia",Australia,Community inventories,
62,0.0,0.0,0.0,0.0,0.0,"Mornington Peninsula Shire Council, Australia",Australia,Government operations inventory,0.0
63,0.0,0.0,0.0,911.0,0.0,"Port Phillip City Council, Australia",Australia,Government operations inventory,0.0
64,0.0,0.0,541420.0,269613.0,68915.0,"Tweed Shire Council, Australia",Australia,Community inventories,
65,0.0,0.0,135631606.3,335941.8797,137957.7417,"Yarra City Council, Australia",Australia,Community inventories,
66,0.0,0.0,0.0,0.0,39.0,"Yarra City Council, Australia",Australia,Government operations inventory,0.0
67,0.0,0.0,928575.0,290165.0,0.0,"City of Graz, Austria",Austria,Community inventories,
68,0.0,0.0,2324000.0,848000.0,0.0,"Brussels Capital Region, Belgium",Belgium,Community inventories,
69,0.0,243573.0,2283115.0,1040551.0,0.0,"City of Antwerp, Belgium",Belgium,Community inventories,
70,0.0,0.0,0.0,9318.0,0.0,"City of Antwerp, Belgium",Belgium,Government operations inventory,0.0
71,8740.0,0.0,8667526.0,430477.0,0.0,"City of Ghent, Belgium",Belgium,Community inventories,
72,0.0,0.0,0.0,2173.0,0.0,"City of Ghent, Belgium",Belgium,Government operations inventory,0.0
73,0.0,0.0,0.0,0.0,0.0,"City of Mechelen, Belgium",Belgium,Government operations inventory,0.0
74,0.0,0.0,121564.0,70032.0,0.0,"City of Mouscron, Belgium",Belgium,Community inventories,
75,1224.0,141301.0,0.0,0.0,38704159.0,"City of Mouscron, Belgium",Belgium,Government operations inventory,0.0
76,0.0,0.0,870296.0,2635669.0,1072899.0,"Municipality of Belo Horizonte, Brazil",Brazil,Community inventories,
77,0.0,0.0,0.0,0.0,10759.77,"Municipality of Belo Horizonte, Brazil",Brazil,Government operations inventory,0.0
78,0.0,0.0,381172.0,1168203.0,167526.0,"Municipality of Betim, Brazil",Brazil,Community inventories,
79,1046.0,0.0,526348.0,2974119.0,632350.0,"Municipality of Curitiba, Brazil",Brazil,Community inventories,
80,0.0,51733.0,471432.0,852893.0,78596.0,"Municipality of Duque de Caxias, Brazil",Brazil,Community inventories,
81,0.0,0.0,988453.0,1185359369.0,1551052.0,"Municipality of Fortaleza, Brazil",Brazil,Community inventories,
82,0.0,0.0,0.0,1960186.0,130017699.0,"Municipality of Fortaleza, Brazil",Brazil,Government operations inventory,0.0
83,0.0,0.0,0.0,0.0,0.0,"Municipality of Joinville, Brazil",Brazil,Community inventories,
84,0.0,0.0,0.0,0.0,0.0,"Municipality of Londrina, Brazil",Brazil,Community inventories,
85,0.0,0.0,0.0,0.0,0.0,"Municipality of Londrina, Brazil",Brazil,Government operations inventory,0.0
86,0.0,0.0,0.0,0.0,0.0,"Municipality of Niterói, Brazil",Brazil,Community inventories,
87,0.0,0.0,0.0,0.0,0.0,"Municipality of Porto Alegre, Brazil",Brazil,Community inventories,
88,0.0,0.0,0.0,1471519.0,561086.0,"Municipality of Porto Alegre, Brazil",Brazil,Government operations inventory,0.0
89,0.0,0.0,745804.0,1595831.0,581719.0,"Municipality of Recife, Brazil",Brazil,Community inventories,
90,0.0,0.0,0.0,0.0,0.0,"Municipality of Recife, Brazil",Brazil,Government operations inventory,0.0
91,8772.0,41809790.0,0.0,0.0,2524800.0,"Municipality of Rio de Janeiro, Brazil",Brazil,Community inventories,
92,0.0,0.0,0.0,0.0,554.6600000000001,"Municipality of Rio de Janeiro, Brazil",Brazil,Government operations inventory,0.0
93,0.0,0.0,304053.0,693567.0,233467.0,"Municipality of Sorocaba, Brazil",Brazil,Community inventories,
94,0.0,0.0,0.0,0.0,0.0,"Municipality of Sorocaba, Brazil",Brazil,Government operations inventory,0.0
95,8200.0,0.0,2477033.359,10588750.0,2440400.0,"Municipality of São Paulo, Brazil",Brazil,Community inventories,
96,0.0,0.0,0.0,0.0,554.6600000000001,"Municipality of São Paulo, Brazil",Brazil,Government operations inventory,0.0
97,0.0,0.0,11395871.0,4897000.0,215260.0,"City of Calgary, AB, Canada",Canada,Community inventories,
98,0.0,0.0,0.0,110917.0,0.0,"City of Calgary, AB, Canada",Canada,Government operations inventory,0.0
99,0.0,0.0,18789.0,45301.0,1428.0,"City of Colwood, Canada",Canada,Community inventories,
100,0.0,0.0,0.0,231.0,0.0,"City of Colwood, Canada",Canada,Government operations inventory,0.0
101,-100817.0,1008973.0,10912605.0,4579268.0,155911.0,"City of Edmonton, AB, Canada",Canada,Community inventories,
102,0.0,0.0,0.0,0.0,42179.0,"City of Edmonton, AB, Canada",Canada,Government operations inventory,0.0
103,0.0,0.0,0.0,0.0,0.0,"City of Fredericton, NB, Canada",Canada,Community inventories,
104,0.0,0.0,0.0,0.0,0.0,"City of Fredericton, NB, Canada",Canada,Government operations inventory,0.0
105,0.0,0.0,1638000.0,481000.0,53000.0,"City of Greater Sudbury, ON, Canada",Canada,Community inventories,
106,0.0,0.0,138404.0,186161.0,12627.0,"City of Maple Ridge, Canada",Canada,Community inventories,
107,0.0,0.0,0.0,1290.0,11.0,"City of Maple Ridge, Canada",Canada,Government operations inventory,12.0
108,0.0,0.0,8154586.0,4714000.0,367000.0,"City of Montréal, QC, Canada",Canada,Community inventories,
109,0.0,0.0,0.0,74853.0,331.0,"City of Montréal, QC, Canada",Canada,Government operations inventory,23601.0
110,0.0,0.0,101596.0,98151.0,9974.0,"City of North Vancouver, Canada",Canada,Community inventories,
111,0.0,0.0,0.0,0.0,197.0,"City of North Vancouver, Canada",Canada,Government operations inventory,0.0
112,0.0,0.0,2347437.0,805031.0,35123.0,"City of Richmond, BC, Canada",Canada,Community inventories,
113,0.0,0.0,0.0,3417.0,924.0,"City of Richmond, BC, Canada",Canada,Government operations inventory,1.0
114,0.0,0.0,830758.0,1181111.0,105854.0,"City of Surrey, Canada",Canada,Community inventories,
115,0.0,0.0,0.0,7897.0,0.0,"City of Surrey, Canada",Canada,Government operations inventory,0.0
116,0.0,0.0,549653.0889,342197.1247,159142.2423,"City of Thunder Bay, ON, Canada",Canada,Community inventories,
117,0.0,0.0,2628756.0,2127518.0,203949.0,"City of Vancouver, BC, Canada",Canada,Community inventories,
118,0.0,0.0,0.0,0.0,208994.0,"City of Vancouver, BC, Canada",Canada,Government operations inventory,713.0
119,0.0,0.0,0.0,860.0,0.0,"City of Yellowknife, Canada",Canada,Government operations inventory,0.0
120,0.0,0.0,0.0,0.0,0.0,"District of Delta, BC, Canada",Canada,Community inventories,
121,0.0,0.0,0.0,2219.0,0.0,"District of Delta, BC, Canada",Canada,Government operations inventory,0.0
122,59632.0,0.0,142966.0,80472.0,6731.0,"District of North Cowichan, Canada",Canada,Community inventories,
123,0.0,0.0,0.0,723.0,0.0,"District of North Cowichan, Canada",Canada,Government operations inventory,0.0
124,0.0,0.0,133956.0,262128.0,30384.0,"District of Saanich, Canada",Canada,Community inventories,
125,0.0,0.0,0.0,2487.0,0.0,"District of Saanich, Canada",Canada,Government operations inventory,0.0
126,0.0,0.0,0.0,1002.0,0.0,"District of West Vancouver, Canada",Canada,Government operations inventory,0.0
127,0.0,0.0,0.0,3300.0,241280.0,"Metro Vancouver, BC, Canada",Canada,Government operations inventory,0.0
128,0.0,0.0,0.0,0.0,0.0,"Regional Municipality of Waterloo, Canada",Canada,Community inventories,
129,0.0,0.0,0.0,0.0,0.0,"Regional Municipality of Waterloo, Canada",Canada,Government operations inventory,0.0
130,0.0,0.0,364505.0,133577.0,23168.0,"Town of Ajax, Canada",Canada,Community inventories,
131,0.0,0.0,0.0,833.0,664.0,"Town of Ajax, Canada",Canada,Government operations inventory,0.0
132,34446.0,0.0,137580.0,116203.0,24071.0,"Town of Caledon, Canada",Canada,Community inventories,
133,23042.0,780011.0,165822.0,354165.0,47614.0,"Town of Halton Hills, ON, Canada",Canada,Community inventories,
134,0.0,0.0,0.0,0.0,0.0,"Town of Halton Hills, ON, Canada",Canada,Government operations inventory,0.0
135,0.0,0.0,688375.0,189230.0,7787.0,"Town of Oakville, ON, Canada",Canada,Community inventories,
136,0.0,0.0,0.0,0.0,0.0,"Municipality of Providencia, Chile",Chile,Community inventories,
137,0.0,0.0,0.0,0.0,0.0,"Municipality of Santiago, Chile",Chile,Community inventories,
138,458195.0,104.0,408843.0,139418.0,26710.0,"Municipality of Valdivia, Chile",Chile,Community inventories,
139,44245.0,21660865.0,31244215.0,7405427.0,433613.0,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,Community inventories,
140,0.0,0.0,0.0,0.0,400457.99,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,Government operations inventory,975.23
141,11239.0,4327.0,13763006.0,4856889.0,292145.0,"New Taipei City Government, Chinese Taipei",Chinese Taipei,Community inventories,
142,0.0,0.0,0.0,4134856.0,42458.9,"New Taipei City Government, Chinese Taipei",Chinese Taipei,Government operations inventory,-471839.0
143,162859.8293,26011.49665,3039657.074,1508809.867,133643.8212,"Pingtung County Government, Chinese Taipei",Chinese Taipei,Community inventories,
144,0.0,0.0,0.0,0.0,118306.56999999999,"Pingtung County Government, Chinese Taipei",Chinese Taipei,Government operations inventory,2699.75
145,317978.0,9419014.0,24880592.0,1010222.0,278613.0,"Taichung City Government, Chinese Taipei",Chinese Taipei,Community inventories,
146,388462.0,2428618.0,21756523.0,3444771.0,753343.0,"Tainan City Government, Chinese Taipei",Chinese Taipei,Community inventories,
147,36.0,3267.0,0.0,27970.0,48050.0,"Tainan City Government, Chinese Taipei",Chinese Taipei,Government operations inventory,1548.0
148,2838.0,0.0,9285581.0,3109864.0,415534.0,"Taipei City Government, Chinese Taipei",Chinese Taipei,Community inventories,
149,0.0,0.0,0.0,5010000.0,450500.0,"Taipei City Government, Chinese Taipei",Chinese Taipei,Government operations inventory,4800.0
150,45319.67406,1078462.299,3063634855.0,9991837.554,484894.0068,"Taoyuan City Government, Chinese Taipei",Chinese Taipei,Community inventories,
151,0.0,0.0,0.0,0.0,3258.49,"Taoyuan City Government, Chinese Taipei",Chinese Taipei,Government operations inventory,5006.99
152,592687.0,155562.0,5303656.0,6578072.0,1272471.0,"Capital District of Bogotá, Colombia",Colombia,Community inventories,
153,57.0,0.0,118.0,211.0,780.0,"City of San Jerónimo de Montería, Colombia",Colombia,Community inventories,
154,0.0,0.0,0.0,0.0,0.0,"City of San Jerónimo de Montería, Colombia",Colombia,Government operations inventory,0.0
155,0.0,687636.0,1683925.0,314169.0,337785.0,"Municipality of Barranquilla, Colombia",Colombia,Community inventories,
156,0.0,0.0,0.0,0.0,0.0,"Municipality of Cartago, Colombia",Colombia,Community inventories,
157,0.0,0.0,0.0,0.0,0.0,"Municipality of Cartago, Colombia",Colombia,Government operations inventory,0.0
158,134790.0,56281.0,231854.0,397946.0,103119.0,"Municipality of Ibagué, Colombia",Colombia,Community inventories,
159,0.0,0.0,0.0,0.0,0.0,"Municipality of Medellín, Colombia",Colombia,Government operations inventory,0.0
160,0.0,0.0,0.0,0.0,0.0,"Municipality of Santiago de Cali, Colombia",Colombia,Community inventories,
161,0.0,328868.0,0.0,3104794.0,0.0,"Municipality of Santiago de Cali, Colombia",Colombia,Government operations inventory,0.0
162,535252.0,1695.0,195723.0,259636.0,122189.0,"Municipality of Valledupar, Colombia",Colombia,Community inventories,
163,0.0,0.0,1923000.0,549400.0,20600.0,"City of Copenhagen, Denmark",Denmark,Community inventories,
164,0.0,0.0,0.0,4000.0,0.0,"City of Copenhagen, Denmark",Denmark,Government operations inventory,0.0
165,0.0,0.0,0.0,0.0,0.0,"Municipality of Santa Cruz, Ecuador",Ecuador,Community inventories,
166,0.0,0.0,0.0,0.0,3.0,"Municipality of Santa Cruz, Ecuador",Ecuador,Government operations inventory,17.0
167,0.0,0.0,1988305.0,3418272.0,766587.0,"Municipality of the Metropolitan District of Quito, Ecuador",Ecuador,Community inventories,
168,0.0,0.0,0.0,0.0,0.0,"Municipality of the Metropolitan District of Quito, Ecuador",Ecuador,Government operations inventory,0.0
169,0.0,0.0,0.0,0.0,0.0,"City of Espoo, Finland",Finland,Community inventories,
170,0.0,0.0,0.0,0.0,0.0,"City of Espoo, Finland",Finland,Government operations inventory,0.0
171,1214.0,0.0,1242070.0,722026.0,60782.0,"City of Helsinki, Finland",Finland,Community inventories,
172,0.0,0.0,0.0,0.0,0.0,"City of Helsinki, Finland",Finland,Government operations inventory,0.0
173,107700.0,800.0,478384.0,134469.0,42800.0,"City of Lahti, Finland",Finland,Community inventories,
174,0.0,0.0,0.0,0.0,580.0,"City of Lahti, Finland",Finland,Government operations inventory,0.0
175,0.0,0.0,0.0,0.0,0.0,"City of Lappeenranta, Finland",Finland,Community inventories,
176,0.0,0.0,0.0,0.0,7.0,"City of Lappeenranta, Finland",Finland,Government operations inventory,0.0
177,7500.0,0.0,760400.0,293100.0,71400.0,"City of Tampere, Finland",Finland,Community inventories,
178,0.0,0.0,2449601.0,1211177.0,1416.0,"Bordeaux Metropolis, France",France,Community inventories,
179,0.0,0.0,324233.0,180737.0,28708.0,"City of Besançon, France",France,Community inventories,
180,0.0,0.0,0.0,1331.0,0.0,"City of Besançon, France",France,Government operations inventory,350.0
181,0.0,0.0,0.0,0.0,0.0,"City of Grenoble, France",France,Government operations inventory,0.0
182,0.0,2234.0,5016373.0,2493066.0,448820.0,"City of Paris, France",France,Community inventories,
183,0.0,0.0,0.0,58200.0,67300.0,"City of Paris, France",France,Government operations inventory,0.0
184,0.0,0.0,6099144.0,2196841.0,0.0,"Lille European Metropolis, France",France,Community inventories,
185,27900.0,0.0,5317000.0,1846800.0,0.0,"Lyon Metropolis, France",France,Community inventories,
186,0.0,0.0,0.0,82842.0,153131.0,"Lyon Metropolis, France",France,Government operations inventory,4250.0
187,14584.0,0.0,1778934.0,679726.0,71756.0,"Toulouse Metropolis, France",France,Community inventories,
188,0.0,0.0,0.0,0.0,68200.0,"Toulouse Metropolis, France",France,Government operations inventory,0.0
189,0.0,0.0,1319055.0,757155.0,0.0,"Urban Community of Nantes Métropole, France",France,Community inventories,
190,0.0,0.0,0.0,33118.0,108066.0,"Urban Community of Nantes Métropole, France",France,Government operations inventory,0.0
191,0.0,0.0,8438375.81180729,1147059.80431827,0.0,"City of Hannover, Germany",Germany,Community inventories,
192,0.0,0.0,0.0,0.0,0.0,"City of Hannover, Germany",Germany,Government operations inventory,0.0
193,0.0,343312.0,1709070.0,0.0,0.0,"Federal City of Bonn, Germany",Germany,Community inventories,
194,0.0,0.0,0.0,4066.0,0.0,"Federal City of Bonn, Germany",Germany,Government operations inventory,0.0
195,0.0,0.0,169.0,3117.0,2440.0,"Municipality of Pachalum, Guatemala",Guatemala,Community inventories,
196,0.0,0.0,11212954.0,1267662.0,74149.0,"Ahmedabad Municipal Corporation, India",India,Community inventories,
197,0.0,0.0,0.0,20732.0,0.0,"Ahmedabad Municipal Corporation, India",India,Government operations inventory,46258.0
198,0.0,0.0,3649825.0,1658016.0,166441.3,"Bengaluru Municipal Corporation, India",India,Community inventories,
199,0.0,0.0,449533.32,0.0,0.0,"Bhubaneswar Municipal Corporation, India",India,Community inventories,
200,0.0,0.0,249682.0,0.0,8268.0,"Cochin Municipal Corporation, India",India,Community inventories,
201,0.0,0.0,0.0,2079.0,0.0,"Cochin Municipal Corporation, India",India,Government operations inventory,0.0
202,0.0,0.0,2744821.0,2138767.0,433078.0,"Coimbatore City Municipal Corporation, India",India,Community inventories,
203,0.0,0.0,0.0,0.0,433078.79000000004,"Coimbatore City Municipal Corporation, India",India,Government operations inventory,0.0
204,0.0,0.0,1079215.0,230561.0,0.0,"Dehradun Municipal Corporation, India",India,Community inventories,
205,0.0,0.0,0.0,376.0,0.0,"Dehradun Municipal Corporation, India",India,Government operations inventory,0.0
206,0.0,0.0,5406562.0,0.0,0.0,"Gandhinagar Municipal Corporation, India",India,Community inventories,
207,0.0,0.0,53.0,2195978.0,0.0,"Greater Hyderabad Municipal Corporation, India",India,Community inventories,
208,0.0,4862.0,0.0,171611.0,0.0,"Greater Hyderabad Municipal Corporation, India",India,Government operations inventory,4862.0
209,0.0,0.0,735290.0,306117.0,153832.0,"Gwalior Municipal Corporation, India",India,Community inventories,
210,0.0,0.0,0.0,4719.0,0.0,"Gwalior Municipal Corporation, India",India,Government operations inventory,0.0
211,0.0,0.0,643054.26,449886.92,23145.94,"Indore Municipal Corporation, India",India,Community inventories,
212,0.0,0.0,2425266.0,1303119.0,3708747.0,"Jaipur Municipal Corporation, India",India,Community inventories,
213,0.0,0.0,0.0,3034.0,0.0,"Jaipur Municipal Corporation, India",India,Government operations inventory,0.0
214,0.0,0.0,548400.0,91920.0,60.75,"Kochi Municipal Corporation, India",India,Community inventories,
215,0.0,0.0,563596.0,389229.0,3128.0,"Kota Municipal Corporation, India",India,Community inventories,
216,0.0,0.0,0.0,0.0,0.0,"Kota Municipal Corporation, India",India,Government operations inventory,0.0
217,0.0,0.0,1080058.31,454494.0,0.0,"Nagpur Municipal Corporation, India",India,Community inventories,
218,0.0,0.0,0.0,3333.0,25463.9,"Nagpur Municipal Corporation, India",India,Government operations inventory,0.0
219,0.0,0.0,0.0,357867.0,8708.0,"Nashik City Corporation, India",India,Government operations inventory,0.0
220,0.0,0.0,81275.0,55406.0,10487.0,"Panaji City Municipal Corporation, India",India,Community inventories,
221,0.0,0.0,0.0,0.0,0.0,"Panaji City Municipal Corporation, India",India,Government operations inventory,0.0
222,0.0,0.0,2347782.0,653888.0,183831.0,"Pimpri Chinchwad Municipal Corporation, India",India,Community inventories,
223,0.0,0.0,0.0,1510.0,0.0,"Pimpri Chinchwad Municipal Corporation, India",India,Government operations inventory,0.0
224,0.0,0.0,0.0,0.0,0.0,"Pune Municipal Corporation, India",India,Community inventories,
225,0.0,0.0,0.0,4276.0,0.0,"Pune Municipal Corporation, India",India,Government operations inventory,0.0
226,0.0,0.0,1212538.0,534818.0,272556.0,"Rajkot Municipal Corporation, India",India,Community inventories,
227,0.0,0.0,0.0,0.0,7459.0,"Rajkot Municipal Corporation, India",India,Government operations inventory,0.0
228,0.0,0.0,116364.0,78598.0,23934.0,"Shimla Municipal Corporation, India",India,Community inventories,
229,0.0,0.0,0.0,0.0,0.0,"Shimla Municipal Corporation, India",India,Government operations inventory,0.0
230,0.0,0.0,0.0,0.0,0.0,"Surat Municipal Corporation, India",India,Community inventories,
231,0.0,0.0,0.0,0.0,0.0,"Surat Municipal Corporation, India",India,Government operations inventory,0.0
232,0.0,0.0,1536550.0,2462660.0,77897.0,"Thane Municipal Corporation, India",India,Community inventories,
233,0.0,0.0,0.0,783015.0,0.0,"Thane Municipal Corporation, India",India,Government operations inventory,0.0
234,15016.0,0.0,29521.0,347136.0,89330.0,"City of Balikpapan, Indonesia",Indonesia,Community inventories,
235,7915.0,0.0,0.0,347136.0,3570.7,"City of Balikpapan, Indonesia",Indonesia,Government operations inventory,736.2
236,24.15,0.0,754.36,1394.98,487.49238,"City of Bandung, Indonesia",Indonesia,Community inventories,
237,90.82,63.41,0.0,1394.98,199.0072,"City of Bandung, Indonesia",Indonesia,Government operations inventory,0.0
238,44909.0,0.0,844972.0,27713.0,361402.0,"City of Bogor, Indonesia",Indonesia,Community inventories,
239,0.0,0.0,0.0,0.0,0.0,"City of Bogor, Indonesia",Indonesia,Government operations inventory,0.0
240,10027.0,0.0,722.0,477761.0,286912.0,"City of Malang, Indonesia",Indonesia,Community inventories,
241,0.0,0.0,0.0,0.0,0.0,"City of Malang, Indonesia",Indonesia,Government operations inventory,0.0
242,17422.0,78.0,80541.0,137582.0,0.0,"City of Probolinggo, Indonesia",Indonesia,Community inventories,
243,0.0,0.0,0.0,0.0,0.0,"City of Probolinggo, Indonesia",Indonesia,Government operations inventory,0.0
244,0.0,0.0,362446.06999999995,1101142.93,306708.41,"City of Semarang, Indonesia",Indonesia,Community inventories,
245,0.0,0.0,0.0,1066.0,0.0,"City of Semarang, Indonesia",Indonesia,Government operations inventory,0.0
246,0.0,0.0,0.0,0.0,0.0,"Special Capital Region of Jakarta, Indonesia",Indonesia,Community inventories,
247,0.0,0.0,0.0,0.0,0.0,"Special Capital Region of Jakarta, Indonesia",Indonesia,Government operations inventory,95000.0
248,0.0,0.0,1524473.0,430374.0,398708.0,"Jerusalem Municipality, Israel",Israel,Community inventories,
249,0.0,0.0,0.0,3119.0,12330.0,"Jerusalem Municipality, Israel",Israel,Government operations inventory,0.0
250,15019.2687737828,0.0,1715738.228454994,335364.83243583,0.0,"City of Bologna, Italy",Italy,Community inventories,
251,15019.2687737828,0.0,0.0,0.0,0.0,"City of Bologna, Italy",Italy,Government operations inventory,0.0
252,138150.0,0.0,314319.0,197389.0,0.0,"City of Forlì, Italy",Italy,Community inventories,
