,actions_nr,city,city_profile_url,commitments_nr,country,performance_nr,state
103,2,Santiago Metropolitan Region,http://carbonn.org/city_profiles/Santiago_Metropolitan_Region&text=Santiago%20Metropolitan%20Region%20on%20Carbonn%20Climate%20Registry,0,Chile,0,
104,8,Shenzhen Municipal People's Government,http://carbonn.org/city_profiles/Shenzhen_Municipal_People's_Government&text=Shenzhen%20Municipal%20People's%20Government%20on%20Carbonn%20Climate%20Registry,4,China,0,
105,1,Chiayi City Government,http://carbonn.org/city_profiles/Chiayi_City_Government&text=Chiayi%20City%20Government%20on%20Carbonn%20Climate%20Registry,1,Chinese Taipei,0,
106,31,Kaohsiung City Government,http://carbonn.org/city_profiles/Kaohsiung_City_Government&text=Kaohsiung%20City%20Government%20on%20Carbonn%20Climate%20Registry,12,Chinese Taipei,9,
107,58,New Taipei City Government,http://carbonn.org/city_profiles/New_Taipei_City_Government&text=New%20Taipei%20City%20Government%20on%20Carbonn%20Climate%20Registry,5,Chinese Taipei,4,
108,2,Pingtung County Government,http://carbonn.org/city_profiles/Pingtung_County_Government&text=Pingtung%20County%20Government%20on%20Carbonn%20Climate%20Registry,4,Chinese Taipei,2,
109,112,Taichung City Government,http://carbonn.org/city_profiles/Taichung_City_Government&text=Taichung%20City%20Government%20on%20Carbonn%20Climate%20Registry,1,Chinese Taipei,3,
110,26,Tainan City Government,http://carbonn.org/city_profiles/Tainan_City_Government&text=Tainan%20City%20Government%20on%20Carbonn%20Climate%20Registry,4,Chinese Taipei,5,
111,27,Taipei City Government,http://carbonn.org/city_profiles/Taipei_City_Government&text=Taipei%20City%20Government%20on%20Carbonn%20Climate%20Registry,4,Chinese Taipei,5,
112,0,Taoyuan City Government,http://carbonn.org/city_profiles/Taoyuan_City_Government&text=Taoyuan%20City%20Government%20on%20Carbonn%20Climate%20Registry,5,Chinese Taipei,2,
113,43,Capital District of Bogotá,http://carbonn.org/city_profiles/Capital_District_of_Bogot%C3%A1&text=Capital%20District%20of%20Bogot%C3%A1%20on%20Carbonn%20Climate%20Registry,11,Colombia,2,
114,8,City of Bucaramanga,http://carbonn.org/city_profiles/City_of_Bucaramanga&text=City%20of%20Bucaramanga%20on%20Carbonn%20Climate%20Registry,7,Colombia,0,
115,9,City of Puerto Leguízamo,http://carbonn.org/city_profiles/City_of_Puerto_Legu%C3%ADzamo&text=City%20of%20Puerto%20Legu%C3%ADzamo%20on%20Carbonn%20Climate%20Registry,0,Colombia,0,
116,49,City of San Jerónimo de Montería,http://carbonn.org/city_profiles/City_of_San_Jer%C3%B3nimo_de_Monter%C3%ADa&text=City%20of%20San%20Jer%C3%B3nimo%20de%20Monter%C3%ADa%20on%20Carbonn%20Climate%20Registry,8,Colombia,5,
117,15,Municipality of Armenia,http://carbonn.org/city_profiles/Municipality_of_Armenia&text=Municipality%20of%20Armenia%20on%20Carbonn%20Climate%20Registry,1,Colombia,0,
118,13,Municipality of Barranquilla,http://carbonn.org/city_profiles/Municipality_of_Barranquilla&text=Municipality%20of%20Barranquilla%20on%20Carbonn%20Climate%20Registry,1,Colombia,1,
119,34,Municipality of Cartagena de Indias,http://carbonn.org/city_profiles/Municipality_of_Cartagena_de_Indias&text=Municipality%20of%20Cartagena%20de%20Indias%20on%20Carbonn%20Climate%20Registry,0,Colombia,0,
120,1,Municipality of Cartago,http://carbonn.org/city_profiles/Municipality_of_Cartago&text=Municipality%20of%20Cartago%20on%20Carbonn%20Climate%20Registry,3,Colombia,2,
121,13,Municipality of Ibagué,http://carbonn.org/city_profiles/Municipality_of_Ibagu%C3%A9&text=Municipality%20of%20Ibagu%C3%A9%20on%20Carbonn%20Climate%20Registry,3,Colombia,1,
122,56,Municipality of Medellín,http://carbonn.org/city_profiles/Municipality_of_Medell%C3%ADn&text=Municipality%20of%20Medell%C3%ADn%20on%20Carbonn%20Climate%20Registry,1,Colombia,1,
123,34,Municipality of Pasto,http://carbonn.org/city_profiles/Municipality_of_Pasto&text=Municipality%20of%20Pasto%20on%20Carbonn%20Climate%20Registry,2,Colombia,0,
124,23,Municipality of Santiago de Cali,http://carbonn.org/city_profiles/Municipality_of_Santiago_de_Cali&text=Municipality%20of%20Santiago%20de%20Cali%20on%20Carbonn%20Climate%20Registry,5,Colombia,3,
125,8,Municipality of Valledupar,http://carbonn.org/city_profiles/Municipality_of_Valledupar&text=Municipality%20of%20Valledupar%20on%20Carbonn%20Climate%20Registry,2,Colombia,1,
126,10,Municipality of Villavicencio,http://carbonn.org/city_profiles/Municipality_of_Villavicencio&text=Municipality%20of%20Villavicencio%20on%20Carbonn%20Climate%20Registry,1,Colombia,0,
127,1,Pereira Municipality,http://carbonn.org/city_profiles/Pereira_Municipality&text=Pereira%20Municipality%20on%20Carbonn%20Climate%20Registry,0,Colombia,0,
128,7,Municipality of San Rafael de Heredia,http://carbonn.org/city_profiles/Municipality_of_San_Rafael_de_Heredia&text=Municipality%20of%20San%20Rafael%20de%20Heredia%20on%20Carbonn%20Climate%20Registry,0,Costa Rica,0,
129,6,City of Koprivnica,http://carbonn.org/city_profiles/City_of_Koprivnica&text=City%20of%20Koprivnica%20on%20Carbonn%20Climate%20Registry,0,Croatia,0,
130,11,City of Copenhagen,http://carbonn.org/city_profiles/City_of_Copenhagen&text=City%20of%20Copenhagen%20on%20Carbonn%20Climate%20Registry,2,Denmark,3,
