,city,country,plan_name,plan_type,start year
96,"City of Balikpapan, Indonesia",Indonesia,"City of Balikpapan, Indonesia",Climate mitigation plan,2014
97,"City of Balikpapan, Indonesia",Indonesia,"City of Balikpapan, Indonesia",Climate mitigation plan,2012
98,"City of Balikpapan, Indonesia",Indonesia,"City of Balikpapan, Indonesia",Climate mitigation plan,2017
99,"City of Bekasi, Indonesia",Indonesia,"City of Bekasi, Indonesia",Integrated climate plan,2016
100,"City of Bekasi, Indonesia",Indonesia,"City of Bekasi, Indonesia",Integrated climate plan,2014
101,"City of Bekasi, Indonesia",Indonesia,"City of Bekasi, Indonesia",Climate mitigation plan,2014
102,"City of Bekasi, Indonesia",Indonesia,"City of Bekasi, Indonesia",,2015
103,"City of Bekasi, Indonesia",Indonesia,"City of Bekasi, Indonesia",Climate mitigation plan,2014
104,"City of Bogor, Indonesia",Indonesia,"City of Bogor, Indonesia",Climate mitigation plan,2017
105,"City of Bogor, Indonesia",Indonesia,"City of Bogor, Indonesia",Climate mitigation plan,2011
106,"City of Bogor, Indonesia",Indonesia,"City of Bogor, Indonesia",Climate mitigation plan,2013
107,"City of Bogor, Indonesia",Indonesia,"City of Bogor, Indonesia",Integrated climate plan,2012
108,"City of Bogor, Indonesia",Indonesia,"City of Bogor, Indonesia",,2014
109,"City of Malang, Indonesia",Indonesia,"City of Malang, Indonesia",Integrated climate plan,2017
110,"City of Malang, Indonesia",Indonesia,"City of Malang, Indonesia",Integrated climate plan,2017
111,"City of Malang, Indonesia",Indonesia,"City of Malang, Indonesia",Climate adaptation /resilience plan,2015
112,"City of Malang, Indonesia",Indonesia,"City of Malang, Indonesia",Climate mitigation plan,2017
113,"City of Probolinggo, Indonesia",Indonesia,"City of Probolinggo, Indonesia",Climate adaptation /resilience plan,2013
114,"City of Probolinggo, Indonesia",Indonesia,"City of Probolinggo, Indonesia",Integrated climate plan,2013
115,"City of Probolinggo, Indonesia",Indonesia,"City of Probolinggo, Indonesia",,2013
116,"City of Probolinggo, Indonesia",Indonesia,"City of Probolinggo, Indonesia",,2013
117,"City of Probolinggo, Indonesia",Indonesia,"City of Probolinggo, Indonesia",Integrated climate plan,2013
118,"City of Tangerang, Indonesia",Indonesia,"City of Tangerang, Indonesia",Climate mitigation plan,2017
119,"City of Tangerang, Indonesia",Indonesia,"City of Tangerang, Indonesia",Climate mitigation plan,2017
120,"City of Tangerang, Indonesia",Indonesia,"City of Tangerang, Indonesia",Climate mitigation plan,2017
121,"City of Tangerang, Indonesia",Indonesia,"City of Tangerang, Indonesia",Climate mitigation plan,2017
