,"Agriculture, forest and other land use",Industrial process and product use,Stationary energy,Transport,Waste management,city,country,inventory_type,Other
76,1387.123214,0.0,67790.00237,49730.20012,9365.366473,"Municipality of Nogoyá, Argentina",Argentina,Community inventories,
77,0.0,0.0,0.0,0.0,9365.369999999999,"Municipality of Nogoyá, Argentina",Argentina,Government operations inventory,0.0
78,1768629.154,675948.0,566389.7079,285471.9358,58899.61069,"Municipality of Olavarría, Argentina",Argentina,Community inventories,
79,0.0,0.0,0.0,0.0,59504.42,"Municipality of Olavarría, Argentina",Argentina,Government operations inventory,3375.64
80,0.0,0.0,407330.7314,292492.6217,128429.593,"Municipality of Paraná, Argentina",Argentina,Community inventories,
81,0.0,0.0,0.0,0.0,128429.59,"Municipality of Paraná, Argentina",Argentina,Government operations inventory,0.0
82,1384.0,0.0,6881.0,2218.0,3940.0,"Municipality of Potrero de los Funes, Argentina",Argentina,Community inventories,
83,0.0,0.0,0.0,0.0,3941.12,"Municipality of Potrero de los Funes, Argentina",Argentina,Government operations inventory,0.0
84,26.91,0.0,44902.09,28769.0,20148.93,"Municipality of Pérez, Argentina",Argentina,Community inventories,
85,0.0,0.0,0.0,0.0,15698590.340000002,"Municipality of Pérez, Argentina",Argentina,Government operations inventory,0.0
86,35439.38243,0.0,181243.9285,123059.5879,97533.21717,"Municipality of Rafaela, Argentina",Argentina,Community inventories,
87,0.0,0.0,0.0,0.0,97533.20999999999,"Municipality of Rafaela, Argentina",Argentina,Government operations inventory,0.0
88,0.0,0.0,373439.0207,337166.0713,139796.2169,"Municipality of Resistencia, Argentina",Argentina,Community inventories,
89,0.0,0.0,0.0,0.0,139796.22,"Municipality of Resistencia, Argentina",Argentina,Government operations inventory,0.0
90,501885.4035,0.0,39903.07292,34462.11525,4023.144763,"Municipality of Rivadavia, Argentina",Argentina,Community inventories,
91,0.0,0.0,0.0,0.0,3968.0,"Municipality of Rivadavia, Argentina",Argentina,Government operations inventory,0.0
92,185689.7121,0.0,67183.29796,8352.072247,12876.03752,"Municipality of Rojas, Argentina",Argentina,Community inventories,
93,0.0,0.0,0.0,0.0,12876.039999999999,"Municipality of Rojas, Argentina",Argentina,Government operations inventory,794.5
94,0.0,0.0,1947968.0,1023580.0,715468.0,"Municipality of Rosario, Argentina",Argentina,Community inventories,
95,25304.48082,0.0,513603.97,407051.3235,114113.8817,"Municipality of Río Cuarto, Argentina",Argentina,Community inventories,
96,0.0,0.0,0.0,0.0,120740.72,"Municipality of Río Cuarto, Argentina",Argentina,Government operations inventory,0.0
97,157066.8374,0.0,29569.06108,16055.85509,2137.32851,"Municipality of Salliqueló, Argentina",Argentina,Community inventories,
98,0.0,0.0,0.0,0.0,2137.34,"Municipality of Salliqueló, Argentina",Argentina,Government operations inventory,0.0
99,0.0,0.0,779415.1214,858290.0729,227727.8883,"Municipality of Salta, Argentina",Argentina,Community inventories,
100,0.0,0.0,0.0,0.0,321117.66,"Municipality of Salta, Argentina",Argentina,Government operations inventory,0.0
101,88498.61193,0.0,56347.79915,36565.61842,4497.5217,"Municipality of San Antonio de Areco, Argentina",Argentina,Community inventories,
102,0.0,0.0,0.0,0.0,4497.52,"Municipality of San Antonio de Areco, Argentina",Argentina,Government operations inventory,0.0
103,10036.76349,0.0,8343.49248,5256.803768,1560.875559,"Municipality of San Carlos Sud, Argentina",Argentina,Community inventories,
104,0.0,0.0,0.0,0.0,1560.88,"Municipality of San Carlos Sud, Argentina",Argentina,Government operations inventory,0.0
105,826.2617921,0.0,217595.4252,198207.8492,89081.1727,"Municipality of San Fernando del Valle de Catamarca, Argentina",Argentina,Community inventories,
106,0.0,0.0,0.0,0.0,97106.86,"Municipality of San Fernando del Valle de Catamarca, Argentina",Argentina,Government operations inventory,797.37
107,2365.0,0.0,683811.0,364007.0,329310.0,"Municipality of San Isidro, Buenos Aires, Argentina",Argentina,Community inventories,
108,0.0,0.0,0.0,0.0,329309.64999999997,"Municipality of San Isidro, Buenos Aires, Argentina",Argentina,Government operations inventory,0.0
109,5337.904908,0.0,141131.4358,55488.32556,46643.682,"Municipality of San Martín de los Andes, Argentina",Argentina,Community inventories,
110,0.0,0.0,0.0,0.0,46712.78,"Municipality of San Martín de los Andes, Argentina",Argentina,Government operations inventory,0.0
