,name,country,population,adhesion_date,latitude,longitude,url,ACTION,MONITOR
2178,Dimos Mylopotamou,Greece,14363,07/02/2014,35.36935043335,24.704389572144,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17908,1,1
2179,Dimos Papagou - Cholargou,Greece,47714,07/10/2014,37.998268127441,23.800399780273,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19173,1,1
2180,Dimos Sidikis,Greece,28832,29/10/2012,41.215511322021,23.3610496521,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16222,1,1
2181,Dinant,Belgium,13539,"Bièvre,Dinant,Anhée,Beauraing",50.259237293029,4.9128305912018,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=25559,1,1
2182,Dion Olympus,Greece,25872,26/01/2015,40.171298980713,22.483240127564,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19522,1,1
2183,Dionysos,Greece,40000,25/10/2011,38.139240264893,23.863489151001,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=14854,1,1
2184,Dipignano,Italy,4506,22/04/2010,39.23860168457,16.253900527954,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=13793,0,1
2185,Diso,Italy,3137,"Ortelle,Uggiano la Chiesa,Botrugno,Giuggianello,Spongano,Minervino di Lecce,Diso,Muro Leccese,Supersano,Sanarica,Surano,San Cassiano,Nociglia,Otranto,Giurdignano,Maglie",40.009998321533,18.239999771118,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=14735,0,1
2186,Dison,Belgium,15259,18/01/2016,50.608409881592,5.8545198440552,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19991,0,1
2187,Distomo Arahova Antikira,Greece,8101,23/05/2013,38.429809570312,22.666809082031,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16918,1,1
2188,District 3 of Bucharest,Romania,468547,25/08/2017,44.420700073242,26.136390686035,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20279,1,1
2189,District 6 of Bucharest ,Romania,360000,30/01/2018,44.437648773193,26.043939590454,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20461,1,1
2190,District of Sassello,Italy,3100,09/10/2013,44.479511260986,8.4900999069214,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17637,1,1
2191,Divača,Slovenia,3814,27/02/2013,45.68291091919,13.96971988678,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16743,1,1
2192,Divychky,Ukraine,5308,24/05/2018,50.077072671221,31.266872427461,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=25289,1,1
2193,Dnipro,Ukraine,1002636,19/07/2017,48.270000457764,35.009998321533,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20270,1,1
2194,Doberdò del Lago,Italy,1455,09/12/2013,45.84423828125,13.540229797363,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17757,1,1
2195,Doboj,Bosnia-herzegovina,69343,18/06/2015,44.731418609619,18.083320617676,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19184,1,1
2196,Doboj Istok,Bosnia-herzegovina,10886,05/11/2019,44.729419727968,18.172052068297,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26959,1,1
2197,Doboj Jug,Bosnia-herzegovina,4500,25/10/2019,44.696313297144,18.050429821014,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26960,1,1
2198,Dobropillia TC,Ukraine,45563,19/02/2014,48.422710418701,37.054458618164,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17822,0,1
2199,Dochia,Romania,2900,19/04/2011,46.913600921631,26.569339752197,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15985,0,1
2200,Dodro,Spain,2790,16/03/2018,42.715772720414,-8.7041759490967,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=25191,1,1
2201,Dogliani,Italy,8403,30/06/2010,44.530601501465,7.9459099769592,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=13841,0,1
2202,Dogliola,Italy,500,09/11/2009,41.942001342773,14.636400222778,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=12633,0,1
2203,Doische,Belgium,2921,"Doische,Couvin,arrondissement de Philippeville,Cerfontaine,Pollec 3 - arrondissement de Philippeville et une partie de ",50.141876553962,4.741399108698,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=25426,0,1
2204,Dokšycy,Belarus,26828,28/12/2017,54.895389556885,27.759929656982,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20397,1,1
2205,Dolceacqua,Italy,2061,19/10/2012,43.848049163818,7.6235299110413,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16149,1,1
2206,Dolcè,Italy,2590,28/05/2012,45.362998962402,10.517000198364,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18409,0,1
2207,Dolhesti,Romania,2800,14/03/2011,46.874820709229,27.896209716797,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15937,1,1
2208,Dolni Chiflik,Bulgaria,19360,02/03/2010,43.018371582031,27.70751953125,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16957,1,1
2209,Domegge di Cadore,Italy,2645,22/09/2014,46.459201812744,12.41273021698,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18379,1,1
2210,Domokos,Greece,11670,29/05/2013,39.119609832764,22.313230514526,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16945,1,1
2211,Domodossola,Italy,18449,28/02/2013,46.113220214844,8.2919797897339,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17195,1,1
2212,Domus De Maria,Italy,1691,16/06/2016,38.963291168213,8.8583297729492,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20187,0,1
2213,Don Benito,Spain,36971,27/04/2015,38.956318887982,-5.8617386676758,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19855,1,1
2214,Don Álvaro,Spain,853,30/05/2012,38.848129272461,-6.2747502326965,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15680,0,1
2215,Donamaria,Spain,431,"Bera,Oitz,Igantzi,Lesaka,Baztan,Donamaria,Bertizarana,Etxalar,Eratsun,Ituren,Urrotz,Doneztebe,Beintza-Labaien,Arantza,Saldias,Elgorriaga,Zubieta,Ezkurra",43.111259782807,-1.6727757453918,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27164,1,1
2216,Donauwörth,Germany,18240,21/10/2010,48.719501495361,10.776900291443,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=13746,1,1
2217,Donceel,Belgium,3128,28/08/2013,50.382099151611,5.1922001838684,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17939,1,1
2218,Dondușeni,"Moldova, Republic Of",7101,02/06/2017,48.233829498291,27.599809646606,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20238,1,1
2219,Doneztebe,Spain,1729,"Bera,Oitz,Igantzi,Lesaka,Baztan,Donamaria,Bertizarana,Etxalar,Eratsun,Ituren,Urrotz,Doneztebe,Beintza-Labaien,Arantza,Saldias,Elgorriaga,Zubieta,Ezkurra",43.130994123626,-1.6687417030334,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26934,1,1
2220,Donji Miholjac,Croatia,9468,20/06/2012,45.759521484375,18.160919189453,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15749,0,1
2221,Donji Vakuf,Bosnia-herzegovina,13985,30/12/2020,44.144853446777,17.394897937775,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27959,0,1
2222,Donori,Italy,2121,"Dolianova,Barrali,Donori,Serdiana",39.432201385498,9.1284599304199,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15463,1,1
2223,Dorida,Greece,15624,21/04/2013,38.527431488037,22.203369140625,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16933,1,1
2224,Dorio,Italy,333,29/05/2012,37.287578582764,21.85631942749,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15650,1,1
2225,Dormagen,Germany,63097,23/03/2010,51.093101501465,6.8421201705933,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=13325,1,1
2226,Dorno,Italy,4695,21/04/2016,45.154739379883,8.950849533081,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19660,1,1
2227,Dortmund,Germany,580956,14/01/2009,51.511199951172,7.4654898643494,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=11602,1,1
