"adhesion_date","country","latitude","longitude","name","population","url"
"27/08/2012","Spain",42.000789642334,0.76099997758865,"Àger",590,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=6582"
"23/02/2017","Italy",44.595951080322,8.0643301010132,"AGGREGAZIONE ALBARETTO DELLA TORRE",5952,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10078"
"22/02/2017","Italy",44.388599395752,7.4354000091553,"Aggregazione BERNEZZO",5631,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10114"
"04/07/2016","Italy",44.444110870361,7.6392202377319,"AGGREGAZIONE CASTELLETTO STURA",9322,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9800"
"31/03/2017","Italy",44.385871887207,8.0354204177856,"Aggregazione Ceva",6678,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10210"
"01/03/2017","Italy",44.393001556396,8.1420001983643,"AGGREGAZIONE DIANO D'ALBA",5643,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10121"
"30/04/2014","Italy",44.467208862305,7.3630499839783,"Aggregazione Dro-Roc-Vil",10349,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8049"
"07/09/2016","Italy",44.121398925781,8.1129999160767,"Aggregazione Garessio",5155,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9874"
"28/11/2016","Italy",44.351501464844,7.3951001167297,"AGGREGAZIONE GENOLA",1160,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10050"
"13/10/2016","Italy",44.394100189209,7.4345002174377,"Aggregazione MARENE",5359,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10135"
"29/12/2016","Italy",44.304901123047,7.4032998085022,"Aggregazione Niella Belbo ",7835,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10026"
"09/06/2016","Italy",44.294528961182,7.511390209198,"Aggregazione Robilante-Roccavione",5203,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9742"
"17/02/2017","Italy",44.275699615479,8.710000038147,"AGGREGAZIONE SALICETO",5018,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10198"
"29/04/2016","Italy",44.461601257324,7.4702000617981,"Aggregazione Sommariva del Bosco",21367,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9753"
"03/08/2016","Italy",44.215301513672,7.5149002075195,"AGGREGAZIONE VICOFORTE",8567,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9976"
"22/12/2014","Greece",35.18798828125,25.715579986572,"Aghios Nikolaos",27074,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8777"
"19/11/2014","Greece",38.008060455322,23.826419830322,"AGIA PARASKEVI",59704,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8747"
"19/10/2009","Greece",37.989421844482,23.659950256348,"Agia Varvara",26490,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=2783"
"22/02/2012","Greece",39.719299316406,22.759199142456,"Agia",14121,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=5390"
"22/03/2011","Greece",38.029098510742,23.717800140381,"Agioi Anargyroi-Kamatero",55191,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=2860"
"05/12/2008","Cyprus",34.723201751709,33.050800323486,"Agios Athanasios",15500,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=2451"
