country,latitude,longitude,name,population
Italy,45.76739883,10.49489975,Anfo,434
Italy,45.77204895,8.575619698,Angera,5694
France,47.47842026,-0.563170016,Angers Loire Métropole,283000
Italy,45.21792984,11.28334999,Angiari,2204
Spain,41.95489883,2.638780117,Anglès,5500
Italy,100000,100000,Angri,32675
Italy,42.09260178,12.26990032,Anguillara Sabazia,18256
Italy,41.92420959,13.09615993,Aniene Green Net,12140
France,45.89960098,6.12845993,Annecy,51119
Italy,45.24399948,9.882889748,Annicco,2097
Italy,45,12,Annone Veneto,3984
Italy,45.80392075,9.331569672,Annone di Brianza,2296
Greece,100000,100000,Anogia,2507
Turkey,36.88137817,30.70816994,Antalya Metropolitan Municipality,2043432
Spain,37.24520111,-1.917539954,Antas de Almería,3223
Spain,39.07910919,-0.592410028,Antella,1343
Spain,37.01940155,-4.562890053,Antequera,44032
Belgium,50.27999878,5.309999943,Anthisnes,4119
Italy,37.59000015,15.14999962,Antillo,992
Belgium,50.56726837,3.451390028,Antoing,7813
Italy,46.06847,8.117389679,Antrona Schieranco,465
Belgium,51.22100067,4.399270058,Antwerp,512000
Belgium,50.84756851,4.526370049,Antwerp Province,1809412
Italy,41.99485016,13.80484962,Anversa degli Abruzzi,368
Lithuania,55.52569962,25.11219978,Anykščiai,32137
Italy,40.51620102,15.92512989,Anzi,1811
Italy,44.54999924,11.18999958,Anzola dell'Emilia,11992
Armenia,40.58911133,44.35720825,Aparan,6500
Greece,35.37770081,24.20163918,Apokoronou,12807
Italy,46.15378189,10.15283012,Aprica,1576
Italy,43.79999924,7,Apricale ,625
Italy,39.24029922,16.32939911,Aprigliano,2714
Italy,41.59439087,12.64768028,Aprilia,70349
Jordan,29.20358086,35.59569931,Aqaba Special Economic Zone Authority,118000
Spain,37.89450073,-6.564219952,Aracena,7612
Romania,46.16669846,21.31669998,Arad,172827
Italy,40.08000183,18.07999992,Aradeo,9827
Cyprus,34,33,Aradippou,19594
Spain,37.2621994,-5.544980049,Arahal,19585
Spain,40.0304985,-3.604049921,Aranjuez,58000
Spain,37.35020065,-2.07487011,Arboleas,3904
Spain,41.24224091,0.948719978,Arbolí,110
Italy,39.52862167,8.600540161,Arbus,6387
Spain,41.8157196,2.513639927,Arbúcies,6713
Italy,45.5765686,9.615169525,Arcene,4767
Italy,42.08720016,14.38189983,Archi,2310
Spain,37.09479904,-4.387539864,Archidona,8500
Italy,45.91785812,10.88558006,Arco,17322
Italy,44.11429977,9.905320168,Arcola,9914
Italy,45.54130173,8.851200104,Arconate,6679
Italy,45.62717056,9.321840286,Arcore,17838
Portugal,41.84730148,-8.418519974,Arcos de Valdevez,22586
Spain,36.7478981,-5.806879997,Arcos de la Frontera,29905
Spain,36.87799835,-4.84664011,Ardales,2600
Italy,40.62379837,8.808930397,"Ardara						",810
Italy,45.93840027,9.932370186,Ardesio,1225
Spain,42.20137024,-0.758329988,Ardisa,85
Italy,45.1269989,12.13389969,Area Adige Delta Po,33013
Italy,45.18999863,11.1850996,Area Alto Polesine ,17299
Italy,45.45100021,11.47379971,Area Rovigo Centrale ,59383
Spain,43.12110138,-2.767770052,Areatza,1036
Spain,40.20869827,-5.091139793,Arenas,1411
Spain,36.95769882,-3.894320011,Arenas del Rey,2202
Belgium,51.32077026,5.086629868,Arendonk,12894
Spain,41.57949829,2.551120043,Arenys de Mar,14685
Spain,41.6114006,2.539829969,Arenys de Munt,8192
Italy,44.40399933,8.680979729,Arenzano,11431
Italy,45.55020142,9.078379631,Arese,19056
Italy,43.46694946,11.88189983,Arezzo,99434
Spain,41.55554962,2.400490046,Argentona,11944
Spain,41.59968185,1.443379998,Argençola,250
Greece,39.34453964,21.46385002,Argithea,3450
Greece,37.55821991,22.70685959,Argos-Mykines ,42022
Italy,42.29339981,14.26399994,Ari,1319
Italy,41.72169876,12.67409992,Ariccia,18381
Italy,42.26319885,14.30729961,Arielli,1250
Italy,39.95660019,9.19645977,Aritzo,1331
Italy,45.57289886,8.352000237,Arizzano,2080
Sweden,66.05151367,17.89005089,Arjeplogs ,3069
Spain,37.93640137,-4.0552001,Arjona,5826
Spain,37.97288895,-4.105800152,Arjonilla,3837
Italy,45.50579834,8.947210312,Arluno,9815
Portugal,41.10914993,-7.692830086,Armamar,6258
Italy,45.82114029,8.440930367,Armeno,2226
Spain,37.14289856,-3.628020048,Armilla,15404
Spain,37.34970093,-2.41140008,Armuña de Almanzora,333
Italy,40.20000076,18.05999947,Arnesano,3981
Netherlands,51.97135162,5.907899857,Arnhem,149271
Germany,51.41976166,8.052980423,Arnsberg,73501
Spain,43.48300171,-3.530999899,Arnuero,2107
Spain,37.94449997,-6.954090118,Aroche,3400
Italy,45,9,Arosio,4964
Spain,38.19282913,-3.429640055,Arquillos,1967
Italy,45.09999847,11.43999958,Arquà Polesine,2913
Belgium,50.46643829,4.845059872,Arrondissement de Namur,109113
Spain,38.31903076,-2.894900084,Arroyo del Ojanco,2490
Spain,38.02349854,-6.423759937,Arroyomolinos de León,1040
Portugal,38.98310089,-9.07777977,Arruda dos Vinhos,11210
Italy,45.4117012,3.431799889,Arsago Seprio,4888
Italy,45,11,Arsiè,2495
Italy,46.24168015,13.1557703,Artegna,2884
Ukraine,48.60689926,37.99700165,Artemivsk (Bachmut),80655
Armenia,40.61722183,43.97583008,Artik,19500
Italy,45.84960938,10.1652298,Artogne,3608
Ukraine,45.59000015,29.25,Artsyz,14859
Spain,41.79840088,1.954730034,Artés,5433
Spain,28.11849976,-15.52546978,Arucas,37299
Sweden,59.6538887,12.59617996,Arvika,26000
Italy,41.0788002,9.388150215,Arzachena,13149
Italy,45.48239899,9.565329552,Arzago d’Adda,2811
Italy,39.91830063,9.528050423,Arzana,2526
Italy,40.91550064,14.26819992,Arzano,38510
Italy,45.27336121,12.04662037,Arzergrande,4725
Italy,45.52106857,11.33244991,Arzignano,25844
Belgium,51.00799942,5.584010124,As,7785
Italy,42.8535881,13.57719994,Ascoli Piceno,51203
Spain,41.18119812,0.566720009,Ascó,1602
Bulgaria,42.00679016,24.87605095,Asenovgrad,59953
Sweden,58.87969971,14.90289974,Askersund,11394
Italy,45.22203827,10.41469955,Asola,10127
Italy,45.79925919,11.91411018,Asolo,9311
Spain,38.34609985,-0.768660009,Aspe,20309
Italy,45.40491867,9.130410194,Assago,8244
Belgium,50.90937042,4.200550079,Asse,31748
Italy,45.86164093,9.269610405,Asso,3652
Italy,46.42008972,13.0262804,Associazione Intercomunale Conca Tolmezzina,13510
Italy,44.83811951,11.61979008,Associazione Intercomunale Terre Estensi,141673
Italy,46.19979095,12.90307045,Associazione Intercomunale Val Cosa e Val D’Arzino,4533
Portugal,38.42527008,-7.534440041,Associação Transfronteiriça do Lago Alqueva,74024
Italy,39.80989838,8.9168396,Assolo,435
Spain,36.63999939,-5.24518013,Atajate,154
Italy,41.8548317,14.20135975,Ateleta,1157
Italy,42.06760025,14.44279957,Atessa,10778
Italy,42.5802002,13.98099995,Atri,11260
Belgium,49.75225067,5.784190178,Attert,5191
Italy,46.18827057,13.30589008,Attimis,1808
Belgium,50.70484161,5.858129978,Aubel,4251
Italy,37.25006866,15.22169971,Augusta,36305
Italy,46.56354141,12.35910988,Auronzo di Cadore,3513
Italy,40.07125092,9.090040207,Austis,857
Portugal,40.38249969,8.391300201,Aveiro,78450
Italy,45.98830032,9.630620003,Averara,196
Italy,42.02841187,13.42562008,Avezzano,41239
Italy,45.79859924,9.772500038,Aviatico,524
Italy,45.07949829,7.3959198,Avigliana,11908
