"action_co2_reduction","action_cost","action_description","action_end_year","action_start_year","action_website","country","language","name"
50.6,1e+05,"The city of Aalst gradually replaces the once usual but energy inefficient street lights with LED-lights. LED-lights consume less energy and have a longer lifespan. The additional cost of LED lights is recovered in 4 – 5 years.

The local policy for public lighting is based on a few main principles: monitoring (replacing old or less performant devices, dimming and putting out), energy saving (better and more appropiate lighting, less energy use), creating a feeling of safety (quality of light and surroundings), bringing structure, creating night dynamics (accompaning nightlife) and city embellishment (specific atmospheres).

Strong points:
- The switch to LED-lights happens gradually. The lighting plan defines what streets that are dealt with.
- The energy use and cost are reduced.
- The investment in LED-lights is recovered in 4 – 5 years, pretty fast on a lifespan of 30 years.
",2020,2014,"","Belgium","en","Aalst"
153.15,564,"construir aparcamiento junto a a la estación de tren para promover el uso combinado del coche y tren, así como promover una nueva linea de bus directo a Bilbao para, mejorando el servicio, conseguir un mayor uso del transporte público.",2020,2007,"","Spain","es","Abanto-Zierbena"
27.1,13,"Instalar un sistema de recuperación de energía térmica del agua de la piscina",2011,2011,"","Spain","es","Abanto-Zierbena"
98.19,77.162,"Sustitución de las lámparas existentes en el alumbrado público por otras más eficientes(led)",2016,2011,"","Spain","es","Abanto-Zierbena"
603.63,1000,"Efficient vehicles of private trasports",2020,2013,"","Italy","it","Abbadia Lariana"
32.52,122400,"Photovoltaics on municipal building's roof",2011,2010,"","Italy","it","Abbadia Lariana"
5.66,17000,"Energy efficiency of municipal building with a new bolier for heating a hot water",2012,2005,"","Italy","it","Abbadia Lariana"
260.6,NA,"L'Amministrazione Comunale si è impegnata a promuovere l’installazione di impianti solari fotovoltaici sugli edifici di proprietà comunale. Oltre ai due impianti fotovoltaici realizzati negli anni precedenti (uno di 60 kWp sulla copertura della scuola elementare di Via Colombo e uno di 6,4 kWp sulla copertura della scuola media di Via Palestro), sono stati individuati 23 stabili comunali sulla cui copertura potrebbero essere realizzati impianti fotovoltaici per una potenza totale di 1,3 MW.
Sono in fase di realizzazione per il 2015 i primi 6 impianti fotovoltaici del progetto, con la formula del Finanziamento Tramite Terzi.",2020,2012,"","Italy","it","Abbiategrasso"
NA,NA,"L'Amministrazione Comunale si è impegnata ad acquistare energia prodotta da fonti energetiche rinnovabili certificate, allo scopo di ridurre l’impatto ambientale dei consumi energetici e le emissioni di gas a effetto serra a livello comunale. 
Il Comune di Abbiategrasso è socio del Consorzio CEV dal 2006; Global Power fornisce ai soci del Consorzio energia verde certificata R.E.C.S..
A partire dal 2009, il 100% dell’energia consumata dal Comune proviene da fonti rinnovabili.
",2020,2010,"","Italy","it","Abbiategrasso"
396.85,320000,"L'Amministrazione Comunale di Abbiategrasso ha realizzato nel periodo 2011-2012 un progetto di riqualificazione energetica dell'edilizia popolare di propria proprietà al fine di migliorare le prestazioni energetiche e la salubrità degli alloggi. 
Gli interventi, realizzati sui due stabili di Via Carini e su quello di Via Legnano, hanno riguardato: 
- sistemi di isolamento termico e acustico della facciata;
- abbassamento della controsoffittatura isolata dei locali. ",2012,2011,"","Italy","it","Abbiategrasso"
6.39,23013,"Instalação de Variadores Eletrónicos de Velocidade (VEV's) em equipamentos desportivos municipais.",2020,2011,"","Portugal","pt","Abrantes"
1201.21,66511,"Cessão de exploração de infraestruturas destinadas à instalação de unidades de miniprodução solar fotovoltaica em edifícios municipais através da PlataformaTejo.",2020,2011,"","Portugal","pt","Abrantes"
223.1,60759,"Disponibilização do serviço de transporte urbano coletivo “aBUSa” visando responder as necessidades de transportes no centro histórico da cidade.",2020,2011,"","Portugal","pt","Abrantes"
349.75,50000,"Canvi de làmpades de vapor de mercuri per les de vapor de sodi d'alta pressió (VSAP)",2017,2011,"","Spain","ca","Abrera"
17.5,1e+05,"Pla d'estalvi energètic dels edificis i instal·lacions muniicpals",2020,2011,"","Spain","ca","Abrera"
1.54,990,"Substitució de làmpades d'halogenurs dicroiques de 50 W per halògens d'alt rendiment de 35 W",2013,2011,"","Spain","ca","Abrera"
10.51,49999,"Sostituzione di 80 lampade a vapore di mercurio da 125 W con altrettante a vapore di sodio da 70 W",2011,2011,"","Italy","it","Acciano"
5.88,22330,"Installazione di impianti fotovoltaici da 1 kWpicco per n°10 unità abitative",2020,2013,"","Italy","it","Acciano"
3.27,NA,"L’intervento riguarda le case che presumibilmente verranno ricostruite entro il 2020.",2020,2015,"","Italy","it","Acciano"
55038,19160,"A Plataforma Tejo é um mecanismo de investimento que integra projetos dispersos de geração renovável a pequena escala distribuídos pelo território da MédioTejo 21, privados e públicos. A Plataforma confere dimensão a estes projetos, criando massa crítica e atraindo investidores.
Através deste programa foram já implementadas 36 unidades de minigeração em edifícios públicos, representando um investimento privado de cerca de 2.500 mil euros.
Esta ferramenta está preparada para integrar projetos de instalação de equipamentos fotovoltaicos, mini-hídricas, minieólicas, cogeração a biomassa, entre outros, em edifícios públicos e privados, quer para produção de eletricidade em regime de minigeração, quer para autoconsumo ou venda de calor a privados. 
Encontram-se registados na Plataforma Tejo 57 projetos, representando cerca de 20M € de oportunidades de investimento em serviços de energia.",2020,2009," http://plataformatejo.irradiare.com/ ","Portugal","pt","Agência de energia MédioTejo21"
335,47000,"O projeto PM+ Piscinas Municipais Mais Eficientes no Médio Tejo e Pinhal Interior Sul, constitui um projeto integrado que tem por objetivo implementar um conjunto de medidas que permitam reduzir a fatura de energia das piscinas Municipais. As intervenções propostas nos projetos PM+ incluem a melhoria de procedimentos de gestão do consumo energético, otimização dos processos e respetivo controlo, substituição de equipamentos pouco eficientes e a utilização de fontes renováveis.
No âmbito do projeto PM+ foram instalados 102 variadores eletrónicos de velocidade (VEV's). Estes equipamentos foram instalados em 39 máquinas de 17 piscinas municipais.
No âmbito deste projeto procedeu-se também à instalação de 18 baterias condensadores em 18 edifícios municipais.",2020,2009,"","Portugal","pt","Agência de energia MédioTejo21"
3255,800,"O programa IEledE – Iluminação Exterior LED para as Empresas constitui um mecanismo de apoio à implementação de medidas de eficiência energética em iluminação exterior de empresas localizadas na área de influência da agência. O IEledE foi desenvolvido pela MédioTejo 21 e é dirigido a todas as empresas privadas que possuam iluminação exterior, localizadas na área de intervenção agência. ",2020,2009,"","Portugal","pt","Agência de energia MédioTejo21"
10.1,21,"Sostituzione degli apparecchi obsoleti con apparecchi ad alta efficienza
",2015,2011,"","Italy","it","Agrate Brianza"
4.15,27340,"Installazione di impianti fotovoltaici su spazi comunali
",2010,2007,"","Italy","it","Agrate Brianza"
