"action_co2_reduction","action_cost","action_description","action_end_year","action_start_year","action_website","country","language","name"
NA,NA,"De provincie Limburg organiseert een samenaankoop voor de levering van aardgas en elektriciteit voor alle Limburgse gemeentebesturen. In het contract wordt voorzien dat er 100% groene stroom wordt geleverd. Door deel te nemen aan deze samenaankoop kunnen gemeentebesturen aan gunstigere voorwaarden voorzien in de energiebehoefte van hun gemeentebestuur. ",2020,2011,"","Belgium","en","Bree"
5.0184,4000,"Fotovoltaico su edifici pubblici
",2011,2011,"","Italy","it","Bregano"
178.3,7080000,"Rinnovo parco autoveicolare
",2020,2013,"","Italy","it","Bregano"
83.27350724,648000,"Fotovoltaico su edifici residenziali (<20kW)
",2020,2009,"","Italy","it","Bregano"
440,38000,"Dati statistici rilevati da centro Enea",2020,2012,"","Italy","it","BREGANZE"
8366,720000,"Dati statistici rilevati da centro Enea",2020,2015,"","Italy","it","BREGANZE"
182,90000,"Sostituzione generatore di calore",2020,2012,"","Italy","it","BREGANZE"
4.3,1e+05,"Die Fotovoltaik-Bürgergemeinschaftsanlage:
• Leistung: 39 kWp
• Realisierungssumme: 100.000 Euro
• Realisierungszeit: Start August 2011, Inbetriebnahme Mai 2012
• Anzahl Beteiligte Genossenschafter/innen: 40
• Rendite: 1%, 30% verzichteten auf Rendite
• Rückzahlung: 88% in Euro / 12% in Talente
",2012,2012," http://www.allmenda.com/content/energieanlage-bregenz ","Austria","de","Bregenz"
NA,130000,"Die Bregenzer Stadtvertretung hat am 25.03.2014 in ihrer Sitzung das Generalverkehrskonzept beschlossen. Damit hat Bregenz für die nächsten 15 Jahre eine Richtschnur für verkehrspolitische Entscheidungen und Maßnahmen, für die Gestaltung öffentlicher Räume, für den Abbau von Barrieren und die Reduktion des Kfz-Verkehrs.

Bis 2025 sollen die Weganteile des öffentlichen Verkehrs um 2%, des Fahrrads um 6% und des Zufußgehens um 1% gesteigert werden  - ehrgeizige, aber erreichbare Ziele, wenn die bisherigen Anstrengungen fortgesetzt werden.

Die Hauptverkehrsstraßen sollen stadtverträglich gestaltet und ihre Barrierewirkung für den querenden nicht-motorisierten Verkehr zum Beispiel durch kürzere Wartezeiten abgemildert werden. Das Verkehrskonzept wurde in einem umfassenden Prozess mit Bürgerbeteiligung ",2020,2013,"","Austria","de","Bregenz"
26.1,2600000,"Neubau des Kindergarten Mariahilf, errichtet in Passivhausqualität und nach höchsten bauökologischen Standards.
HWB 11,6 kWh/m²a
130 m² PV-Anlage
915 von 1000 Pkten nach dem Vlbg. Kommunalgebäudeausweis",2012,2011,"","Austria","de","Bregenz"
218.82,2980000,"Il Comune di Brembate di Sopra al fine di riqualificare gli impianti di produzione dell'energia termica dei propri edifici ubicati nel centro cittadino sta realizzando un impianto di teleriscaldamento comunale. 
L'impianto di teleriscaldamento con centrale a co-generazione genera benefici a livello ambientale ed energetico in termini di efficienza sia grazie alla produzione combinata di energia elettrica e termica sia in termini di emissioni grazie al controllo continuo e alle tecnologie dedicate non presenti in un tradizionale impianto di riscaldamento residenziale. ",2017,2007,"","Italy","it","Brembate di Sopra"
8.19,20000,"Ridurre i consumi elettrici legati agli impianti semaforici presenti sul territorio comunale
L’azione prevede la trasformazione del sistema di illuminazione delle lampade semaforiche del Comune di Brembate di Sopra con installazione di lampade LED",2013,2012,"","Italy","it","Brembate di Sopra"
4.8,NA,"Ridurre l’uso dell’automobile incentivando la mobilità sostenibile e estendendo il servizio Pedibus in termini di lunghezza del percorso e fruibilità durante l’intera settimana, per ridurre il consumo di combustibili fossili e le relative emissioni.
Questa iniziativa oltre ad avere un impatto positivo sull’ambiente, avrà un impatto positivo anche sugli alunni in quanto rappresenta un’occasione per imparare l’educazione stradale sul campo.
",2020,2009,"","Italy","it","Brembate di Sopra"
18.71,83739,"Interventi di sostituzione di caldaie obsolete con nuove a maggiore efficienza presso edifici pubblici.",2019,2013,"","Italy","it","Brembate"
13.19,5000,"Installazione di una casetta distributrice di acqua potabile.",2013,2012,"","Italy","it","Brembate"
45.79,NA,"Installazione di impianti fotovoltaici su edifici pubblici",2012,2011,"","Italy","it","Brembate"
21,22000,"website for interactive information on solar potential for every building in the city. Plus program to inform about solar energy chances for individual house owners as well as companies",2020,2010," solarkataster-bremen.de ","Germany","en","Bremen"
36000,310000,"program provides teaching material on energy and water efficiency and redirects efficiency gains to schools and technical maintenance personel for future small efficiency cost.",2020,1994," www.34plus.de ","Germany","en","Bremen"
31863,56500000,"replacing the old hydropower facility - getting investors interested in the new project took years but finally could be acchieved. It is now Europe's largest in-stream tidal hydro power plant (10 MW). Water plunges between 2-6 meters; around 10% was spent for fish protection measures",2011,2009," https://www.swb-gruppe.de/verantwortung/swb-und-umwelt/weserkraftwerk.php ","Germany","de","Bremen"
128.51,2e+05,"Creation of a municipal net for bycicles and elaboration of bike lanes;",2020,2012,"","Spain","en","Brenes"
112.54,96668.58,"Energy efficiency resulting from the implementation of a POE public buildings",2016,2009,"","Spain","en","Brenes"
804.62,280162.79,"Energy efficiency from the application of a public lighting POE",2013,2009,"","Spain","en","Brenes"
24.7,395978,"Installazione di lampade a LED in edificio nuovi o ristrutturati quali l'edificio scolastico in località S. Andrea, la scuola media ""Manzoni"", l'edificio scolastico in località Eores e la scuola elementare ""Waldner"".",2016,2013,"","Italy","it","Bressanone/Brixen"
24.7,587088,"Installazione di impianti fotovoltaici su vari edifici di proprietà del Comune di Bressanone (scuole elementari, scuole materne, Caserme Vigili del Fuoco)",2014,2013,"","Italy","it","Bressanone/Brixen"
3701.3,13408597,"Sviluppo della rete di teleriscaldamento all'interno del territorio comunale",2017,2013,"","Italy","it","Bressanone/Brixen"
NA,31201000,"The heating network of Brest represents the 1st lever for fossile energies subsitution and continues its extension. Between 2012 and 2017, it has gained  22km to acheive an overall size of 47 km. This virtuous network includes 90% of renewable energy : 80% coming from a waste-to-energy recycling plant and 10% from wood. To develop this network, a wood-fired generator (12MW) is running since the end of 2016. An  energy storage system of 1000 m3 has been integrated at the heart of the city (20 m high) to maximise the operation. A controlled multi-energy operating system “smart grid” has been installed. In addition, 4 gas boilers (1 of 19 Mw per branch), decentralized have just been implemented to secure the network. A second development stage for 2019/2021 has already been identified. ",2017,2012," http://www.ecochaleurdebrest.fr/reseau-chaleur/reseau-detail/ ","France","en","Brest Métropole"
NA,938700,"Under the French program of White Certificates Trading, suppliers of energy (electricity, gas, oil,) must meet government-mandated targets for energy savings achieved through the supplier’s residential and tertiary customers. Brest métropole is part of non-obliged parties and develops Energy saving actions: retrofitting, single measures,  public lighting … They are saved on the exchange market of certificates. Brest metropole can sell it to the suppliers. The revenue is used to saving energy action and solar renewable energy development on our public building. For White certificates for fuel poverty actions : the suppliers develop communication campaigns like the one focusing on energy efficient bulbs distribution during November 2016, in a month: 1300 households enrolled. These actions are financed by suppliers and we are local intermediate for dissemination. ",2017,2012," https://www.emmy.fr/public/accueil ","France","en","Brest Métropole"
NA,3692675,"It has been created in 2012 to assist private individuals including those who are in fuel poverty situation in the refurbishment of their accommodations. For owners (house), the process is base on energy diagnostic, get in touch with companies, support for financial package, retrofitting. 
Direct grants  is based on a fixe bonus depend of the energy save percentage  and a variable bonus depend of nature of retrofitting. For vulnerable households, it’s also depend of the level of declaration of income. The ambition today is the same system for co-ownership’s.  BM has created a retrofitting strategy with a broad, long-term perspective. It will aim to ensure integration and cooperation between housing, urbanism and urban refurbishment. Tinergie is recognized by national program of investment for the future with the “Tomorrow’s town”,with interesting direct grants for condominium syndicate.",2017,2012," http://www.tinergie-brest.fr/ ","France","en","Brest Métropole"
8.32,77300,"Fotovoltaico su edifici pubblici
",2011,2011,"","Italy","it","Brinzio"
NA,NA,"Sostituzione di componenti. Attualmente non sono ancora disponibili i dati necessari ad una corretta stima di risparmio energetico ed emissivo.",2016,2013,"","Italy","it","Brinzio"
43.0752,336500,"Fotovoltaico su edifici residenziali (<20kW)
",2020,2013,"","Italy","it","Brinzio"
NA,NA,"L’amministrazione Comunale nel mese di aprile 2015 ha attivato presso l’ufficio tecnico  lo Sportello Energia.  Tale sportello fornisce indicazioni su:
<U+F0D8>	certificazione energetica degli edifici;
<U+F0D8>	consulenza sulle nuove tecnologie disponibili per il risparmio energetico;
<U+F0D8>	consulenza sugli incentivi statali e regionali disponibili sul tema energia.
",2020,2013,"","Italy","it","Brivio"
NA,NA,"Per il settore industriale e terziario del Comune di Brivio è stato consegnato nel mese di aprile 2015 un questionario. Sono stati distribuiti agli stakeholder circa 51 questionari e sono stati riconsegnati 19 questionari. I dati desunti da tali questionari sono stati utili al fine di monitorare le azioni del settore produttivo. Per il settore terziario non è stato possibile in quanto ha risposto solo 1 stakeholder (casa di riposo).
",2020,2013,"","Italy","it","Brivio"
NA,NA,"
L’amministrazione Comunale dal 2013 al 2015 ha pubblicato: 
<U+F0D8>	notizie utili sui temi dell’efficienza energetica attraverso la newsletter e il sito del Comune;
<U+F0D8>	 divulgato materiale informativo alle famiglie.
",2020,2013,"","Italy","it","Brivio"
NA,350000,"Il Comune di Bruino ha provveduto ad installare un impianto di telegestione su 409 punti luce, attraverso la predisposizione di 13 centraline di trasmissione dati. I punti luce sono stati anche sostituiti per incrementare la loro efficienza energetica. ",2020,2011,"","Italy","it","Bruino"
NA,NA,"La realizzazione degli impianti fotovoltaici nelle coperture dei privati (residenza e terziario) non è direttamente attribuibile agli investimenti dell'amministrazione. Il Comune tuttavia ho svolto un importante ruolo di promotore, attraverso l'attività dello sportello energia e l'organizzazione di eventi informativi ed invitando personalità di spicco del settore. ",2020,2010,"","Italy","it","Bruino"
NA,70000,"Il Comune di Bruino ha realizzato un impianto fotovoltaico sul tetto della palestra (18kW) ed un altro sulla copertura dell'edificio della Protezione Civile (55kW) attraverso la concessione del diritto di superficie alla Polisportiva Bruinese.",2020,2011,"","Italy","it","Bruino"
82.24,100142,"2005-2014 - sostituzione di corpi illuminanti obsoleti con lampade SAP.
2014 - redazione del PRIC - Piano Regolatore dell'Illuminazione Comunale.
2015 - valutazione contratto di tipo ESCo per sostituzione corpi illuminanti con lampade LED.",2020,2005,"","Italy","it","Brusaporto"
5.34,NA,"Nel 2011 l’Amministrazione comunale ha realizzato un impianto fotovoltaico della potenza di 7,9 kWp sulla copertura del recente Centro Culturale e, nel 2012, ha realizzato un impianto fotovoltaico della potenza di 4,6 kWp sulla copertura della Scuola Primaria. Il secondo di questi interventi si colloca all’interno di una convenzione stipulata dall’Amministrazione comunale con un operatore privato del settore, che impegna quest’ultimo a realizzare su coperture di edifici pubblici, una potenza pari al 20% della potenza complessiva installata sul territorio comunale. ",2016,2010,"","Italy","it","Brusaporto"
65.41,560241,"2005-2006: sostituzione della copertura in eternit della Scuola Secondaria di I grado e della palestra con una copertura in alluminio coibentata, 
2006 - sostituzione dei sistemi di emissione dell’impianto di riscaldamento della palestra.
2007 - impianto solare termico sulla copertura delle tribune del campo sportivo.
2009 - realizzazione dell’edificio che ospita il Centro Culturale, secondo criteri di elevata efficienza energetica.
2014 - riqualificazione impianto termico della Scuola Secondaria di I grado.
Nel 2016 è stato stipulato un Contratto di gestione degli impianti termici tra il Comune di Brusaporto e la Società Ates s.r.l.. Nell’ambito di tale contratto è prevista l’installazione di valvole termostatiche, di un sistema di
controllo a distanza e di una serie di interventi di messa a norma e miglioramento dell’efficienza energetica degli impianti termici degli edifici pubblici.",2020,2006,"","Italy","it","Brusaporto"
27055,2306221,"Brussels Capital region has come forward with a very ambitious objectives regarding energy performance in buildings (EPB). By setting nearly zero emissiosn req requirementsbefore the entry into force of the european obligation.
Since 2015, the new EPB requirements inspired by the passive standard have emerged. These requirements lay down requirements for energy performance and indoor climate in buildings. The range of regulatory measures introduced by the ""EPB 2015""  can be summarized in three axes: technical installationscomponen,EPB Works, EPB certification component.
These new requirements for ""PEB 2015"" involve new units or units assimilated to new units assigned as ""Housing individual "","" Offices and services ""or"" Education"". Public bodies also participate.",2020,2015,"","Belgium","en","Bruxelles-Capitale"
690,13964398,"HomeGrade is an integrated service aiming to support individuals willing to improve their housing in the Brussels Region. Tenants, homeowners, landlords or co-owners of buildings can benefit from information about acoustics, energy, housing, renovation, heritage and urban planning.
Home visits are offered in order to help reducing  energy bils and implementing the refurbishment projects.
If necessary,  HomeGrade offers smalls interventions (caulking doors and windows, installation of reflective panels behind the radiators ...).
Consultants are present to assist  in technical and administrative procedures as well  as with the existing financial assistance.
HomeGrade also organises conferences and participative workshops.",2020,2017," http://www.homegrade.brussels/ ","Belgium","en","Bruxelles-Capitale"
4000,7620293,"The voluntary PLAGE program aims to reduce the energy consumption of buildings without loss of comfort for the occupants and without making heavy investments. The PLAGE is based on calls for projects involving municipalities, hospitals, educational networks and public service real estate companies.
The voluntary PLAGEs had the following results:
- 15 to 20% reduction in fuel consumption, without loss of comfort for the occupants;
- approximately 10,000-16,000 tonnes of CO2 emissions avoided in 4 years;
- stabilization or  a slight decrease (-0.6 to -4%) in electricity consumption;
- savings on the energy bill estimated between 2-2.5 million euros in 4 years for calls for projects ""schools"" and ""SISP"";
- beyond the initial period of 3 to 4 years, the participating organizations generally continued to improve the management of their energy consumption",2010,2006,"","Belgium","en","Bruxelles-Capitale"
3414,NA,"The action plan includes redevelopment energy in the renovations of buildings, acting both on the thermal requirement that on the electrical systems. This result is achieved thanks to the implementation of the energy issue in RUE (one of the municipal planning instruments) and in technical standards for the implementation of detailed plans. It is expected that, by 2020, will be redeveloped a share of 3% per annum of the residential buildings.",2020,2009,"","Italy","en","Budrio"
4684,160,"Attraverso l’applicazione del sistema di raccolta porta-a-porta, iniziata nel marzo 2013 con la raccolta di carta e plastica, proseguita con l’organico e l’indifferenziato è stato già raggiunto l’obiettivo del PAES al 2020: la raccolta differenziata è al 78% rispetto alla quota obiettivo dell’80% al 2020 ma, grazie anche alla riduzione totale degli RSU prodotti, in termini di riduzione in tonCO2 eq. l’obiettivo è già stato raggiunto e migliorato. Dal 2016 è stata inoltre applicata la tariffazione puntuale.
L’azione rimane in corso con l’obiettivo di migliorare ulteriormente il servizio e la % di raccolta differenziata oltrechè di diminuire la quantità di RSU prodotti.
",2020,2014," http://www.comune.budrio.bo.it/servizi/Menu/dinamica.aspx?idSezione=17850&idArea=17401&idCat=17493&ID=19308&TipoElemento=pagina ","Italy","it","Budrio"
277,1250000,"Nel 2015 è stato realizzato un importante intervento di riqualificazione della rete pubblica esistente (Capoluogo e località Mezzolara): installazione di 401 nuovi apparecchi al sodio alta pressione, 1.120 apparecchi a LED e il ricablaggio di 813 apparecchi esistenti, già rispondenti alle specifiche richieste dalla L.R. ER 19/2003. L'azione è quindi da ritenersi conclusa: si stima che sia stato raggiunto l'obiettivo di riduzione di CO2, che verrà verificato con la stesura di una nuova BEI prevista dal prossimo Rapporto di Monitoraggio completo (nel 2018).",2020,2014,"","Italy","it","Budrio"
6.29,37950,"Installazione di impianto da 9,87 kWp di produzione di energia elettrica da fonte solare fotovoltaica",2011,2011,"","Italy","it","Bugnara"
53.03,201300,"Installazione di impianti fotovoltaici da 1 kWpicco per n°92 unità abitative",2020,2013,"","Italy","it","Bugnara"
0.83,25000,"Sostituzione infissi/vetri di edifico comunale",2011,2011,"","Italy","it","Bugnara"
6.92,40389.07,"Installation of a new boiler in elementary school and library",2015,2013,"","Italy","it","Bulciago"
884.33,NA,"Urban planning of buildings energy saving ",2020,2013,"","Italy","it","Bulciago"
555,1000,"Efficiency in private vehicles",2020,2013,"","Italy","it","Bulciago"
29,36923,"Instalación de dobles ventanas y persianas edificios públicos con el fin de mejorar la envolvente térmica",2020,2013,"","Spain","es","Bullas"
1,24000,"Vehículo eléctrico",2020,2013,"","Spain","es","Bullas"
2,16900,"Vehículo Hibrido",2020,2012,"","Spain","es","Bullas"
2.8,NA,"Replacement of municipal fleet vehicles with less polluting and more efficient vehicles",2016,2012,"","Italy","it","Burago di Molgora"
0.1,0.1,"promotion of mobility at the foot of the journey from home to school - the municipality arranges transportation to children's feet with carers collecting children at several stops on the territory",2020,2011,"","Italy","it","Burago di Molgora"
32,30000,"Boiler replacement and installation of systems for regulating ambient temperature",2019,2011,"","Italy","it","Burago di Molgora"
51.68,26250,"The municipality offered bonus for photovoltaic and thermal installation on citizen's roof.",2016,2013,"","Belgium","en","Burdinne"
6.86,NA,"Energetical evaluation of the school by the children themself and animation about habits loading to a reduction of the energetical consumption",2020,2015,"","Belgium","en","Burdinne"
113.17,12300,"The municipality offered bonus for installation of biomass heater, heat pump,...",2016,2014,"","Belgium","en","Burdinne"
10.434,94578.77,"4 car were purchased in  2016-2017 and used by the municipal administration. ",2020,2016,"","Bulgaria","en","Burgas"
36000,2500000,"Applying of EE measures in households sector.",2020,2016," https://www.burgas.bg/bg/info/index/890 ","Bulgaria","en","Burgas"
NA,1500000,"Building of zero-energy kindergarden in Meden Rudnik, Burgas. The project is in process of building. ",2020,2017,"","Bulgaria","en","Burgas"
1400,3e+06,"Burgas Municipality implemented projects aiming to decrease CO2 emissions trough introducing of EE measures on public buildings as schools and kindergartens.  ",2015,2011,"","Bulgaria","bg","Burgas"
244.68,2250000,"Installation of a 375kW photovoltaic power",2020,2012,"","Spain","en","Burguillos"
281.25,270000,"Increase the area of solar thermal in the municipality. Target: install solar heating in 75 homes already built",2020,2012,"","Spain","en","Burguillos"
0.96,6000,"Urban planning criteria of sustainable mobility",2020,2012,"","Spain","en","Burguillos"
NA,40000,"Installazione di un erogstore per la distribuzione di acqua di alta qualità a consumo libero per l'utenza finalizzata alla riduzione del consumo di acqua in bottiglia.",2020,2014,"","Italy","it","Bussento Lambro e Mingardo"
408,280000,"L'obiettivo del progetto è quello di usare l'energia prodotta da impianti fotovoltaici per alimentare le utenze pubbliche della casa comunale, caserma, biblioteca e plesso scolastico in modo da ottimizzare l'efficienza energetica di tali edifici di proprietà comunale. In sostanza si realizza un lotto di impianti fotovoltaici ad integrazione architettonica totale da porre sui tetti dei suddetti edifici che consenta la fruizione ad un determinato numero di persone, sia dipendenti sia utenti finali.",2016,2013,"","Italy","it","Bussento Lambro e Mingardo"
72,90200,"Efficientamento energetico casa comunale - impianti di gestione del calore",2018,2014,"","Italy","it","Bussento Lambro e Mingardo"
251.1,NA,"L’Amministrazione Comunale ha realizzato in project financing, in collaborazione con la ESCo, tre impianti fotovoltaici presso le scuole primarie G. Tarra e Don Mentasti e la scuola secondaria di primo grado A. e G. Caccia.",2020,2012,"","Italy","it","Busto Garolfo"
247.85,2164885,"L'Amministrazione Comunale si è impegnata a potenziare la mobilità ciclabile e pedonale a livello urbano attraverso la realizzazione di una serie di azioni che prevedono:
- potenziamento della mobilità lenta e della ciclabile, in grado di assicurare l'accessibilità ai principali nodi infrastrutturali di mobilità di scala vasta. E' stato realizzato l'ampliamento delle piste ciclabili esistenti da 10 km a 21 km;
- realizzazione dei percorsi destinati al piedibus.
L'Amministrazione Comunale si impegna anche a promuovere la mobilità ciclabile e pedonale mediante attività di sensibilizzazione e educazione diretta alle scuole e ai cittadini.",2020,2011,"","Italy","it","Busto Garolfo"
871.32,110000,"Gli elementi fondamentali della pianificazione urbana strategica comprendono:
- allargamento della zona destinata a parco agricolo;
- incentivare la costruzione e la riqualificazione degli edifici privati con tecniche ad alta efficienza energetica, semplificando l'iter realizzativo, chiarificando i vincoli
costruttivi e prevedendo incentivi economici;
- riqualificazione delle strade di campagna con percorsi ecologici e piste ciclabili per renderle maggiormente fruibili dai cittadini;
- ampliamento delle piste ciclabili cittadine e realizzazione dei tratti mancanti nelle zone del centro urbano, della periferia e dei nuclei rurali.
Il P.G.T. è entrato in vigore in data 20.05.2014.",2014,2010,"","Italy","it","Busto Garolfo"
NA,473000,"Riqualificazione estetica (contestuale ridisegno della facciata ed eliminazione delle disomogeneità di aspetto e finitura),  riqualificazione funzionale (attualmente alcuni serramenti difettosi nei sistemi di apertura e dotati di vetri non a norma di sicurezza, apertura di una nuova finestra nei locali ex polizia municipale al piano terreno con contestuale impermeabilizzazione della porzione di parete controterra e creazione di un intercapedine).",2015,2012,"","Italy","it","Buttigliera Alta"
NA,428000,"L'intervento proposto con il presente progetto definitivo-esecutivo è finalizzato alla riqualificazione funzionale ed energetica di parte dell’involucro edilizio e di parte dell’impianto di riscaldamento ambienti e acqua calda sanitaria del plesso scolastico di c.so Laghi, edificato a partire dalla metà degli anni ’80 del secolo scorso, ospitante complessivamente una scuola d’infanzia, una primaria ed una secondaria di I° grado, con relative mense ed edificio palestra separato.",2015,2012,"","Italy","it","Buttigliera Alta"
NA,475000,"L'intervento proposto con il presente progetto definitivo-esecutivo è finalizzato alla riqualificazione energetica ma anche funzionale ed estetica dell’involucro edilizio e dell’impianto di riscaldamento ambienti e acqua calda sanitaria della scuola d’infanzia statale “Aquilone” sita in via dei Comuni nella frazione Ferriera.",2015,2012,"","Italy","it","Buttigliera Alta"
10,741542,"Com uma extensão de 3,8 quilómetros, em território cabeceirense a ecopista do Tâmega é uma importante obra para o concelho e para a região, que permitirá à população residente e aos visitantes um contacto mais próximo com o património natural e patrimonial.",2020,2009,"","Portugal","pt","Cabeceiras de Basto"
191,156000,"O Município de Cabeceiras de Basto promoveu ações para a redução da fatura energética na rede de iluminação pública através da instalação de dispositivos de regulação automática da intensidade da iluminação pública, permitindo que nos períodos de menor necessidade a luminosidade seja inferior e consequentemente o gasto mais reduzido.",2020,2009,"","Portugal","pt","Cabeceiras de Basto"
10,2600000,"Espaços verdes, um parque infantil, um anfiteatro, pontes e percursos pedonais, bem como uma passagem subterrânea são as valências que o Parque Urbano da vila de Cabeceiras de Basto, implantado em pleno coração da vila e com cerca de 2 hectares de área, oferece aos residentes e a visitantes.

O Parque Urbano da vila de Cabeceiras de Basto representou um investimento de cerca de 2.6M€. Este projeto foi comparticipado em 70% pelo ON2/ QREN.",2020,2009,"","Portugal","pt","Cabeceiras de Basto"
72,1200000,"L'intervento consiste nella riqualificazione energetica e tecnologica dell'intero impianto di illuminazione pubblica, sostituendo le tradizionali lampade con nuove lampade più efficienti o a led e installando sistemi di videosorveglianza e telecontrollo. Gli interventi sono già stati effettuati per alcune vie, sono in corso di pianificazione per tutte le altre.",2020,2005,"","Italy","it","Cabiate"
81.4,7e+05,"E' in corso la riqualificazione energetica degli edifici pubblici, con particolare riferimento alla sostituzione delle caldaie con nuove caldaie a gas a condensazione e/o a biomassa e al parziale ammodernamento degli impianti di trasmissione del calore e delle coibentazioni, per ridurre le dispersioni",2020,2005,"","Italy","it","Cabiate"
19.3,42000,"E' in corso la completa sostituzione delle lampade presenti negli edifici pubblici con nuove lampade a led.",2020,2014,"","Italy","it","Cabiate"
150,49534,"Substitució de l'enllumenat interior dels equipaments munciipals per leds",2020,2016,"","Spain","ca","Cabrera de Mar"
125,120000,"Creació i ampliació del carril bici per fomentar la mobilitat sostenible",2020,2010,"","Spain","ca","Cabrera de Mar"
47,49500,"S'ha renovat part de la il·luminació interior amb làmpades més eficients, sobretot LED.",2013,2010,"","Spain","ca","Cabrera de Mar"
199.66,NA,"S'ha dissenyat i implantat camins escolars per reduir l'ús del vehicle privat per anar a l'escola",2020,2010,"","Spain","ca","Cabrils"
10.91,113000,"Millora dels tancaments amb la instal.lació de vidres dobles i solucionant aquells que no tanquen hermèticament.",2015,2010,"","Spain","ca","Cabrils"
13.63,3850,"S'han modificat els termòstats i les temperatures de consigna per reduir els consums dels equipaments",2014,2010,"","Spain","ca","Cabrils"
533,64000,"Local public recycling of wastes",2020,2015,"","Italy","en","Caccamo"
26,NA,"Scrapping of no. four very old scholol buses without buying new ones",2020,2015,"","Italy","en","Caccamo"
1489,6e+05,"Installation of private photovoltaic systems",2020,2015,"","Italy","en","Caccamo"
387.68,320000,"Descripción:   
Cambio de tensión de distribución en la red de media tensión MT de la actual 6kV trifásica a 10 kV. Al aumentar la tensión disminuye la intensidad, lo que origina una importante disminución de pérdidas 

",2014,2008,"","Spain","en","Cádiz"
132.18,216337,"Ejecución de una instalación de energía solar térmica sobre la cubierta de la Piscina cubierta de Astilleros, para la
producción de ACS y calentamiento de agua de piscinas, constituida por 100 colectores con una superficie total útil de
captación 232 m2 y una capacidad total de acumulación de 4000l.
Cuenta con la producción de energía auxiliar a través de una caldera de condensación de gas natural.
El ahorro económico estimado que se obtiene con la instalación de esta medida es de 21.145 €/año",2010,2010," http://deporte.cadiz.es/ ","Spain","es","Cádiz"
185.85,5e+05,"Con la aplicación de las acciones enmarcadas en esta actuación de ahorro y renovación de los semáforos, el Ayuntamiento de Cádiz obtendrá beneficios energéticos, económicos y medioambientales. En concreto, estos beneficios vienen dados como consecuencia de la adopción de medidas destinadas al mejor aprovechamiento de la energía. Entre estas medidas, destaca la instalación de luminarias tipo LED",2011,2008,"","Spain","es","Cádiz"
2095,600,"Aggiornamento degli strumenti di regolamentazione edilizia e definizione di standard più restrittivi per l'efficienza energetica del sistema involucro-impianto.",2014,2013,"","Italy","it","Cadorago"
0.1,NA,"Estensione della rete ciclabile sul territorio",2020,2014,"","Italy","it","Cadorago"
113.15,373200,"Sostituzione punti luce obsoleti e energivori (vapori mercurio) in favore di soluzione a LED.",2016,2014,"","Italy","it","Cadorago"
704.1403972,8120000,"Fotovoltaico su industrie
",2020,2009,"","Italy","it","Cadrezzate"
197.803365,1548800,"Impianto fotovoltaico (domestico)
",2020,2008,"","Italy","it","Cadrezzate"
4.07676,NA,"Fotovoltaico su edifici pubblici
",2012,2012,"","Italy","it","Cadrezzate"
221,1804000,"Energy renovation of facades and installation of solar thermal systems  in 260 public housing",2013,2009,"","Italy","en","Cagliari"
328,1990000,"upgrading of cycles paths",2018,2012,"","Italy","en","Cagliari"
NA,5000,"awareness campaign on energy conservation in homes aimed to  students of primary schools",2016,2015,"","Italy","it","Cagliari"
57.1,31914,"L’intervento ha previsto la sostituzione di 535 punti luce con lampade a vapore di sodio della potenza di 70 W",2011,2011,"","Italy","it","Cagnano Amiterno"
650.64,847208,"Sostituzione di generatori di calore a combustibili fossili con caldaie a biomasse per il riscaldamento di n°273 unità abitative",2020,2013,"","Italy","it","Cagnano Amiterno"
98.82,375100,"Installazione di impianti fotovoltaici da 1 kWpicco per n°171 unità abitative",2020,2013,"","Italy","it","Cagnano Amiterno"
180.29,210000,"Canvi de lluminàries d'enllumenat públic a LED",2017,2015,"","Spain","ca","Calaf"
8.22,18000,"Canvi de caldera a biocombustible (pellet) del Camp de Futbol",2015,2013,"","Spain","ca","Calaf"
NA,NA,"Compra agregada de l'Energia elèctrica ACM",2016,2015,"","Spain","ca","Calaf"
NA,7500000,"Replacing the old pipelines for the water and sewage systems.",2020,2009,"","Romania","en","Calarasi"
NA,426968.99,"Rehabilitation of 5 housing blocks.",2020,2013,"","Romania","en","Calarasi"
NA,1980555.02,"Replacing the incandescent lightbulbs with led lightbulbs",2020,2009,"","Romania","en","Calarasi"
96.3,104348,"Sostituzione di generatori di calore a combustibili fossili con caldaie a biomasse per il riscaldamento di n°34 unità abitative",2020,2013,"","Italy","it","Calascio"
7.4,54096,"Sostituzione di caldaie in n°29 unità abitative",2020,2013,"","Italy","it","Calascio"
6,50000,"L’intervento ha previsto la coibentazione delle pareti perimetrali dell’edificio scolastico.",2011,2011,"","Italy","it","Calascio"
1.78,15611,"installation of a solar thermal system consisting of five panels at the cobblestone sports center in support of the production of hot water",2020,2012,"","Italy","en","Calcio"
33.17,42536,"installation of a photovoltaic plant at the slotted sports center",2020,2012,"","Italy","en","Calcio"
75.53,150000,"L'azione è in corso di svolgimento, ad oggi è stato realizzato l'intervento di coibentazione della Copertura della scuola elementare; intervento realizzato nel 2014.",2020,2012,"","Italy","it","Calcio"
47.6,10000,"L'azione è in corso di svolgimento, è stato sostituito un primo gruppo di lampade, a breve verranno sostituite anche le altre lampade. ",2020,2012,"","Italy","it","Calcio"
32.25,10000,"La società Stop&go ha installato la casetta dell'acqua",2015,2011,"","Italy","it","Calcio"
