,adhesion_date,country,latitude,longitude,name,population,url,ACTION,MONITOR
1749,26/04/2014,Italy,44.580841064453004,8.1920900344849,CORTEMILIA,2368,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18035,1,1
1750,29/07/2016,Spain,39.241878509521,-0.94116002321243,CORTES DE PALLAS,993,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19921,1,1
1751,23/02/2017,Italy,,,COSSANO BELBO,COSSANO BELBOCAMOSERRAVALLE LANGHECISSONEPERLETTOCASTIGLIONE TINELLATREZZO TINELLAROCCHETTA BELBOCERRETTO LANGHEBENEVELLOCASTINOLEQUIO BERRIAALBARETTO DELLA TORREBORGOMALEARGUELLO,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20709,1,1
1752,17/02/2017,Italy,,,CRAVANZANA,SALICETOCAMERANABOSIAPEZZOLO VALLE UZZONEGOTTASECCABERGOLOLEVICETORRE BORMIDAPRUNETTOCRAVANZANAMONESIGLIO,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20711,1,1
1753,31/05/2016,Spain,39.070755223905,-0.5754772309509201,COTES,375,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19848,1,1
1754,08/05/2014,Italy,45.58549118042,11.487170219421001,COSTABISSARA,7367,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18119,1,1
1755,19/11/2013,Spain,41.365070343018,-1.2999399900436,COSUENDA,398,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18155,1,1
1756,18/10/2012,Italy,44.634101867676,8.5859899520874,CREMOLINO,1125,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16039,1,1
1757,28/10/2013,Italy,45.82873916625999,11.839229583739998,CRESPANO DEL GRAPPA,4696,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17695,1,1
1758,24/03/2016,Italy,45.493698120116996,12.210000038147,CROCETTA DEL MONTELLO ,6080,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19813,1,1
1759,28/07/2016,Italy,39.314998626709,16.433799743652,CROPALATI ,1116,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19808,1,1
1760,10/03/2014,Spain,41.098091125488,-1.6332700252533001,CUBEL,187,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18156,1,1
1761,12/04/2019,Spain,43.288421001070994,-8.3894348144531,CULLEREDO,30221,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26699,1,1
1762,29/03/2016,Spain,39.163200378418004,-0.25378999114037,CULLERA,22236,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19552,1,1
1763,08/09/2014,Spain,41.247398376465,0.7340000271797199,Cabacés,333,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18366,1,1
1764,26/02/2014,Italy,45.119361877440994,10.277270317078,Ca' d'Andrea,467,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17955,1,1
