,name,country,emissions_baseline_year,percent_emissions_municipal,percent_emissions_tertiary,percent_emissions_residential,percent_emissions_public lighting,percent_emissions_transport,tons_co2_municipal,tons_co2_tertiary,tons_co2_residential,tons_co2_public lighting,tons_co2_transport,energy_consumption_baseline_year,percent_energy_consumption_municipal,percent_energy_consumption_tertiary,percent_energy_consumption_residential,percent_energy_consumption_public lighting,percent_energy_consumption_transport,mwh_energy_consumption_municipal,mwh_energy_consumption_tertiary,mwh_energy_consumption_residential,mwh_energy_consumption_public lighting,mwh_energy_consumption_transport,percent_energy_consumption_from_electricity,percent_energy_consumption_from_fossil fuels,mwh_energy_consumption_from_electricity,mwh_energy_consumption_from_fossil fuels,emissions_factor,tons_co2_per_capita,mwh_per_capita,percent_emissions_non-energy related,tons_co2_non-energy related,percent_energy_consumption_from_renewables,mwh_energy_consumption_from_renewables,percent_emissions_industry,tons_co2_industry,percent_energy_consumption_industry,mwh_energy_consumption_industry,percent_emissions_other,tons_co2_other,percent_energy_consumption_other,mwh_energy_consumption_other,percent_energy_consumption_from_heat/cold,mwh_energy_consumption_from_heat/cold
5640,Montefredane,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5641,Montefrío,Spain,2007,2.30,4.10,10.65,,47.37,911.25,1628.1,4228.2,,18801.4735,2007,,,,,46.36,,,,,72764.96,10.52,75.89,16510,119128.73,IPCC,6.22,21.26,3.78,1502,13.59,21330.61,1.67,661.95,,,30.13,11957.0776,53.64,84204.37,,
5642,Montegabbione,Italy,2009,1.03,10.99,34.00,1.81,50.35,46.9024,498.4736,1542.2055,81.958,2283.9984,2009,1.02,7.91,33.88,1.10,54.74,159.7,1235.9,5294.5,172,8554.8,17.10,82.90,2673,12955.7,IPCC,3.66,12.59,,,,,1.83,82.9413,1.36,211.9,-0.00,-9.7543306765146E-14,,,,
5643,Montegallo,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5644,Montegiordano ,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5645,Montegrotto Terme,Italy,2010,0.98,48.63,38.83,2.07,9.49,574.55164,28369.65759,22649.33604,1206.12416,5536.61915,2010,1.10,41.13,45.31,1.08,11.38,2114.54,79343.66,87415.07,2086.72,21946.3,25.00,74.17,48219.14,143076.82,IPCC,5.22,17.25,,,0.83,1610.33,,,,,,,,,,
5646,Montejícar,Spain,2007,2.04,3.31,10.14,,49.39,270,437.85,1343.25,,6540.3816,2007,,,,,49.98,,,,,25295.7,10.61,78.94,5371,39953.09,IPCC,5.19,17.77,3.87,512,10.45,5288.66,2.76,365.85,,,28.49,3772.7278,50.02,25317.04,,
5647,Montelapiano,Italy,2005,2.25,,62.69,9.53,22.45,7.47717,,208.687,31.71861,74.71195,2005,2.54,,69.17,5.27,23.02,31.66,,862,65.67,286.85,15.45,84.55,192.52,1053.66,IPCC,3.50,13.12,3.09,10.27,,,,,,,0.00,1.3727685654885E-14,0.00,1.1368683772162E-13,,
5648,Monteleone Rocca Doria						,Italy,2010,4.63,23.49,20.88,3.39,44.55,22.78765745,115.560922451,102.761152515,16.699685275,219.237945957,2010,3.70,16.69,20.99,2.40,54.00,50.01000003,225.6293837,283.705328,32.5,730.0081379,34.93,61.78,472.1,834.9,LCA,3.91,10.73,,,3.29,44.5,3.05,15.015210527,2.21,29.92547596,0.00,4.5506766355174E-15,,,,
5649,Monteleone d'Orvieto,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5650,Monteleone di Puglia,Italy,2005,2.52,18.13,63.51,4.68,8.40,56.98035,409.94093,1436.12636,105.777,189.99369,2005,2.70,11.64,70.77,2.70,8.94,219.2,943.35,5738.01,219,725.19,24.41,75.59,1979.46,6128.2,IPCC,1.78,6.37,,,,,2.76,62.48248,3.24,262.91,-0.00,-2.0719426174765E-14,,,,
5651,Montelepre,Italy,2011,3.79,11.71,37.29,11.92,27.51,475.5466,1468.0699,4673.928,1494.4503,3448.3326,2011,3.03,10.03,34.57,8.60,37.01,1088.3,3607.3,12435.2,3094.1,13313.4,44.01,55.99,15832.2,20142.2,IPCC,1.95,5.60,,,,,7.53,943.9113,6.61,2376.4,0.23,28.8351,0.17,59.7,,
5652,Montelibretti,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5653,Montella,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5654,Montellano,Spain,2007,3.78,6.18,16.85,,56.43,916.65,1498.5,4087.8,,13690.8694,2007,,,,,54.97,,,,,53051.72,20.48,75.27,16162,59400.9,IPCC,3.44,10.70,7.05,1710,4.24,3349.69,3.17,769.95,,,6.54,1585.8301,45.03,43461.87,,
5655,Montellà i Martinet,Spain,2005,0.22,12.07,27.69,0.04,47.79,5.5558,306.1023,701.9112,0.966,1211.5332,2005,0.64,16.96,38.05,0.91,43.45,67.9,1796.8,4031.6,96.6,4603.8,18.21,81.79,1930,8666.7,IPCC,4.69,19.59,12.19,309.1,,,,,,,,,,,,
5656,Montelongo,Italy,2005,5.25,4.15,34.53,4.13,51.94,43.36818,34.32239,285.30748,34.1112,429.121,2005,3.87,4.91,31.57,2.43,57.22,111.38,141.34,908.09,69.9,1646.09,17.39,82.41,500.17,2370.66,IPCC,1.85,6.44,,,0.21,5.96,,,,,0.00,1.2175149777249E-14,-0.00,-5.0E-28,,
5657,Montelupo Fiorentino,Italy,2010,0.93,15.19,23.17,1.14,32.43,632.0777,10299.85855,15708.11781,770.321,21982.46964,2010,0.85,12.88,29.86,0.73,32.37,2242.72,33914.75,78624.05,1921,85237.09,22.83,68.88,60109.39,181373.06,IPCC,4.95,19.23,,,8.29,21831.52,26.64,18061.83451,22.89,60276.36,0.49,334.036,0.42,1098,,
5658,Montemaggiore Belsito,Italy,2011,1.94,5.10,42.27,2.33,34.74,132.4686,348.0429,2885.9759,159.2625,2372.1192,2011,1.55,4.90,39.52,1.47,39.18,360.8,1143.1,9227.5,342.5,9149.6,24.76,73.95,5780.7,17267.9,IPCC,1.92,6.56,,,1.29,302.3,5.75,392.505,5.11,1192.3,7.87,537.5747,8.29,1935.1,,
5659,Montemarzino,Italy,2004,2.05,7.09,45.21,1.70,43.95,37.255,128.968,822.286,30.912,799.311,2004,2.22,6.52,47.39,0.90,42.98,158,464,3373,64,3059,8.75,91.25,623,6495,IPCC,5.04,19.72,,,,,,,,,,,,,,
5660,Montemitro,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5661,Montemolín,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5662,Montemonaco,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5663,Montemor-o-Velho,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5664,Montemurlo,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5665,Montemurro,Italy,2009,4.93,4.96,53.31,0.75,34.15,307.468,309.396,3322.999,46.728,2128.864,2009,3.91,2.74,48.39,0.41,44.55,624,437,7727,66,7114,12.54,52.64,2003,8406,LCA,4.50,11.54,1.89,118,34.81,5559,,,,,,,,,,
5666,Montenero di Bisaccia,Italy,2005,0.63,68.64,10.51,0.13,20.09,268.1016,29083.4123,4455.30357,54.64136,8511.10543,2005,1.44,21.51,21.61,0.19,55.26,845,12662,12722.18,111.97,32528.4,57.97,41.92,63693.89,46058.32,IPCC,6.36,16.46,,,0.11,117.35,,,,,0.00,3.4990534913959E-12,-0.00,-3.0E-26,,
5667,Montenerodomo,Italy,2005,3.64,9.50,63.04,2.47,18.89,82.85166,216.101,1433.40878,56.04732,429.54189,2005,5.08,9.36,83.54,1.63,0.38,360.94,665,5933,116.04,26.67,14.47,85.53,1266.42,7486.57,IPCC,2.50,9.59,2.45,55.68,,,,,,,0.00,1.8371792975813E-13,-0.00,-9.0949470177297E-13,,
5668,Monteodorisio,Italy,2005,1.19,11.80,57.33,1.51,23.97,72.54844,721.714,3507.447,92.56695,1466.29065,2005,1.12,8.89,63.60,0.86,25.52,251.23,1987,14210,191.65,5702.59,16.45,83.55,3676.23,18666.24,IPCC,2.44,8.92,4.21,257.77,,,,,,,0.00,3.6743585951627E-13,,,,
5669,Monteprandone,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5670,Montepulciano,Italy,2009,0.44,16.90,23.27,0.70,44.99,390.8436,15056.3724,20734.1915,621.621,40088.4062,2009,0.33,12.57,24.70,0.41,48.73,1055,39725,78081,1287,154025,16.60,83.32,52463.4,263307.7,IPCC,6.12,21.69,,,,,13.66,12170.6281,13.25,41884,0.05,42.129000000001,0.00,2.7240423858164E-12,0.08,246
5671,Montereale,Italy,2005,1.13,16.35,60.06,3.13,19.33,108.9862,1570.2742,5769.6754,300.909,1857.1413,2005,0.66,11.11,68.79,1.57,17.87,264.1,4414.8,27335.7,623,7100.5,15.43,75.41,6131,29965.15,IPCC,15.80,65.36,,,9.16,3641.7,,,,,,,,,,
5672,Monterenzio,Italy,2008,2.20,9.24,36.70,1.06,41.38,598.242,2513.046,9982.514,287.385,11254.511,2008,2.26,6.36,43.05,0.54,41.81,2498,7025,47553,595,46177,14.32,78.32,15811,86505,IPCC,4.66,18.93,,,7.36,8133,9.42,2563.094,5.98,6601,,,,,,
5673,Monteriggioni,Italy,1999,0.37,9.16,20.19,0.60,40.23,176.4307,4348.5782,9579.8033,286.902,19088.379,1999,0.28,7.03,21.78,0.36,45.68,461.21,11507.68,35634.34,593.64,74753.72,21.99,78.01,35979,127664.23,IPCC,5.89,20.31,,,,,29.44,13971.67354,24.87,40692.62,0.00,2.4283508537337E-13,0.00,1.4551915228367E-11,,
5674,Monterosso Almo,Italy,2011,3.74,7.62,37.66,1.25,18.80,316.1538,645.0275,3186.3027,105.6132,1590.977,2011,2.83,7.58,39.99,0.95,21.12,829.8,2220.9,11722.8,277.2,6192,35.36,63.87,10366.9,18723.6,IPCC,2.67,9.24,,,0.77,225.1,12.21,1033.048,10.89,3191.7,18.72,1583.6574,16.65,4881.2,,
5675,Monterosso al Mare,Italy,2008,1.08,50.92,36.33,1.45,6.63,56.78718,2689.630346,1919.151352,76.47456,350.15316690233,2008,1.34,43.53,42.97,0.95,8.28,224,7256,7163,159,1380,39.78,59.81,6629.901,9968.0023813954,IPCC,3.44,10.81,,,0.41,69.069,3.60,190.139703,2.92,486,,,,,,
5676,Monterotondo,Italy,2008,0.76,15.35,31.55,0.63,44.34,1293.2619998999,26219.897253576,53884.819437461,1074.0164219734,75736.687889473,2008,0.61,10.75,35.61,0.42,46.13,3413.115255,60352.78080825,199887.59397945,2351.998121,258904.99716153,19.77,76.89,110941.7887276,431604.2471422,LCA,4.42,14.44,,,3.34,18751.83452015,6.51,11126.408018023,5.66,31766.3076809,0.86,1462.1308428363,0.82,4621.27738382,,
5677,Monterotondo Marittimo,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5678,Monterrei,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5679,Monterrubio de la Serena,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5680,Montesano Salentino,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5681,Montesarchio,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5682,Montescaglioso,Italy,2009,1.47,7.90,38.70,1.89,44.65,397.96224,2143.51686,10505.815,512.265,12120.8196,,,,,,,,,,,,,,,,LCA,2.69,8.99,2.87,779,,,1.17,316.3476,,,1.38,373.602,,,,
5683,Montescheno,Italy,2009,1.28,6.72,51.33,0.99,39.67,23.089,121.015,923.936,17.871,713.913,2009,3.01,3.78,56.51,0.47,36.24,239,300,4491,37,2880,8.41,82.81,657,6467,IPCC,4.09,16.19,,,8.77,685,,,,,,,,,,
5684,Montesegale,Italy,2010,1.42,3.63,54.92,1.60,31.14,18.704,47.765,723.439,21.063,410.119,2010,1.38,2.06,66.93,0.83,25.62,85,127,4127,51,1580,12.18,70.84,751,4368,IPCC,4.10,19.21,2.43,32,16.98,1047,4.87,64.121,3.18,196,,,,,,
5685,Montespertoli,Italy,2010,0.71,9.19,26.51,0.64,38.35,432.20965,5611.18645,16183.80839,393.62547,23413.42484,2010,0.62,7.90,33.36,0.40,37.19,1504.9,19272.88,81402.74,986.53,90761.58,18.35,72.34,44777.06,176543.9,IPCC,4.63,18.50,,,9.31,22715.01,19.67,12011.11459,16.40,40033.15,4.93,3011.56665,4.13,10074.19,,
5686,Montesilvano,Italy,2005,1.42,,55.38,2.86,0.15,1465.013,,57137.8843,2949.8742,153.174,2005,1.50,,64.16,1.74,0.17,5288.6,,225819.8,6107.4,584.5,32.39,67.61,114008,237946,IPCC,2.31,7.89,,,,,40.19,41460.696,32.43,114155.5,-0.00,-0.47950000000095,0.00,0.09999999999127,,
5687,Montesquiu,Spain,2005,1.71,7.76,35.28,1.66,46.19,69.9497,317.236,1441.7264,67.821,1887.7748,2005,1.63,5.31,37.93,1.06,54.07,217.1,705,5038.6,141,7183.8,13.98,85.94,1857.6,11417.5,IPCC,4.76,15.48,7.40,302.3,0.08,10.4,,,,,,,,,,
5688,Montevago,Italy,2011,1.46,10.91,39.08,2.98,19.07,89.316,667.2197,2389.5937,182.104,1166.422,2011,1.25,9.60,37.78,2.00,22.06,258,1982.1,7800.7,412,4554.8,29.77,69.60,6146,14369,IPCC,2.01,6.79,,,0.62,129,,,,,26.50,1620.3906,27.32,5642.5,,
5689,Montevecchia,Italy,2005,2.14,12.74,63.65,1.28,20.20,178.47325,1062.58491,5308.44428,106.52082,1684.49897,2005,2.15,10.51,68.14,0.63,18.58,757.55,3705.02,24030.9,220.54,6554.27,12.47,81.45,4399.36,28726.52,IPCC,3.40,13.52,,,6.07,2141.85,,,,,0.00,7.3487171903252E-13,-0.00,-3.6379788070917E-12,,
5690,Monteveglio,Italy,2009,3.84,23.76,60.09,0.88,11.42,548.122,3389.342,8572.118,125.66,1629.55,2009,4.23,19.78,64.42,0.52,11.04,2491,11636,37898,305,6497,20.66,74.26,12155,43682,IPCC,2.71,10.61,,,5.08,2989,,,,,,,,,,
5691,Monteverde,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5692,Montezemolo,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5693,Montferri,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5694,Montgat,Spain,2005,0.85,9.15,23.42,1.21,38.46,383.81092,4146.63322,10613.35391,547.17598,17431.62769,2005,0.61,7.38,22.86,0.73,42.91,947.2,11451.21,35459.46,1137.58,66552.21,18.27,81.68,28331.83,126684.45,IPCC,4.97,16.43,6.73,3049.1,0.06,90.1,20.19,9149.39542,25.50,39558.73,,,,,,
5695,Montgermont,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5696,Monticelli Pavese,Italy,2008,0.76,15.63,33.37,0.55,49.68,40.214,830.598,1772.935,29.463,2639.244,2008,0.65,10.04,44.69,0.26,44.37,149,2312,10294.2,61,10221,9.68,77.75,2229,17911,IPCC,7.21,31.26,,,12.58,2897.2,,,,,,,,,,
5697,Monticelli d'Ongina,Italy,2010,0.70,18.19,27.34,0.72,28.56,329.32659,8559.89855,12868.89169,336.84135,13439.82145,2010,0.74,18.44,29.90,0.40,28.52,1343.23,33474.83,54262.1,724.39,51757.98,13.40,78.16,24321.07,141855.27,IPCC,8.62,33.26,,,8.44,15320.72,16.25,7645.83973,14.84,26933.03,8.25,3882.8543,7.16,13001.5,,
5698,Monticello Conte Otto,Italy,2009,1.03,4.33,34.40,0.50,38.04,527.9572,2220.385,17633.348,256.1013,19495.847,2009,1.90,5.43,65.32,0.53,,2230,6368,76669,620.1,,17.97,82.03,34634.5,158103,IPCC,5.54,20.83,1.77,906,,,19.93,10215.057,26.83,31491,,,,,,
5699,Montignoso,Italy,2008,1.23,20.90,58.35,1.39,18.13,344.29,5830.253,16278.945,388.492,5057.928,2008,1.21,16.37,62.87,0.77,18.78,1265,17184,65998,806,19715,21.11,78.89,21082,78778,IPCC,2.66,9.52,,,,,,,,,,,,,,
5700,Montijo,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5701,Montilla,Spain,2007,2.71,8.03,12.62,,34.30,3880.8,11523.15,18112.05,,49214.1608,2007,,,,,35.72,,,,,190605.56,16.94,78.36,90403,418136.76,IPCC,6.05,21.43,3.28,4702,4.69,25037.67,4.99,7165.35,,,34.06,48869.6411,64.28,342971.86,,
5702,Montmajor,Spain,2005,7.00,6.95,21.84,0.50,59.36,229.86882,228.2028,717.15272,16.52716,1949.32919,2005,5.35,5.61,17.56,0.33,71.16,554.96,581.8,1821.72,34.36,7383.17,17.93,81.96,1860.63,8503.78,IPCC,7.14,22.56,4.35,142.7,0.11,11.6,,,,,,,,,,
5703,Montmeló,Spain,2005,0.55,23.26,28.66,0.92,40.44,222.9183,9503.7451,11707.629,374.699,16519.25387,2005,0.49,17.09,31.24,0.63,50.55,608.4,21241.4,38825.8,779,62828.01,26.61,73.39,33068.1,91205.4,IPCC,4.68,14.23,6.18,2523.7,0.01,9.11,,,,,,,,,,
5704,Montmélian,France,2005,6.87,25.56,40.90,0.37,,898.194,3340.929,5345.62,48.564,,2005,5.84,22.54,33.08,0.80,,4992,19258,28259,684,,41.58,57.67,34400,47711,IPCC,3.25,20.47,,,0.75,622,26.30,3437.141,37.74,32246,,,,,,
5705,Montoggio,Italy,2005,0.95,12.06,66.16,1.03,19.80,70.7781,900.0212,4937.6686,76.8587,1477.4001,2005,0.86,10.17,67.65,0.57,20.75,235.2,2794.6,18579.6,155.9,5700.3,15.77,82.64,4331.7,22698.4,IPCC,3.70,13.61,,,1.59,435.5,,,,,,,,,,
5706,Montorio al Vomano,Italy,2005,,,,,16.19,,,,,4063.9144,2005,0.48,19.56,59.15,4.67,16.14,469.5,19099.9,57762.4,4559.5,15765.6,19.33,75.93,18874.3,74154.8,IPCC,3.12,11.58,,,4.74,4627.9,,,,,83.81,21037.5309,,,,
5707,Montorio nei Fentani,Italy,2005,6.69,3.21,32.13,5.14,52.83,69.9223,33.56734,335.83915,53.68,552.09876,2005,4.85,4.07,29.17,3.06,58.85,174.55,146.56,1049.59,110,2117.61,18.26,81.53,657.05,2933.51,IPCC,2.01,6.90,,,0.21,7.67,,,,,0.00,9.4857455223973E-16,0.00,2.2737367544323E-13,,
5708,Montornès del Vallès,Spain,2005,1.35,26.16,26.47,1.21,37.97,864.383,16789.3984,16993.084,775.372,24371.607,2005,1.40,19.15,29.69,0.85,48.91,2667,36445,56521,1612,93113,29.06,70.94,55318.1,135039.9,IPCC,4.52,13.41,6.85,4397,,,,,,,,,,,,
5709,Montoro,Spain,2007,3.72,7.78,14.85,,39.07,2011.5,4208.85,8027.1,,21127.5541,2007,,,,,33.64,,,,,81732.35,15.14,56.68,36776,137691.73,IPCC,5.50,17.76,3.61,1953,28.18,68471.02,4.26,2301.75,,,26.71,14441.8053,66.36,161206.4,,
5710,Montoro Superiore,Italy,2011,0.75,28.73,27.85,2.02,40.65,214.16073,8230.2658,7980.16195,579.80286,11647.509,2011,0.67,30.09,26.57,1.10,41.56,733.56,32814.28,28973.62,1200.42,45321.87,11.89,88.11,12967.68,96076.08,IPCC,3.18,12.09,,,,,,,,,,,0.00,7.2759576141834E-12,,
5711,Montpellier,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5712,Montresta,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5713,Montreuil,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5714,Montreuil-le-Gast,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5715,Montreux,Switzerland,2000,2.83,24.02,53.29,0.38,19.29,5329.89,45262.293,100428.551,710.991,36346.514,2000,2.78,20.33,54.74,0.25,21.66,17488,128047,344746,1549,136418,16.08,83.64,101282,526773,LCA,8.49,28.36,,,0.28,1766,0.20,372.801,0.25,1573,,,,,,
5716,Montroi / Montroy,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5717,Montseny,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5718,Montserrat,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5719,Montuïri,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5720,Monvalle,Italy,2005,0.17,2.06,13.63,0.00,4.92,43.23628,530.1621,3502.13234,0.664,1264.9168,2005,0.25,2.32,23.09,0.00,6.48,194.29,1777.95,17709.79,1.66,4971.7,68.34,28.32,52429.76,21726.9,IPCC,14.00,40.39,,,3.34,2558.7,79.22,20356.02157,67.86,52059.97,0.00,2.5574422579666E-12,0.00,1.2E-26,,
5721,Monza,Italy,2005,1.71,20.13,39.84,0.65,15.81,9266.79927,109067.65382,215874.54385,3532.20231,85666.7471,2005,1.71,17.45,43.50,0.42,16.28,35469.87,361106.51,899877.71,8764.72,336737.54,23.59,74.30,488138.08,1537078.48,IPCC,4.44,16.96,,,0.47,9637.94,21.86,118447.79454,20.63,426893.14,0.00,0.00065000000060534,0.00,0.010000000009313,1.64,33995.11
5722,Monzuno,Italy,2008,1.29,11.19,30.45,1.49,38.06,434.307,3766.251,10245.728,499.905,12805.602,2008,1.33,8.02,43.37,0.76,37.21,1812,10934,59121,1035,50721,22.31,77.69,26202,91249,IPCC,5.25,18.33,,,,,17.52,5896.233,9.31,12684,,,,,,
5723,Monção,Portugal,2008,3.57,31.15,29.52,4.30,31.46,1017.60366,8890.17977,8424.84976,1228.23495,8978.43936,2008,3.54,29.66,25.82,3.65,37.33,3229.81,27034.17,23533.73,3328.55,34032.02,48.86,51.14,44542.79,46615.51,IPCC,1.46,4.67,,,,,,,,,-0.00,-2.6848283596337E-12,,,,
5724,Monóvar,Spain,2007,6.08,27.62,57.57,3.77,4.96,1348.85759,6128.04343,12774.88399,836.6336,1101.39564,2007,5.44,23.57,60.64,3.20,7.16,3231.91,14011.55,36051.07,1901.44,4258.88,66.76,33.24,39693.34,19761.51,IPCC,1.72,4.60,,,,,,,,,-0.00,-3.080003807554E-12,-0.00,-4.0E-26,,
5725,Moorslede,Belgium,2011,2.38,17.90,50.38,0.56,28.78,795.102,5989.878,16862.522,189.039,9634.385,2011,2.33,21.41,53.50,0.60,22.16,4005,36847,92100,1033,38149,22.49,64.96,38710,111812,IPCC,3.06,15.74,,,8.86,15243,,,,,,,,,3.70,6369
5726,Moorslede within Klimaatoverleg Midwest,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5727,Mora,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5728,Moraleja,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
5729,Moralzarzal,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5730,Morano Calabro,Italy,2009,1.73,23.36,36.86,3.60,22.30,140.4939,1893.953,2988.4797,291.5781,1807.9298,2009,1.88,20.42,37.63,2.42,26.32,505.7,5497,10130.6,652.3,7085.9,34.77,65.23,9360.8,17561.3,IPCC,1.68,5.59,,,,,7.43,602.2568,7.29,1962.9,4.73,383.5469,4.04,1087.7,,
5731,Moravske Toplice ,Slovenia,2014,1.84,27.27,30.03,0.46,31.60,467.8644,6920.4162,7619.8049,115.856,8020.5852,2014,0.89,35.08,38.66,0.13,19.98,1409.2,55735.4,61417,208,31739.6,11.04,37.43,17540.5,59464,IPCC,4.13,25.83,,,51.53,81868.7,,,,,8.80,2233.188,5.26,8364,,
5732,Morazzone,Italy,2009,1.92,11.62,78.16,0.91,7.39,223.8241336494,1352.5826625411,9098.6266276211,106.07252,859.93855405921,2009,1.99,9.83,80.77,0.54,6.87,984.1867047,4853.123803,39896.97962,264.52,3395.011749,13.76,86.24,6794.374,42599.44787653,IPCC,2.67,11.32,,,,,,,,,,,0.00,7.2759576141834E-12,,
5733,Morbegno,Italy,2005,2.26,22.89,55.54,1.41,17.89,1006.4202,10173.41702,24688.73781,626.55243,7954.10172,2005,2.39,16.07,63.03,0.74,17.77,4169.86,27993.73,109789.08,1297.21,30946.77,17.30,73.41,30136.31,127876,IPCC,3.84,13.66,,,9.29,16184.31,,,,,-0.00,-9.7134034149348E-13,,,,
5734,Morciano di Leuca,Italy,2007,0.88,17.54,50.89,2.26,28.43,72.0046,1431.2796,4153.2469,184.2645,2319.9976,2007,0.72,13.49,48.50,1.51,35.77,181.8,3398.8,12216.7,381.5,9009.9,29.03,70.97,7311.5,17877.2,IPCC,2.34,7.23,,,,,,,,,,,,,,
5735,Morciano di Romagna,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5736,Morcone,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5737,Mordano,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5738,Mordelles,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5739,Morengo,Italy,2005,1.60,5.84,62.80,0.24,15.93,170.352,619.776,6668.658,26,1691.457,2005,1.89,6.61,63.14,0.17,18.09,711,2484,23715,65,6793,36.46,63.54,13696,23865,IPCC,4.22,14.93,,,,,13.58,1442.158,10.10,3793,,,,,,
5740,Morera de Montsant,Spain,2005,2.95,7.14,19.55,2.93,61.13,30.48097,73.87799,202.13418,30.29819,632.06954,2005,1.88,5.86,19.47,1.86,70.92,63.37,198.11,657.7,62.99,2395.82,12.65,87.01,427.31,2939.24,IPCC,6.15,20.11,6.30,65.14,0.34,11.44,,,,,,,,,,
5741,Mores	,Italy,2010,1.62,9.33,19.63,2.08,54.00,133.350529286,768.276312095,1616.901003279,171.313079098,4448.272083111,2010,1.27,6.45,18.52,1.38,62.27,305.325,1554.95354,4462.72985,333.424988,15005.7044765,24.53,72.55,5912.2,17483.6,LCA,4.16,12.16,,,2.91,702.4,13.35,1099.632348135,10.11,2436.15494,0.00,3.0138585316309E-14,,,,
5742,Morgano,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
5743,Mori,Italy,2007,2.46,19.88,35.40,1.06,41.20,872.0215,7054.3139,12563.9406,377.4141,14618.8421,2007,2.59,17.73,38.17,0.68,40.83,3582.2,24518.4,52791.5,945.9,56479.5,13.60,84.92,18810.4,117462,IPCC,3.87,15.10,,,1.48,2045.1,,,,,,,,,,
5744,Moriago della Battaglia,Italy,2007,2.70,11.86,39.76,1.57,44.11,237.31363,1043.89142,3499.23495,138.22326,3882.40047,2007,2.46,11.45,41.03,0.88,44.19,843.95,3929.48,14082.91,301.14,15167.88,12.08,86.14,4146.11,29568.78,IPCC,3.16,12.33,,,1.78,610.47,,,,,,,,,,
