,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture,cooperative-initiative,attr_Innovation
,,,,,,,"Hong Kong, China",,Investor,Link Real Estate Investment Trust,,Responsible corporate engagement in climate policy,,/company/link-real-estate-investment-trust,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Forest, Paper, and Rubber Products",United Kingdom of Great Britain and Northern Ireland,,Company,Mondi PLC,,Responsible corporate engagement in climate policy,,/company/mondi-plc,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Technology Hardware and Equipment,Taiwan Province of China,,Company,Delta Electronics,,Responsible corporate engagement in climate policy,,/company/delta-electronics,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Electric Utilities, Independent Power Producers, and Energy Traders",Spain,,Company,ACCIONA S.A.,,Responsible corporate engagement in climate policy,,/company/acciona-s-a-,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Consumer Durables, Household and Personal Products",United Kingdom of Great Britain and Northern Ireland,,Company,Unilever plc,,Responsible corporate engagement in climate policy,,/company/unilever-plc,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Automobiles and Components,Italy,,Company,Fiat Chrysler Automobiles NV,,Responsible corporate engagement in climate policy,,/company/fiat-chrysler-automobiles-nv,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Consumer Durables, Household and Personal Products",Sweden,,Company,IKEA,,Responsible corporate engagement in climate policy,,/company/ikea,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Construction and Engineering,France,,Company,Bouygues,,Responsible corporate engagement in climate policy,,/company/bouygues,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Chemicals,Germany,,Company,Symrise AG,,Responsible corporate engagement in climate policy,,/company/symrise-ag,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Professional Services,United Kingdom of Great Britain and Northern Ireland,,Company,KPMG UK,,Responsible corporate engagement in climate policy,,/company/kpmg-uk,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Electric Utilities, Independent Power Producers, and Energy Traders","Hong Kong, China",,Company,CLP Holdings Limited,,Responsible corporate engagement in climate policy,,/company/clp-holdings-limited,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
