id,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture,cooperative-initiative,attr_Innovation
26,1.0,,,2008.0,,,Spain,,City,Abarán,22,Reduce community-wide CO2 emissions by 22% from 2008 to 2020,2020.0,/city/abaran/spain,,,,,,,1.0,1.0,,,,,,,,,
27,1.0,,,2013.0,1.0,Electrical Equipment and Machinery,Switzerland,,Company,ABB,20,Reduce CO2e emissions intensity of direct fuel consumption and use of electricity and district heating for manufacturing processes and operating buildings by 20% per unit of revenue from 2013 to 2020,2020.0,/company/abb,,,,,,,,,,,,,,,,,
28,1.0,,,2010.0,,,Italy,,City,Abbiategrasso,30,Reduce community-wide CO2 emissions by 30% from 2010 to 2020,2020.0,/city/abbiategrasso/italy,,,,,,,1.0,1.0,,,,,,,,,
29,,1.0,1.0,2010.0,1.0,"Healthcare Providers, Services, and Technology",United States of America,,Company,Abbott Laboratories,40,"Reduce operational CO2e emissions intensity by 40% per unit of revenue from 2010 to 2020 through increased energy efficiency, low-carbon fuels, and solar thermal installations",2020.0,/company/abbott-laboratories,,,,,,,,,,,,,,,,,
30,1.0,1.0,,2010.0,1.0,"Healthcare Providers, Services, and Technology",United States of America,,Company,Abbott Laboratories,48,Reduce operational CO2e emissions intensity of Nutrition business unit by 48% per unit revenue from 2010 to 2020 through increased energy efficiency ,2020.0,/company/abbott-laboratories,,,,,,,,,,,,,,,,,
31,1.0,1.0,,2014.0,1.0,"Healthcare Providers, Services, and Technology",United States of America,,Company,Abbott Laboratories,4,Reduce operational CO2e emissions of entire company by 4% from 2014 to 2015 through increased energy efficiency ,2015.0,/company/abbott-laboratories,,,,,,,,,,,,,,,,,
32,1.0,1.0,,2014.0,1.0,"Healthcare Providers, Services, and Technology",United States of America,,Company,Abbott Laboratories,2,Reduce operational CO2e emissions of Abbott Diagnostic division by 2% from 2014 to 2015 through increased energy efficiency ,2015.0,/company/abbott-laboratories,,,,,,,,,,,,,,,,,
33,,,,2010.0,1.0,"Healthcare Providers, Services, and Technology",United States of America,,Company,Abbott Laboratories,30,Reduce total water intake by 30% per unit of revenue from 2010 to 2020,2020.0,/company/abbott-laboratories,,,,,,,,,1.0,,,,,,,,
34,1.0,,,2010.0,1.0,"Healthcare Providers, Services, and Technology",United States of America,,Company,Abbott Laboratories,40,"Reduce operational CO2e emissions intensity by 40% per unit of revenue from 2010 to 2020 through increased energy efficiency, low-carbon fuels, and solar thermal installations",2020.0,/company/abbott-laboratories,,,,,,,,,,,,,,,,,
35,1.0,1.0,,2015.0,1.0,"Pharmaceuticals, Biotechnology, and Life Sciences",United States of America,,Company,AbbVie,50,Reduce direct CO2e emissions from Barceloneta Puerto Rico facilities by 50% from 2015 to 2020 through installation of high-efficiency LNG turbines,2020.0,/company/abbvie,,,,,,,,,,,,,,,,,
