"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","X","file_iso","name","continent"
"34",34,0.00116970080212921,0.00129000768589981,0.974163088473941,0.0229251798299392,0.000452023208091355,34,"DOM","Dominican Republic","Americas"
"35",35,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,35,"ESP","Spain","Europe"
"36",36,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,36,"EST","Estonia","Europe"
"37",37,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,37,"EUU",NA,NA
"38",38,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,38,"FIN","Finland","Europe"
"39",39,0.00477036086036511,0.00506343808926247,0.418559704960151,0.505315134946511,0.0662913611437099,39,"FJI","Fiji","Oceania"
"40",40,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,40,"FRA","France","Europe"
"41",41,0.0973546526317405,0.00587946193657962,0.0555786141674014,0.832372827035707,0.00881444422857086,41,"GBR","United Kingdom","Europe"
"42",42,0.00554272437837362,0.00194623413895105,0.728957404522323,0.0681160494509917,0.195437587509361,42,"GEO","Georgia","Asia"
"43",43,0.00247089918881526,0.941513813027481,0.00136633582842727,0.0541308093988536,0.00051814255642304,43,"GHA","Ghana","Africa"
"44",44,0.204421476162156,0.17097127201129,0.581122101524396,0.00422040168158971,0.0392647486205682,44,"GIN","Guinea","Africa"
"45",45,0.0204978472335608,0.0522455588612659,0.558531771972212,0.355874567850675,0.0128502540822866,45,"GNB","Guinea-Bissau","Africa"
"46",46,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,46,"GRC","Greece","Europe"
"47",47,0.000916959084473619,0.0018568279807528,0.973374311839809,0.0223383459847931,0.00151355511017168,47,"HND","Honduras","Americas"
"48",48,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,48,"HRV","Croatia","Europe"
"49",49,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,49,"HUN","Hungary","Europe"
"50",50,0.00801003562109889,0.0308519674626804,0.614864319216561,0.135881418992039,0.21039225870762,50,"IDN","Indonesia","Asia"
"51",51,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,51,"IRL","Ireland","Europe"
"52",52,0.00120292499382167,0.00135417944690535,0.00235379648190593,0.994095797995798,0.000993301081568262,52,"ISL","Iceland","Europe"
"53",53,0.00595843293499157,0.0274650077279986,0.0867586410119696,0.874224806068604,0.00559311225643676,53,"ISR","Israel","Asia"
