"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","X","file_iso","name","continent"
"16",16,0.545909514217169,0.131052826631487,0.0424674853244315,0.0779113456936764,0.0226150971549223,0.0408807798122124,0.139162951166101,16,"BLZ","Belize","Americas"
"17",17,0.00312706498130464,0.00260825449009221,0.00111791723434662,0.991643334818108,3.50371956012039e-05,0.000851154520087357,0.000617236760460434,17,"BRA","Brazil","Americas"
"18",18,0.350296353132321,0.567576349099766,0.00201536966177364,0.0579422800200336,0.00774302110732949,0.0122877316816313,0.00213889529714475,18,"BRB","Barbados","Americas"
"19",19,0.825902219416513,0.00205667375363802,0.000722933069602458,0.169283441608442,0.000367525104209674,0.000641856973870256,0.0010253500737254,19,"CAN","Canada","Americas"
"20",20,0.001327972810703,0.00171358230462131,0.000828198273922987,0.995134976408789,1.62226129873058e-05,0.000608083630628153,0.000370963958347681,20,"CHE","Switzerland","Europe"
"21",21,0.00136726117590465,0.00175996860329144,0.000853279519658881,0.994996164317292,1.67925225615909e-05,0.000624864344703213,0.000381669516588346,21,"CHE","Switzerland","Europe"
"22",22,0.0699509761028147,0.049594423992629,0.377010897393904,0.044701893021992,0.000391594677324387,0.456941290726315,0.00140892408502083,22,"CHL","Chile","Americas"
"23",23,0.994977852939374,0.000440308551695481,0.000312667407490484,0.00333243231598529,0.000303329061578173,0.00020131398059483,0.000432095743281455,23,"CHN","China","Asia"
"24",24,0.158303855340201,0.0209027336739981,0.495688177915292,0.000893237135766254,0.0288441737750568,0.0729120630410885,0.222455759118597,24,"COG","Congo - Brazzaville","Africa"
"25",25,0.000258035898583742,0.000159446533368203,0.973456174986218,0.000138133513195235,1.81741883395503e-05,0.0258291655422805,0.000140869338014919,25,"COL","Colombia","Americas"
"26",26,0.937891441996802,0.00713736054854351,0.00127915977360331,0.000284151463538487,0.00245194332814893,0.000158518865985412,0.0507974240233787,26,"CPV","Cape Verde","Africa"
"27",27,0.010980657717025,0.00732925267001279,0.925334777897093,0.0262562900481699,0.000550727294059923,0.0199575917854538,0.00959070258818629,27,"CRI","Costa Rica","Americas"
"28",28,0.0022577710162832,0.00151065904197298,0.739206282373781,0.0514881533859685,5.61913790222154e-05,0.20480472499061,0.000676217812362121,28,"CRI","Costa Rica","Americas"
"29",29,0.434762231314737,0.0670998993719781,0.0847928534309609,0.0205570438683819,0.00163360113988777,0.386977908410582,0.00417646246347142,29,"CUB","Cuba","Americas"
"30",30,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,30,"CYP","Cyprus","Asia"
"31",31,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,31,"CZE","Czechia","Europe"
"32",32,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,32,"DEU","Germany","Europe"
"33",33,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,33,"DNK","Denmark","Europe"
"34",34,0.000660553757002631,0.00270411757723397,0.00339402772094598,0.022546191726368,1.73544285165642e-05,0.970657057543646,2.06972462866742e-05,34,"DOM","Dominican Republic","Americas"
"35",35,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,35,"ESP","Spain","Europe"
"36",36,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,36,"EST","Estonia","Europe"
"37",37,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,37,"EUU",NA,NA
"38",38,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,38,"FIN","Finland","Europe"
"39",39,0.196883133558889,0.166116642388336,0.0817767280091108,0.463456733726012,0.00205039916933129,0.0187978042499199,0.0709185588984011,39,"FJI","Fiji","Oceania"
"40",40,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,40,"FRA","France","Europe"
