"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","X","file_iso","name","continent"
"38",38,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,38,"FIN","Finland","Europe"
"39",39,0.617635393047399,0.00151740648734254,0.00312503780338574,0.36577713767174,0.00401213792322616,0.000923388886405378,0.00286744331181184,0.00414205486868835,39,"FJI","Fiji","Oceania"
"40",40,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,40,"FRA","France","Europe"
"41",41,0.488886862609943,0.00232219292179495,0.00294903659000094,0.498050770043297,0.00112835803910835,0.00104098702285627,0.00396339144865597,0.00165840132434379,41,"GBR","United Kingdom","Europe"
"42",42,0.842519283328424,0.00256668487386964,0.00182339045010661,0.00881040376668309,0.133882411428337,0.000762101739669378,0.00447848223259306,0.00515724218031686,42,"GEO","Georgia","Asia"
"43",43,0.405433520236852,0.552323599941305,0.000520675558369217,0.0372993540734604,0.000231192704927421,0.00261650026478065,0.000904912802982297,0.000670244417322976,43,"GHA","Ghana","Africa"
"44",44,0.018252048805765,0.0495320619207151,0.443801617060024,0.00594206541731169,0.00126046183802826,0.0714179607354755,0.405837280095418,0.00395650412726339,44,"GIN","Guinea","Africa"
"45",45,0.638362411038492,0.0020587232540018,0.149963713403714,0.198573045523674,0.00221789987049999,0.00425636780466415,0.00268017601536553,0.00188766308958863,45,"GNB","Guinea-Bissau","Africa"
"46",46,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,46,"GRC","Greece","Europe"
"47",47,0.00330021783788695,0.000141095931926452,0.986097200530748,0.00891100524481997,0.000209385543390997,0.000487218116956017,0.000617898097839567,0.000235978696432713,47,"HND","Honduras","Americas"
"48",48,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,48,"HRV","Croatia","Europe"
"49",49,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,49,"HUN","Hungary","Europe"
"50",50,0.959106398192778,0.000796918913156975,0.00148760475147675,0.0078648641225951,0.0267290018622228,0.000284358614403675,0.00161865743345297,0.00211219610991417,50,"IDN","Indonesia","Asia"
"51",51,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,51,"IRL","Ireland","Europe"
"52",52,0.0134350618907743,0.000695594678300482,0.00146573574260027,0.980518126293695,0.000407309914799625,0.000658572722684981,0.00182157493252916,0.000998023824616248,52,"ISL","Iceland","Europe"
"53",53,0.0935770765575012,0.00498704464494017,0.00379199812822841,0.73829219418359,0.000605672331692274,0.153623204986998,0.00239595000910567,0.00272685915794417,53,"ISR","Israel","Asia"
"54",54,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,54,"ITA","Italy","Europe"
