"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12","X","file_iso","name","continent"
"18",18,0.175668147411909,0.00044945361247375,0.00103657456125303,0.0275064096011375,0.000921282081570156,0.00404602402308791,0.0099267527050953,0.000152304458950373,0.765709193043153,0.000789773461426758,0.0116311565449537,0.00216292849498941,18,"BRB","Barbados","Americas"
"19",19,0.000629574962204077,0.000288178445507798,0.000159384399915751,0.00834593862744724,0.000755831779250253,0.000377579140834167,0.000476561510801949,0.000215343537924366,0.000297426869014926,0.000155638345497824,0.0168314994847831,0.971467042896819,19,"CAN","Canada","Americas"
"20",20,0.00592637115679758,0.000818161511708057,0.00126857163983371,0.83126294737049,0.000680684008786012,0.000259832745647833,0.0017648173398872,0.000369562051334022,0.0014508682128657,0.000470163715185595,0.00101746215348566,0.154710558093978,20,"CHE","Switzerland","Europe"
"21",21,0.00610384150133658,0.000830946518493589,0.00131599611810866,0.826373579137943,0.000699938098364367,0.000274209988195988,0.00179498165124115,0.000390140657624292,0.00148028384111727,0.000488424028607428,0.00104883454378891,0.159198823915179,21,"CHE","Switzerland","Europe"
"22",22,0.000645062325552233,7.2932301020364e-05,0.00104345153016414,0.000597287646672497,0.000396393351402122,0.00111701736249997,0.381108071934299,3.65768014133555e-05,5.15970436996663e-05,5.31665838703188e-05,0.000181676691720634,0.614696766427686,22,"CHL","Chile","Americas"
"23",23,0.000163609851844877,0.000147067873429827,3.98334814443532e-05,0.000741223973648431,0.000401275787034692,0.000155403678352442,0.000108464055141825,5.23854170449644e-06,0.000355022670691449,0.000125160509521399,0.997527374867962,0.000230324709224022,23,"CHN","China","Asia"
"24",24,0.00722440139959872,0.000843381502551941,0.555571259190138,0.000352093656395753,0.000369334095310216,0.136730448114797,0.00188949168034475,0.216837110214311,0.00197361929476534,0.0740177814184397,0.0007249004142439,0.00346617901910439,24,"COG","Congo - Brazzaville","Africa"
"25",25,1.28309289120805e-05,1.39502695505968e-05,0.998097257065146,9.29961593285167e-05,3.07344013264185e-06,0.000138520200638108,0.00141691259658409,4.47359846378659e-05,8.76268361376924e-05,6.47568175141945e-06,2.01746134706524e-05,6.54462237096071e-05,25,"COL","Colombia","Americas"
"26",26,0.000149401051309887,0.003667210992789,7.57236922002323e-05,8.80024244086555e-05,0.00358194837175632,0.000573498071773509,0.00010334705504182,6.07802015168796e-05,0.000534514408619333,0.000231863006943366,0.990600283979955,0.000333426743684942,26,"CPV","Cape Verde","Africa"
"27",27,0.00353185661765211,0.00110747751711781,0.886815050966905,0.0610148012306299,0.000512093177479774,0.00600368258814977,0.0142972854850006,0.00268158646530849,0.00796296510973517,0.00103569757724134,0.00202645978333004,0.0130110434814502,27,"CRI","Costa Rica","Americas"
"28",28,0.00126680075721211,0.000108575751124225,0.735877628396094,0.0247583098290943,0.000219463015008972,0.0130312135268641,0.196562027550825,0.000309758259413052,0.000918943432908282,0.00019833194082479,0.000565858662197639,0.0261830888784331,28,"CRI","Costa Rica","Americas"
"29",29,0.0869497111169333,0.00152858111495027,0.252834747441493,0.00442142715461823,0.00262457920212037,0.110191360132802,0.342381065130143,0.00901727803108181,0.0380344572147178,0.00251956340553756,0.00813415446938778,0.141363075586216,29,"CUB","Cuba","Americas"
"30",30,0.00083512158397923,5.82384455022916e-05,0.000136964367657114,0.996968449126062,1.55421368356747e-05,3.68632769069175e-06,0.000188245027582132,3.66331567383858e-06,0.000214436115914034,2.82757086705998e-05,0.000101889693826441,0.00144548815060568,30,"CYP","Cyprus","Asia"
"31",31,0.00083512158397923,5.82384455022916e-05,0.000136964367657114,0.996968449126062,1.55421368356747e-05,3.68632769069175e-06,0.000188245027582132,3.66331567383858e-06,0.000214436115914034,2.82757086705998e-05,0.000101889693826441,0.00144548815060568,31,"CZE","Czechia","Europe"
"32",32,0.00083512158397923,5.82384455022916e-05,0.000136964367657114,0.996968449126062,1.55421368356747e-05,3.68632769069175e-06,0.000188245027582132,3.66331567383858e-06,0.000214436115914034,2.82757086705998e-05,0.000101889693826441,0.00144548815060568,32,"DEU","Germany","Europe"
"33",33,0.00083512158397923,5.82384455022916e-05,0.000136964367657114,0.996968449126062,1.55421368356747e-05,3.68632769069175e-06,0.000188245027582132,3.66331567383858e-06,0.000214436115914034,2.82757086705998e-05,0.000101889693826441,0.00144548815060568,33,"DNK","Denmark","Europe"
"34",34,0.000476820503495509,7.13188765058242e-06,0.000399335610771483,0.0111782415187818,2.7649214505196e-05,0.000135289057454132,0.986359445965843,1.45523950061782e-07,5.59536839083337e-05,1.59833204380748e-05,0.000129109547771494,0.00121489416543008,34,"DOM","Dominican Republic","Americas"
"35",35,0.00083512158397923,5.82384455022916e-05,0.000136964367657114,0.996968449126062,1.55421368356747e-05,3.68632769069175e-06,0.000188245027582132,3.66331567383858e-06,0.000214436115914034,2.82757086705998e-05,0.000101889693826441,0.00144548815060568,35,"ESP","Spain","Europe"
"36",36,0.00083512158397923,5.82384455022916e-05,0.000136964367657114,0.996968449126062,1.55421368356747e-05,3.68632769069175e-06,0.000188245027582132,3.66331567383858e-06,0.000214436115914034,2.82757086705998e-05,0.000101889693826441,0.00144548815060568,36,"EST","Estonia","Europe"
"37",37,0.00083512158397923,5.82384455022916e-05,0.000136964367657114,0.996968449126062,1.55421368356747e-05,3.68632769069175e-06,0.000188245027582132,3.66331567383858e-06,0.000214436115914034,2.82757086705998e-05,0.000101889693826441,0.00144548815060568,37,"EUU",NA,NA
"38",38,0.00083512158397923,5.82384455022916e-05,0.000136964367657114,0.996968449126062,1.55421368356747e-05,3.68632769069175e-06,0.000188245027582132,3.66331567383858e-06,0.000214436115914034,2.82757086705998e-05,0.000101889693826441,0.00144548815060568,38,"FIN","Finland","Europe"
"39",39,0.114345329967599,0.00173180916463186,0.000692369872755954,0.113145782103841,0.000862195778611378,0.00150069184580797,0.00656651740184293,0.00126257979024028,0.000801672907499079,0.000787113249951137,0.000873543530770741,0.757430394386448,39,"FJI","Fiji","Oceania"
"40",40,0.00083512158397923,5.82384455022916e-05,0.000136964367657114,0.996968449126062,1.55421368356747e-05,3.68632769069175e-06,0.000188245027582132,3.66331567383858e-06,0.000214436115914034,2.82757086705998e-05,0.000101889693826441,0.00144548815060568,40,"FRA","France","Europe"
