"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","X","file_iso","name","continent"
"47",47,0.000722068213323114,0.000205451317360262,0.944154411868175,0.000508177707742201,0.0498763516869358,0.00453353920646295,47,"HND","Honduras","Americas"
"48",48,0.000829400685289432,6.78075926294489e-05,0.000510349738058954,0.000157979362329014,0.998198487058858,0.000235975562835274,48,"HRV","Croatia","Europe"
"49",49,0.000829400685289403,6.78075926294434e-05,0.000510349738058935,0.000157979362329004,0.998198487058858,0.000235975562835267,49,"HUN","Hungary","Europe"
"50",50,0.544608335843415,0.00881835939100766,0.428394839826962,0.00251757332855986,0.00820993044125345,0.00745096116880132,50,"IDN","Indonesia","Asia"
"51",51,0.000829400685289433,6.78075926294477e-05,0.000510349738058952,0.000157979362329012,0.998198487058858,0.000235975562835269,51,"IRL","Ireland","Europe"
"52",52,0.0166221158163713,0.00739744874260654,0.00888973250464013,0.0102151140549734,0.952671777442787,0.00420381143862132,52,"ISL","Iceland","Europe"
"53",53,0.093807896329185,0.00465796112173718,0.0107613366352012,0.015083245748062,0.601913364523619,0.273776195642196,53,"ISR","Israel","Asia"
"54",54,0.000829400685289403,6.78075926294434e-05,0.000510349738058935,0.000157979362329004,0.998198487058858,0.000235975562835267,54,"ITA","Italy","Europe"
"55",55,0.315978070249493,0.036692909154095,0.119208613603469,0.0129654715231042,0.489545181944538,0.0256097535253005,55,"JAM","Jamaica","Americas"
"56",56,0.00223577534894259,0.212851738539976,0.335785200869154,0.424065283685992,0.0196206284628786,0.00544137309305664,56,"JOR","Jordan","Asia"
"57",57,0.278327710368238,0.00345659483398394,0.0120738337958075,0.0448857536548123,0.503312585166209,0.157943522180949,57,"JPN","Japan","Asia"
"58",58,0.000611430197081269,0.241867316390076,0.732362748036686,0.00114277314823708,0.0222837512311162,0.0017319809968037,58,"KEN","Kenya","Africa"
"59",59,0.581852871802724,0.00222141281688519,0.00287416079876121,0.0362850142174505,0.00762215135099656,0.369144389013182,59,"KGZ","Kyrgyzstan","Asia"
"60",60,9.1063144645632e-05,0.999572368713493,4.4841706452528e-05,0.000104376267686573,9.20832869854353e-06,0.000178141839023064,60,"KHM","Cambodia","Asia"
"61",61,0.0324642161781615,0.303297406968346,0.00299951095459619,0.00877239589012676,0.0296774747479088,0.622788995260861,61,"KNA","St. Kitts & Nevis","Americas"
"62",62,0.276041689812611,0.00342447945938324,0.0171860416928657,0.00681730341832598,0.623622283247704,0.0729082023691094,62,"KOR","South Korea","Asia"
"63",63,0.233192664765959,0.0261183408634893,0.0301501858183188,0.0132992529479155,0.582634156604319,0.114605398999999,63,"KOR","South Korea","Asia"
"64",64,0.0249286504465872,0.0747628215217336,0.251245276852225,0.18204564413241,0.443169567794162,0.0238480392528828,64,"KWT","Kuwait","Asia"
"65",65,0.00281991091789508,0.248713214892027,0.00239542374557351,0.29792093315781,0.000291278009446078,0.447859239277248,65,"LAO","Laos","Asia"
"66",66,0.180005850524842,0.152055016640936,0.432462135158182,0.0430746341166301,0.0976933268680733,0.0947090366913362,66,"LBN","Lebanon","Asia"
"67",67,0.656282784938869,0.230327717040437,0.00518769447511724,0.0090500620340836,0.0335583333944276,0.0655934081170654,67,"LBR","Liberia","Africa"
"68",68,0.464124696545864,0.127121497016251,0.0783549168375727,0.0557920539014853,0.248657738243882,0.025949097454945,68,"LCA","St. Lucia","Americas"
"69",69,0.0416361797317046,0.202461502692343,0.0254494488859119,0.675230844272984,0.0108365978260371,0.0443854265910189,69,"LKA","Sri Lanka","Asia"
"70",70,0.000829400685289403,6.78075926294434e-05,0.000510349738058935,0.000157979362329004,0.998198487058858,0.000235975562835267,70,"LTU","Lithuania","Europe"
