,name,entity_type,country
0,Asics Corporation,Investor,Japan
1,Asics Corporation,Investor,Japan
2,Astellas Pharma Inc.,Investor,Japan
3,Atos SE,Investor,France
4,Atos SE,Investor,France
5,ams AG,Investor,Austria
6,ams AG,Investor,Austria
7,"Autodesk, Inc.",Investor,United States of America
8,"Autodesk, Inc.",Investor,United States of America
9,"Autodesk, Inc.",Investor,United States of America
10,"Autodesk, Inc.",Investor,United States of America
11,Ball Corporation,Investor,United States of America
12,Baxter International Inc.,Investor,United States of America
13,Biogen Inc.,Investor,United States of America
14,Biogen Inc.,Investor,United States of America
15,BMW AG,Investor,Germany
16,BMW AG,Investor,Germany
17,Burberry Group,Investor,United Kingdom of Great Britain and Northern Ireland
18,CA Technologies,Investor,United States of America
19,Commerzbank AG,Investor,Germany
20,Constantia Flexibles,Supply Chain,Austria
21,Constantia Flexibles,Supply Chain,Austria
22,Dentsu Inc.,Investor,Japan
23,Deutsche Bank AG,Investor,Germany
24,Deutsche Telekom AG,Investor,Germany
25,Deutsche Telekom AG,Investor,Germany
26,Deutsche Telekom AG,Investor,Germany
27,Deutsche Telekom AG,Investor,Germany
28,Electrolux,Investor,Sweden
29,Electrolux,Investor,Sweden
30,Estee Lauder Companies Inc.,Investor,United States of America
31,FLSmidth & Co. A/S,Investor,Denmark
32,Geberit AG,Investor,Switzerland
33,General Electric Company,Investor,United States of America
34,"Hasbro, Inc.",Investor,United States of America
35,Hays,Investor,United Kingdom of Great Britain and Northern Ireland
36,Helvetia Group,Investor,Switzerland
37,HUGO BOSS AG,Investor,Germany
38,Intel Corporation,Investor,United States of America
39,Intel Corporation,Investor,United States of America
40,JCDecaux SA.,Investor,France
41,L'Oréal,Investor,France
42,L'Oréal,Investor,France
43,L'Oréal,Investor,France
44,L'Oréal,Investor,France
45,LEGRAND,Investor,France
46,LEGRAND,Investor,France
47,LEGRAND,Investor,France
48,"Lexmark International, Inc.",Investor,United States of America
49,"Marsh & McLennan Companies, Inc.",Investor,United States of America
50,Mastercard Incorporated,Investor,United States of America
51,Mastercard Incorporated,Investor,United States of America
52,"Merck & Co., Inc.",Investor,United States of America
53,Mondi PLC,Investor,United Kingdom of Great Britain and Northern Ireland
54,Mondi PLC,Investor,United Kingdom of Great Britain and Northern Ireland
55,NH Hotel Group,Investor,Spain
56,NH Hotel Group,Investor,Spain
57,Nobia,Investor,Sweden
58,Novartis,Investor,Switzerland
59,Novartis,Investor,Switzerland
60,Österreichische Post AG,Investor,Austria
61,Orkla ASA,Investor,Norway
62,Orkla ASA,Investor,Norway
63,Orkla ASA,Investor,Norway
64,Orkla ASA,Investor,Norway
65,Orkla ASA,Investor,Norway
66,Orkla ASA,Investor,Norway
67,Panasonic Corporation,Investor,Japan
68,Panasonic Corporation,Investor,Japan
69,Panasonic Corporation,Investor,Japan
70,Prudential plc,Investor,United Kingdom of Great Britain and Northern Ireland
71,QUALCOMM Inc.,Investor,United States of America
72,Raiffeisen Bank International AG,Investor,Austria
73,Raiffeisen Bank International AG,Investor,Austria
74,Raiffeisen Bank International AG,Investor,Austria
75,Raiffeisen Bank International AG,Investor,Austria
76,Royal Bank of Scotland Group,Investor,United Kingdom of Great Britain and Northern Ireland
77,Royal Bank of Scotland Group,Investor,United Kingdom of Great Britain and Northern Ireland
78,Samsung SDI,Investor,Republic of Korea
79,Samsung SDI,Investor,Republic of Korea
80,Meliá Hotels International S.A.,Investor,Spain
81,Meliá Hotels International S.A.,Investor,Spain
82,Sony Corporation,Investor,Japan
83,Sumitomo Mitsui Financial Group,Investor,Japan
84,Symantec Corporation,Investor,United States of America
85,Symantec Corporation,Investor,United States of America
86,Telekom Austria AG,Investor,Austria
87,Telekom Austria AG,Investor,Austria
88,Telekom Austria AG,Investor,Austria
89,Terex Corporation,Investor,United States of America
90,UniCredit,Investor,Italy
91,UniCredit,Investor,Italy
92,VERBUND AG,Investor,Austria
93,VERBUND AG,Investor,Austria
94,Voestalpine AG,Investor,Austria
95,Voestalpine AG,Investor,Austria
96,Shire,Investor,Ireland
97,Shire,Investor,Ireland
98,Shire,Investor,Ireland
99,Shire,Investor,Ireland
100,Shire,Investor,Ireland
101,Superdry,Investor,United Kingdom of Great Britain and Northern Ireland
102,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
103,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
104,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
105,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
106,"VMware, Inc",Investor,United States of America
107,PVH Corp,Investor,United States of America
108,PVH Corp,Investor,United States of America
109,AbbVie Inc,Investor,United States of America
110,AbbVie Inc,Investor,United States of America
111,CNH Industrial NV,Investor,United Kingdom of Great Britain and Northern Ireland
112,News Corp,Investor,United States of America
113,News Corp,Investor,United States of America
114,News Corp,Investor,United States of America
115,Gefco,Supply Chain,France
116,Gefco,Supply Chain,France
117,TUI Group,Investor,United Kingdom of Great Britain and Northern Ireland
118,Adecco Group AG,Investor,Switzerland
119,Adecco Group AG,Investor,Switzerland
120,Adecco Group AG,Investor,Switzerland
121,3M Company,Investor,United States of America
122,Allergan plc,Investor,United States of America
123,Alten,Investor,France
124,Alten,Investor,France
125,Arcadis,Investor,Netherlands
126,Asics Corporation,Investor,Japan
127,Asics Corporation,Investor,Japan
128,Astellas Pharma Inc.,Investor,Japan
129,Atos SE,Investor,France
130,Atos SE,Investor,France
131,Baxter International Inc.,Investor,United States of America
132,Proximus,Investor,Belgium
133,Proximus,Investor,Belgium
134,Proximus,Investor,Belgium
135,Proximus,Investor,Belgium
136,Biogen Inc.,Investor,United States of America
137,Biogen Inc.,Investor,United States of America
138,Bristol-Myers Squibb,Investor,United States of America
139,BT Group,Investor,United Kingdom of Great Britain and Northern Ireland
140,Burberry Group,Investor,United Kingdom of Great Britain and Northern Ireland
141,CA Technologies,Investor,United States of America
142,Cap Gemini,Investor,France
143,Cap Gemini,Investor,France
144,Carrefour,Investor,France
145,Carrefour,Investor,France
146,Cigna,Investor,United States of America
147,Coca-Cola European Partners,Investor,United Kingdom of Great Britain and Northern Ireland
148,Commerzbank AG,Investor,Germany
149,"CommScope, Inc.",Investor,United States of America
150,Constantia Flexibles,Supply Chain,Austria
151,Constantia Flexibles,Supply Chain,Austria
152,"Daikin Industries, Ltd.",Investor,Japan
153,"Daikin Industries, Ltd.",Investor,Japan
154,Danone,Investor,France
155,Dentsu Inc.,Investor,Japan
156,Deutsche Bank AG,Investor,Germany
157,The Dow Chemical Company,Investor,United States of America
158,eBay Inc.,Investor,United States of America
159,Electrolux,Investor,Sweden
160,Electrolux,Investor,Sweden
161,Estee Lauder Companies Inc.,Investor,United States of America
162,Leonardo,Investor,Italy
163,FIRMENICH SA,Investor,Switzerland
164,FIRMENICH SA,Investor,Switzerland
165,FIRMENICH SA,Investor,Switzerland
166,FIRMENICH SA,Investor,Switzerland
167,FUJIFILM Holdings Corporation,Investor,Japan
168,FUJIFILM Holdings Corporation,Investor,Japan
169,FUJIFILM Holdings Corporation,Investor,Japan
170,FUJIFILM Holdings Corporation,Investor,Japan
171,FUJIFILM Holdings Corporation,Investor,Japan
172,FUJIFILM Holdings Corporation,Investor,Japan
173,FUJI OIL HOLDINGS INC.,Investor,Japan
174,FUJI OIL HOLDINGS INC.,Investor,Japan
175,FUJI OIL HOLDINGS INC.,Investor,Japan
176,Naturgy Energy Group SA,Investor,Spain
177,Geberit AG,Investor,Switzerland
178,ENGIE,Investor,France
179,General Mills Inc.,Investor,United States of America
180,General Mills Inc.,Investor,United States of America
181,General Mills Inc.,Investor,United States of America
182,General Electric Company,Investor,United States of America
183,GlaxoSmithKline,Investor,United Kingdom of Great Britain and Northern Ireland
184,GlaxoSmithKline,Investor,United Kingdom of Great Britain and Northern Ireland
185,GlaxoSmithKline,Investor,United Kingdom of Great Britain and Northern Ireland
186,Hays,Investor,United Kingdom of Great Britain and Northern Ireland
187,Husqvarna AB,Investor,Sweden
188,Ingenico,Investor,France
189,Ingenico,Investor,France
190,JCDecaux SA.,Investor,France
191,Johnson & Johnson,Investor,United States of America
192,Johnson & Johnson,Investor,United States of America
193,JTEKT Corporation,Investor,Japan
194,KBC Group,Investor,Belgium
195,Kellogg Company,Investor,United States of America
196,Kellogg Company,Investor,United States of America
197,Kingspan Group PLC,Investor,Ireland
198,Kingspan Group PLC,Investor,Ireland
199,Klepierre,Investor,France
200,L'Oréal,Investor,France
201,L'Oréal,Investor,France
202,L'Oréal,Investor,France
203,L'Oréal,Investor,France
204,L'Oréal,Investor,France
205,LANXESS AG,Investor,Germany
206,LANXESS AG,Investor,Germany
207,LANXESS AG,Investor,Germany
208,LEGRAND,Investor,France
209,LEGRAND,Investor,France
210,LEGRAND,Investor,France
211,"Lexmark International, Inc.",Investor,United States of America
212,Marks and Spencer Group plc,Investor,United Kingdom of Great Britain and Northern Ireland
213,Marks and Spencer Group plc,Investor,United Kingdom of Great Britain and Northern Ireland
214,"Marsh & McLennan Companies, Inc.",Investor,United States of America
215,Mastercard Incorporated,Investor,United States of America
216,Mastercard Incorporated,Investor,United States of America
217,"Merck & Co., Inc.",Investor,United States of America
218,NH Hotel Group,Investor,Spain
219,NH Hotel Group,Investor,Spain
220,NIKE Inc.,Investor,United States of America
221,"Nippon Express Co., Ltd.",Investor,Japan
222,Nippon Yusen Kaisha Line,Investor,Japan
223,"Nissan Motor Co., Ltd.",Investor,Japan
224,"Nissan Motor Co., Ltd.",Investor,Japan
225,Nitto Denko Corporation,Investor,Japan
226,Northrop Grumman Corp,Investor,United States of America
227,Novartis,Investor,Switzerland
228,Novartis,Investor,Switzerland
229,Panasonic Corporation,Investor,Japan
230,Panasonic Corporation,Investor,Japan
231,Panasonic Corporation,Investor,Japan
232,"PepsiCo, Inc.",Investor,United States of America
233,"PepsiCo, Inc.",Investor,United States of America
234,Koninklijke Philips NV,Investor,Netherlands
235,Koninklijke Philips NV,Investor,Netherlands
236,QUALCOMM Inc.,Investor,United States of America
237,Royal Bank of Scotland Group,Investor,United Kingdom of Great Britain and Northern Ireland
238,Royal Bank of Scotland Group,Investor,United Kingdom of Great Britain and Northern Ireland
239,Koninklijke KPN NV (Royal KPN),Investor,Netherlands
240,Scandic Hotels Group,Investor,Sweden
241,SSE,Investor,United Kingdom of Great Britain and Northern Ireland
242,Sims Metal Management,Investor,Australia
243,Sodexo,Investor,France
244,Steelcase,Investor,United States of America
245,Steelcase,Investor,United States of America
246,Suez,Investor,France
247,Sumitomo Mitsui Financial Group,Investor,Japan
248,Sumitomo Heavy Industries. Ltd.,Investor,Japan
249,Symantec Corporation,Investor,United States of America
250,Symantec Corporation,Investor,United States of America
251,TELEPLAN,Supply Chain,Netherlands
252,Tiffany & Co.,Investor,United States of America
253,Technicolor SA,Investor,France
254,UCB SA,Investor,Belgium
255,UCB SA,Investor,Belgium
256,UCB SA,Investor,Belgium
257,UCB SA,Investor,Belgium
258,Unilever plc,Investor,United Kingdom of Great Britain and Northern Ireland
259,Unilever plc,Investor,United Kingdom of Great Britain and Northern Ireland
260,Voestalpine AG,Investor,Austria
261,Voestalpine AG,Investor,Austria
262,CEWE Stiftung & Co. KGaA,Investor,Germany
263,Vopak,Investor,Netherlands
264,Shire,Investor,Ireland
265,Shire,Investor,Ireland
266,Shire,Investor,Ireland
267,Shire,Investor,Ireland
268,Shire,Investor,Ireland
269,Bemis Company,Investor,United States of America
270,Royal BAM Group nv,Investor,Netherlands
271,Royal BAM Group nv,Investor,Netherlands
272,Royal BAM Group nv,Investor,Netherlands
273,Barry Callebaut AG,Investor,Switzerland
274,Befimmo SA,Investor,Belgium
275,Befimmo SA,Investor,Belgium
276,Befimmo SA,Investor,Belgium
277,Befimmo SA,Investor,Belgium
278,Barco NV,Investor,Belgium
279,Superdry,Investor,United Kingdom of Great Britain and Northern Ireland
280,Signify NV,Investor,Netherlands
281,Signify NV,Investor,Netherlands
282,bpost,Investor,Belgium
283,bpost,Investor,Belgium
284,bpost,Investor,Belgium
285,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
286,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
287,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
288,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
289,Sofidel S.p.A.,Investor,Italy
290,Van Lanschot Kempen NV,Investor,Netherlands
291,Trinseo LLC,Investor,United States of America
292,Reynders Label Printing,Supply Chain,Belgium
293,Reynders Label Printing,Supply Chain,Belgium
294,ManpowerGroup,Investor,United States of America
295,ManpowerGroup,Investor,United States of America
296,ManpowerGroup,Investor,United States of America
297,La Poste,Investor,France
298,PVH Corp,Investor,United States of America
299,PVH Corp,Investor,United States of America
300,AbbVie Inc,Investor,United States of America
301,AbbVie Inc,Investor,United States of America
302,CNH Industrial NV,Investor,United Kingdom of Great Britain and Northern Ireland
303,News Corp,Investor,United States of America
304,News Corp,Investor,United States of America
305,News Corp,Investor,United States of America
306,News Corp,Investor,United States of America
307,Gefco,Supply Chain,France
308,NN Group NV,Investor,Netherlands
309,Sopra Steria Group,Investor,France
310,Sopra Steria Group,Investor,France
311,Sopra Steria Group,Investor,France
312,Sopra Steria Group,Investor,France
313,TUI Group,Investor,United Kingdom of Great Britain and Northern Ireland
314,Eneco Groep,Investor,Netherlands
315,Varex Imaging Corporation,Investor,United States of America
316,The AES Corporation,Investor,United States of America
317,Alliance One International Inc.,Supply Chain,United States of America
318,Astellas Pharma Inc.,Investor,Japan
319,Atos SE,Investor,France
320,Atos SE,Investor,France
321,Carlsberg Breweries A/S,Investor,Denmark
322,Carlsberg Breweries A/S,Investor,Denmark
323,Dentsu Inc.,Investor,Japan
324,Deutsche Bank AG,Investor,Germany
325,ERG S.p.A,Investor,Italy
326,ERG S.p.A,Investor,Italy
327,ERG S.p.A,Investor,Italy
328,Estee Lauder Companies Inc.,Investor,United States of America
329,Fraport AG,Investor,Germany
330,Fraport AG,Investor,Germany
331,General Electric Company,Investor,United States of America
332,KBC Group,Investor,Belgium
333,"Lexmark International, Inc.",Investor,United States of America
334,"Marsh & McLennan Companies, Inc.",Investor,United States of America
335,"Merck & Co., Inc.",Investor,United States of America
336,Molson Coors Brewing Company,Investor,United States of America
337,Molson Coors Brewing Company,Investor,United States of America
338,Mondi PLC,Investor,United Kingdom of Great Britain and Northern Ireland
339,Mondi PLC,Investor,United Kingdom of Great Britain and Northern Ireland
340,Obrascon Huarte Lain (OHL),Investor,Spain
341,Obrascon Huarte Lain (OHL),Investor,Spain
342,Obrascon Huarte Lain (OHL),Investor,Spain
343,Obrascon Huarte Lain (OHL),Investor,Spain
344,"Sumitomo Electric Industries, Ltd.",Investor,Japan
345,Telekom Austria AG,Investor,Austria
346,Telekom Austria AG,Investor,Austria
347,Telekom Austria AG,Investor,Austria
348,Telenor Group,Investor,Norway
349,Telus Corporation,Investor,Canada
350,UniCredit,Investor,Italy
351,UniCredit,Investor,Italy
352,Voestalpine AG,Investor,Austria
353,Voestalpine AG,Investor,Austria
354,WorleyParsons,Investor,Australia
355,"VMware, Inc",Investor,United States of America
356,AbbVie Inc,Investor,United States of America
357,AbbVie Inc,Investor,United States of America
358,News Corp,Investor,United States of America
359,News Corp,Investor,United States of America
360,News Corp,Investor,United States of America
361,News Corp,Investor,United States of America
362,Gefco,Supply Chain,France
363,Gefco,Supply Chain,France
364,NN Group NV,Investor,Netherlands
365,TUI Group,Investor,United Kingdom of Great Britain and Northern Ireland
366,ACCIONA S.A.,Investor,Spain
367,ACCIONA S.A.,Investor,Spain
368,ACCIONA S.A.,Investor,Spain
369,ACCIONA S.A.,Investor,Spain
370,Astellas Pharma Inc.,Investor,Japan
371,Atos SE,Investor,France
372,Atos SE,Investor,France
373,Carlsberg Breweries A/S,Investor,Denmark
374,Carlsberg Breweries A/S,Investor,Denmark
375,Dentsu Inc.,Investor,Japan
376,Deutsche Bank AG,Investor,Germany
377,Deutsche Telekom AG,Investor,Germany
378,Deutsche Telekom AG,Investor,Germany
379,Deutsche Telekom AG,Investor,Germany
380,Deutsche Telekom AG,Investor,Germany
381,Electrolux,Investor,Sweden
382,Electrolux,Investor,Sweden
383,General Electric Company,Investor,United States of America
384,Intesa Sanpaolo S.p.A,Investor,Italy
385,Intesa Sanpaolo S.p.A,Investor,Italy
386,Intesa Sanpaolo S.p.A,Investor,Italy
387,Intesa Sanpaolo S.p.A,Investor,Italy
388,Intesa Sanpaolo S.p.A,Investor,Italy
389,Intesa Sanpaolo S.p.A,Investor,Italy
390,Intesa Sanpaolo S.p.A,Investor,Italy
391,Intesa Sanpaolo S.p.A,Investor,Italy
392,Intesa Sanpaolo S.p.A,Investor,Italy
393,JCDecaux SA.,Investor,France
394,LEGRAND,Investor,France
395,LEGRAND,Investor,France
396,LEGRAND,Investor,France
397,"Lexmark International, Inc.",Investor,United States of America
398,"Marsh & McLennan Companies, Inc.",Investor,United States of America
399,"Merck & Co., Inc.",Investor,United States of America
400,Molson Coors Brewing Company,Investor,United States of America
401,Molson Coors Brewing Company,Investor,United States of America
402,Telekom Austria AG,Investor,Austria
403,Telekom Austria AG,Investor,Austria
404,Telekom Austria AG,Investor,Austria
405,Teva Pharmaceutical Industries Ltd,Investor,Israel
406,UniCredit,Investor,Italy
407,UniCredit,Investor,Italy
408,La Poste,Investor,France
409,AbbVie Inc,Investor,United States of America
410,AbbVie Inc,Investor,United States of America
411,TUI Group,Investor,United Kingdom of Great Britain and Northern Ireland
412,ACCIONA S.A.,Investor,Spain
413,ACCIONA S.A.,Investor,Spain
414,ACCIONA S.A.,Investor,Spain
415,ACCIONA S.A.,Investor,Spain
416,"Marsh & McLennan Companies, Inc.",Investor,United States of America
417,"Merck & Co., Inc.",Investor,United States of America
418,"PepsiCo, Inc.",Investor,United States of America
419,"PepsiCo, Inc.",Investor,United States of America
420,Unilever plc,Investor,United Kingdom of Great Britain and Northern Ireland
421,Unilever plc,Investor,United Kingdom of Great Britain and Northern Ireland
422,TUI Group,Investor,United Kingdom of Great Britain and Northern Ireland
423,AptarGroup,Investor,United States of America
424,AptarGroup,Investor,United States of America
425,Arcadis,Investor,Netherlands
426,Astellas Pharma Inc.,Investor,Japan
427,Baxter International Inc.,Investor,United States of America
428,Broadridge Financial Solutions Inc,Investor,United States of America
429,Burberry Group,Investor,United Kingdom of Great Britain and Northern Ireland
430,CA Technologies,Investor,United States of America
431,Cap Gemini,Investor,France
432,Cap Gemini,Investor,France
433,"CommScope, Inc.",Investor,United States of America
434,"Daikin Industries, Ltd.",Investor,Japan
435,"Daikin Industries, Ltd.",Investor,Japan
436,Daimler AG,Investor,Germany
437,Danone,Investor,France
438,Deutsche Bank AG,Investor,Germany
439,Deutsche Telekom AG,Investor,Germany
440,E.ON SE,Investor,Germany
441,eBay Inc.,Investor,United States of America
442,Estee Lauder Companies Inc.,Investor,United States of America
443,GRIFOLS,Investor,Spain
444,GRIFOLS,Investor,Spain
445,GRIFOLS,Investor,Spain
446,GRIFOLS,Investor,Spain
447,Hays,Investor,United Kingdom of Great Britain and Northern Ireland
448,Husqvarna AB,Investor,Sweden
449,Hyundai Motor Co,Investor,Republic of Korea
450,Hyundai Motor Co,Investor,Republic of Korea
451,IMI plc,Investor,United Kingdom of Great Britain and Northern Ireland
452,INDUS Holding AG,Investor,Germany
453,INDUS Holding AG,Investor,Germany
454,JTEKT Corporation,Investor,Japan
455,KBC Group,Investor,Belgium
456,Kimberly-Clark Corporation,Investor,United States of America
457,Komatsu Ltd.,Investor,Japan
458,L'Oréal,Investor,France
459,L'Oréal,Investor,France
460,L'Oréal,Investor,France
461,L'Oréal,Investor,France
462,L'Oréal,Investor,France
463,LEGRAND,Investor,France
464,LEGRAND,Investor,France
465,LEGRAND,Investor,France
466,"Lexmark International, Inc.",Investor,United States of America
467,Mastercard Incorporated,Investor,United States of America
468,Mastercard Incorporated,Investor,United States of America
469,"Merck & Co., Inc.",Investor,United States of America
470,Molson Coors Brewing Company,Investor,United States of America
471,Molson Coors Brewing Company,Investor,United States of America
472,Mondi PLC,Investor,United Kingdom of Great Britain and Northern Ireland
473,Mondi PLC,Investor,United Kingdom of Great Britain and Northern Ireland
474,MVV Energie AG,Investor,Germany
475,MVV Energie AG,Investor,Germany
476,NH Hotel Group,Investor,Spain
477,Obrascon Huarte Lain (OHL),Investor,Spain
478,Panasonic Corporation,Investor,Japan
479,Panasonic Corporation,Investor,Japan
480,Panasonic Corporation,Investor,Japan
481,Philip Morris International,Investor,United States of America
482,Philip Morris International,Investor,United States of America
483,Philip Morris International,Investor,United States of America
484,Philip Morris International,Investor,United States of America
485,Prysmian SpA,Investor,Italy
486,Skanska AB,Investor,Sweden
487,Skanska AB,Investor,Sweden
488,Suez,Investor,France
489,Symantec Corporation,Investor,United States of America
490,Symantec Corporation,Investor,United States of America
491,TELEPLAN,Supply Chain,Netherlands
492,Teradyne Inc.,Investor,United States of America
493,Terex Corporation,Investor,United States of America
494,Teva Pharmaceutical Industries Ltd,Investor,Israel
495,UniCredit,Investor,Italy
496,UniCredit,Investor,Italy
497,Veolia Environnement SA,Investor,France
498,Veolia Environnement SA,Investor,France
499,Voestalpine AG,Investor,Austria
500,Voestalpine AG,Investor,Austria
501,Vodafone Group,Investor,United Kingdom of Great Britain and Northern Ireland
502,Inventec Co Ltd,Investor,"Taiwan, Greater China"
503,Inventec Co Ltd,Investor,"Taiwan, Greater China"
504,CEWE Stiftung & Co. KGaA,Investor,Germany
505,CEWE Stiftung & Co. KGaA,Investor,Germany
506,CEWE Stiftung & Co. KGaA,Investor,Germany
507,CEWE Stiftung & Co. KGaA,Investor,Germany
508,CEWE Stiftung & Co. KGaA,Investor,Germany
509,CEWE Stiftung & Co. KGaA,Investor,Germany
510,Shire,Investor,Ireland
511,Shire,Investor,Ireland
512,Shire,Investor,Ireland
513,Shire,Investor,Ireland
514,Shire,Investor,Ireland
515,Brembo SpA,Investor,Italy
516,Brembo SpA,Investor,Italy
517,Brembo SpA,Investor,Italy
518,Tata Global Beverages,Investor,India
519,Gestamp,Investor,Spain
520,"VMware, Inc",Investor,United States of America
521,Borregaard ASA,Investor,Norway
522,Borregaard ASA,Investor,Norway
523,CNH Industrial NV,Investor,United Kingdom of Great Britain and Northern Ireland
524,News Corp,Investor,United States of America
525,News Corp,Investor,United States of America
526,News Corp,Investor,United States of America
527,Gefco,Supply Chain,France
528,NN Group NV,Investor,Netherlands
529,Asics Corporation,Investor,Japan
530,Asics Corporation,Investor,Japan
531,Astellas Pharma Inc.,Investor,Japan
532,Atea ASA,Investor,Norway
533,Atea ASA,Investor,Norway
534,Atea ASA,Investor,Norway
535,Atea ASA,Investor,Norway
536,Atos SE,Investor,France
537,Atos SE,Investor,France
538,"Autodesk, Inc.",Investor,United States of America
539,"Autodesk, Inc.",Investor,United States of America
540,"Autodesk, Inc.",Investor,United States of America
541,"Autodesk, Inc.",Investor,United States of America
542,Ball Corporation,Investor,United States of America
543,Biogen Inc.,Investor,United States of America
544,Biogen Inc.,Investor,United States of America
545,CA Technologies,Investor,United States of America
546,Cap Gemini,Investor,France
547,Cap Gemini,Investor,France
548,Carlsberg Breweries A/S,Investor,Denmark
549,Carlsberg Breweries A/S,Investor,Denmark
550,Coloplast A/S,Investor,Denmark
551,Constantia Flexibles,Supply Chain,Austria
552,Constantia Flexibles,Supply Chain,Austria
553,Danone,Investor,France
554,Danske Bank A/S,Investor,Denmark
555,Dentsu Inc.,Investor,Japan
556,Deutsche Bank AG,Investor,Germany
557,Deutsche Telekom AG,Investor,Germany
558,Deutsche Telekom AG,Investor,Germany
559,Deutsche Telekom AG,Investor,Germany
560,Deutsche Telekom AG,Investor,Germany
561,eBay Inc.,Investor,United States of America
562,Estee Lauder Companies Inc.,Investor,United States of America
563,FLSmidth & Co. A/S,Investor,Denmark
564,"Furukawa Electric Co., Ltd.",Investor,Japan
565,General Electric Company,Investor,United States of America
566,"Hasbro, Inc.",Investor,United States of America
567,Hays,Investor,United Kingdom of Great Britain and Northern Ireland
568,Intel Corporation,Investor,United States of America
569,Intel Corporation,Investor,United States of America
570,JCDecaux SA.,Investor,France
571,JPMorgan Chase & Co.,Investor,United States of America
572,Klepierre,Investor,France
573,Kubota Corporation,Investor,Japan
574,L'Oréal,Investor,France
575,L'Oréal,Investor,France
576,L'Oréal,Investor,France
577,L'Oréal,Investor,France
578,L'Oréal,Investor,France
579,LEGRAND,Investor,France
580,LEGRAND,Investor,France
581,LEGRAND,Investor,France
582,"Lexmark International, Inc.",Investor,United States of America
583,Lundbeck A/S,Investor,Denmark
584,Lundbeck A/S,Investor,Denmark
585,Lundbeck A/S,Investor,Denmark
586,"Marsh & McLennan Companies, Inc.",Investor,United States of America
587,"Merck & Co., Inc.",Investor,United States of America
588,Metso,Investor,Finland
589,"Nissan Motor Co., Ltd.",Investor,Japan
590,"Nissan Motor Co., Ltd.",Investor,Japan
591,Nobia,Investor,Sweden
592,Northrop Grumman Corp,Investor,United States of America
593,Novo Nordisk A/S,Investor,Denmark
594,Novo Nordisk A/S,Investor,Denmark
595,Novo Nordisk A/S,Investor,Denmark
596,Novozymes A/S,Investor,Denmark
597,Nykredit,Investor,Denmark
598,Nykredit,Investor,Denmark
599,Nykredit,Investor,Denmark
600,Orkla ASA,Investor,Norway
601,Orkla ASA,Investor,Norway
602,Orkla ASA,Investor,Norway
603,Orkla ASA,Investor,Norway
604,Orkla ASA,Investor,Norway
605,Orkla ASA,Investor,Norway
606,Prosafe,Investor,Cyprus
607,Prosafe,Investor,Cyprus
608,Rolls-Royce,Investor,United Kingdom of Great Britain and Northern Ireland
609,Royal Bank of Scotland Group,Investor,United Kingdom of Great Britain and Northern Ireland
610,Royal Bank of Scotland Group,Investor,United Kingdom of Great Britain and Northern Ireland
611,Scandic Hotels Group,Investor,Sweden
612,Symantec Corporation,Investor,United States of America
613,Symantec Corporation,Investor,United States of America
614,Telenor Group,Investor,Norway
615,Teradyne Inc.,Investor,United States of America
616,Unilever plc,Investor,United Kingdom of Great Britain and Northern Ireland
617,Unilever plc,Investor,United Kingdom of Great Britain and Northern Ireland
618,Veidekke ASA,Investor,Norway
619,Veidekke ASA,Investor,Norway
620,Veidekke ASA,Investor,Norway
621,Veidekke ASA,Investor,Norway
622,DNB ASA,Investor,Norway
623,DNB ASA,Investor,Norway
624,Vattenfall Group,Investor,Sweden
625,Vattenfall Group,Investor,Sweden
626,Vattenfall Group,Investor,Sweden
627,CEWE Stiftung & Co. KGaA,Investor,Germany
628,Shire,Investor,Ireland
629,Shire,Investor,Ireland
630,Shire,Investor,Ireland
631,Shire,Investor,Ireland
632,Shire,Investor,Ireland
633,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
634,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
635,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
636,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
637,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
638,Hilton Food Group plc,Investor,United Kingdom of Great Britain and Northern Ireland
639,Hilton Food Group plc,Investor,United Kingdom of Great Britain and Northern Ireland
640,Equinor,Investor,Norway
641,Equinor,Investor,Norway
642,Superdry,Investor,United Kingdom of Great Britain and Northern Ireland
643,Motorola Solutions,Investor,United States of America
644,Anritsu Corporation,Investor,Japan
645,Anritsu Corporation,Investor,Japan
646,AbbVie Inc,Investor,United States of America
647,AbbVie Inc,Investor,United States of America
648,North Denmark,Investor,Denmark
649,News Corp,Investor,United States of America
650,News Corp,Investor,United States of America
