,name,entity_type,country
2675,FLSmidth & Co. A/S,Investor,Denmark
2676,"Furukawa Electric Co., Ltd.",Investor,Japan
2677,Naturgy Energy Group SA,Investor,Spain
2678,Naturgy Energy Group SA,Investor,Spain
2679,Geberit AG,Investor,Switzerland
2680,ENGIE,Investor,France
2681,General Electric Company,Investor,United States of America
2682,GlaxoSmithKline,Investor,United Kingdom of Great Britain and Northern Ireland
2683,GlaxoSmithKline,Investor,United Kingdom of Great Britain and Northern Ireland
2684,GlaxoSmithKline,Investor,United Kingdom of Great Britain and Northern Ireland
2685,GRIFOLS,Investor,Spain
2686,GRIFOLS,Investor,Spain
2687,GRIFOLS,Investor,Spain
2688,GRIFOLS,Investor,Spain
2689,"Hasbro, Inc.",Investor,United States of America
2690,Hays,Investor,United Kingdom of Great Britain and Northern Ireland
2691,Hera,Investor,Italy
2692,Hera,Investor,Italy
2693,Hera,Investor,Italy
2694,Helvetia Group,Investor,Switzerland
2695,HUGO BOSS AG,Investor,Germany
2696,Husqvarna AB,Investor,Sweden
2697,IMI plc,Investor,United Kingdom of Great Britain and Northern Ireland
2698,Ingenico,Investor,France
2699,Ingenico,Investor,France
2700,Intesa Sanpaolo S.p.A,Investor,Italy
2701,Intesa Sanpaolo S.p.A,Investor,Italy
2702,Intesa Sanpaolo S.p.A,Investor,Italy
2703,Intesa Sanpaolo S.p.A,Investor,Italy
2704,Intesa Sanpaolo S.p.A,Investor,Italy
2705,Intesa Sanpaolo S.p.A,Investor,Italy
2706,Intesa Sanpaolo S.p.A,Investor,Italy
2707,Intesa Sanpaolo S.p.A,Investor,Italy
2708,Intesa Sanpaolo S.p.A,Investor,Italy
2709,JCDecaux SA.,Investor,France
2710,JPMorgan Chase & Co.,Investor,United States of America
2711,"Kagome Co., Ltd.",Investor,Japan
2712,Kimberly-Clark Corporation,Investor,United States of America
2713,Klepierre,Investor,France
2714,Komatsu Ltd.,Investor,Japan
2715,Kubota Corporation,Investor,Japan
2716,L'Oréal,Investor,France
2717,L'Oréal,Investor,France
2718,L'Oréal,Investor,France
2719,L'Oréal,Investor,France
2720,L'Oréal,Investor,France
2721,LANXESS AG,Investor,Germany
2722,LANXESS AG,Investor,Germany
2723,LANXESS AG,Investor,Germany
2724,LEGRAND,Investor,France
2725,LEGRAND,Investor,France
2726,LEGRAND,Investor,France
2727,"Legg Mason, Inc.",Investor,United States of America
2728,"Lexmark International, Inc.",Investor,United States of America
2729,IGT PLC,Investor,Italy
2730,London Stock Exchange,Investor,United Kingdom of Great Britain and Northern Ireland
2731,Lundbeck A/S,Investor,Denmark
2732,Lundbeck A/S,Investor,Denmark
2733,Lundbeck A/S,Investor,Denmark
2734,MAPFRE,Investor,Spain
2735,MAPFRE,Investor,Spain
2736,MAPFRE,Investor,Spain
2737,MAPFRE,Investor,Spain
2738,MAPFRE,Investor,Spain
2739,MAPFRE,Investor,Spain
2740,"Marsh & McLennan Companies, Inc.",Investor,United States of America
2741,Mastercard Incorporated,Investor,United States of America
2742,Mastercard Incorporated,Investor,United States of America
2743,S&P Global,Investor,United States of America
2744,Merck KGaA,Investor,Germany
2745,"Merck & Co., Inc.",Investor,United States of America
2746,Morgan Stanley,Investor,United States of America
2747,Morgan Stanley,Investor,United States of America
2748,Morgan Stanley,Investor,United States of America
2749,Nestlé,Investor,Switzerland
2750,Nestlé,Investor,Switzerland
2751,Nestlé,Investor,Switzerland
2752,NH Hotel Group,Investor,Spain
2753,NH Hotel Group,Investor,Spain
2754,"Nippon Express Co., Ltd.",Investor,Japan
2755,Nippon Yusen Kaisha Line,Investor,Japan
2756,"Nomura Holdings, Inc.",Investor,Japan
2757,"Nissan Motor Co., Ltd.",Investor,Japan
2758,"Nissan Motor Co., Ltd.",Investor,Japan
2759,Northrop Grumman Corp,Investor,United States of America
2760,Novartis,Investor,Switzerland
2761,Novartis,Investor,Switzerland
2762,NTT Data Corporation,Investor,Japan
2763,NUCERIA ADESIVI SRL,Supply Chain,Italy
2764,NUCERIA ADESIVI SRL,Supply Chain,Italy
2765,OMRON Corporation,Investor,Japan
2766,OMRON Corporation,Investor,Japan
2767,OMRON Corporation,Investor,Japan
2768,Panasonic Corporation,Investor,Japan
2769,Panasonic Corporation,Investor,Japan
2770,Panasonic Corporation,Investor,Japan
2771,"PepsiCo, Inc.",Investor,United States of America
2772,"PepsiCo, Inc.",Investor,United States of America
2773,Pfizer Inc.,Investor,United States of America
2774,Pfizer Inc.,Investor,United States of America
2775,Koninklijke Philips NV,Investor,Netherlands
2776,Koninklijke Philips NV,Investor,Netherlands
2777,Philip Morris International,Investor,United States of America
2778,Philip Morris International,Investor,United States of America
2779,Philip Morris International,Investor,United States of America
2780,Philip Morris International,Investor,United States of America
2781,Prologis,Investor,United States of America
2782,Prudential plc,Investor,United Kingdom of Great Britain and Northern Ireland
2783,Prysmian SpA,Investor,Italy
2784,QUALCOMM Inc.,Investor,United States of America
2785,Rolls-Royce,Investor,United Kingdom of Great Britain and Northern Ireland
2786,Royal Bank of Scotland Group,Investor,United Kingdom of Great Britain and Northern Ireland
2787,Royal Bank of Scotland Group,Investor,United Kingdom of Great Britain and Northern Ireland
2788,Groupe SEB,Investor,France
2789,Groupe SEB,Investor,France
2790,Groupe SEB,Investor,France
2791,SAP SE,Investor,Germany
2792,SAP SE,Investor,Germany
2793,Sasol Limited,Investor,South Africa
2794,Seiko Epson Corporation,Investor,Japan
2795,Severn Trent,Investor,United Kingdom of Great Britain and Northern Ireland
2796,SIAS,Investor,Italy
2797,Snam S.P.A,Investor,Italy
2798,Meliá Hotels International S.A.,Investor,Spain
2799,Meliá Hotels International S.A.,Investor,Spain
2800,Suez,Investor,France
2801,Sumitomo Mitsui Financial Group,Investor,Japan
2802,Symantec Corporation,Investor,United States of America
2803,Symantec Corporation,Investor,United States of America
2804,Teradyne Inc.,Investor,United States of America
2805,Terex Corporation,Investor,United States of America
2806,Terna,Investor,Italy
2807,Teva Pharmaceutical Industries Ltd,Investor,Israel
2808,Toyota Industries Corporation,Investor,Japan
2809,UCB SA,Investor,Belgium
2810,UCB SA,Investor,Belgium
2811,UCB SA,Investor,Belgium
2812,UCB SA,Investor,Belgium
2813,UniCredit,Investor,Italy
2814,UniCredit,Investor,Italy
2815,Unilever plc,Investor,United Kingdom of Great Britain and Northern Ireland
2816,Unilever plc,Investor,United Kingdom of Great Britain and Northern Ireland
2817,Veolia Environnement SA,Investor,France
2818,Veolia Environnement SA,Investor,France
2819,Voestalpine AG,Investor,Austria
2820,Voestalpine AG,Investor,Austria
2821,Vodafone Group,Investor,United Kingdom of Great Britain and Northern Ireland
2822,adidas AG,Investor,Germany
2823,Danieli & C Officine Meccaniche S.p.A.,Investor,Italy
2824,Danieli & C Officine Meccaniche S.p.A.,Investor,Italy
2825,Nabtesco Corporation,Investor,Japan
2826,Nabtesco Corporation,Investor,Japan
2827,Nabtesco Corporation,Investor,Japan
2828,Nabtesco Corporation,Investor,Japan
2829,Nabtesco Corporation,Investor,Japan
2830,Shire,Investor,Ireland
2831,Shire,Investor,Ireland
2832,Shire,Investor,Ireland
2833,Shire,Investor,Ireland
2834,Shire,Investor,Ireland
2835,Royal Wessanen NV,Investor,Netherlands
2836,Barry Callebaut AG,Investor,Switzerland
2837,Grupo Logista,Investor,Spain
2838,Grupo Logista,Investor,Spain
2839,Iren SpA,Investor,Italy
2840,ASTM SpA,Investor,Italy
2841,Brembo SpA,Investor,Italy
2842,Brembo SpA,Investor,Italy
2843,Brembo SpA,Investor,Italy
2844,YOOX Net-A-Porter Group,Investor,Italy
2845,Zignago Vetro SpA,Investor,Italy
2846,Barco NV,Investor,Belgium
2847,Superdry,Investor,United Kingdom of Great Britain and Northern Ireland
2848,Signify NV,Investor,Netherlands
2849,Signify NV,Investor,Netherlands
2850,Sanden,Supply Chain,Japan
2851,"Level 3 Communications, Inc.",Investor,United States of America
2852,PostNL,Investor,Netherlands
2853,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
2854,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
2855,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
2856,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
2857,Sofidel S.p.A.,Investor,Italy
2858,"VMware, Inc",Investor,United States of America
2859,Charles River Laboratories International Inc.,Supply Chain,United States of America
2860,ManpowerGroup,Investor,United States of America
2861,ManpowerGroup,Investor,United States of America
2862,ManpowerGroup,Investor,United States of America
2863,IMA SpA,Investor,Italy
2864,PVH Corp,Investor,United States of America
2865,PVH Corp,Investor,United States of America
2866,AbbVie Inc,Investor,United States of America
2867,AbbVie Inc,Investor,United States of America
2868,OFFICINE METALLURGICHE G. CORNAGLIA SPA,Supply Chain,Italy
2869,CNH Industrial NV,Investor,United Kingdom of Great Britain and Northern Ireland
2870,News Corp,Investor,United States of America
2871,News Corp,Investor,United States of America
2872,News Corp,Investor,United States of America
2873,News Corp,Investor,United States of America
2874,KION GROUP AG,Investor,Germany
2875,KION GROUP AG,Investor,Germany
2876,Gefco,Supply Chain,France
2877,Gefco,Supply Chain,France
2878,Sopra Steria Group,Investor,France
2879,Sopra Steria Group,Investor,France
2880,Sopra Steria Group,Investor,France
2881,Sopra Steria Group,Investor,France
2882,TUI Group,Investor,United Kingdom of Great Britain and Northern Ireland
2883,Italgas,Investor,Italy
2884,Lumson SPA,Supply Chain,Italy
2885,Varex Imaging Corporation,Investor,United States of America
2886,Carlsberg Breweries A/S,Investor,Denmark
2887,Carlsberg Breweries A/S,Investor,Denmark
2888,Dentsu Inc.,Investor,Japan
2889,General Electric Company,Investor,United States of America
2890,Ingenico,Investor,France
2891,Ingenico,Investor,France
2892,JCDecaux SA.,Investor,France
2893,Kesko Corporation,Investor,Finland
2894,Kesko Corporation,Investor,Finland
2895,L'Oréal,Investor,France
2896,L'Oréal,Investor,France
2897,"Marsh & McLennan Companies, Inc.",Investor,United States of America
2898,"Merck & Co., Inc.",Investor,United States of America
2899,Orkla ASA,Investor,Norway
2900,Orkla ASA,Investor,Norway
2901,Orkla ASA,Investor,Norway
2902,Orkla ASA,Investor,Norway
2903,Orkla ASA,Investor,Norway
2904,Orkla ASA,Investor,Norway
2905,Voestalpine AG,Investor,Austria
2906,Voestalpine AG,Investor,Austria
2907,DNB ASA,Investor,Norway
2908,DNB ASA,Investor,Norway
2909,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
2910,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
2911,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
2912,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
2913,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
2914,Equinor,Investor,Norway
2915,OP Financial Group,Investor,Finland
2916,EVRY ASA,Investor,Norway
2917,EVRY ASA,Investor,Norway
2918,La Poste,Investor,France
2919,AbbVie Inc,Investor,United States of America
2920,AbbVie Inc,Investor,United States of America
2921,Gefco,Supply Chain,France
2922,Gefco,Supply Chain,France
2923,Atea ASA,Investor,Norway
2924,Atea ASA,Investor,Norway
2925,Atea ASA,Investor,Norway
2926,Atea ASA,Investor,Norway
2927,Aviva plc,Investor,United Kingdom of Great Britain and Northern Ireland
2928,Aviva plc,Investor,United Kingdom of Great Britain and Northern Ireland
2929,Carlsberg Breweries A/S,Investor,Denmark
2930,Carlsberg Breweries A/S,Investor,Denmark
2931,Danske Bank A/S,Investor,Denmark
2932,Dentsu Inc.,Investor,Japan
2933,General Electric Company,Investor,United States of America
2934,JCDecaux SA.,Investor,France
2935,Kesko Corporation,Investor,Finland
2936,Kesko Corporation,Investor,Finland
2937,"Marsh & McLennan Companies, Inc.",Investor,United States of America
2938,"Merck & Co., Inc.",Investor,United States of America
2939,Orkla ASA,Investor,Norway
2940,Orkla ASA,Investor,Norway
2941,Orkla ASA,Investor,Norway
2942,Orkla ASA,Investor,Norway
2943,Orkla ASA,Investor,Norway
2944,Orkla ASA,Investor,Norway
2945,Philip Morris International,Investor,United States of America
2946,Philip Morris International,Investor,United States of America
2947,Philip Morris International,Investor,United States of America
2948,Philip Morris International,Investor,United States of America
2949,Teva Pharmaceutical Industries Ltd,Investor,Israel
2950,Unilever plc,Investor,United Kingdom of Great Britain and Northern Ireland
2951,Unilever plc,Investor,United Kingdom of Great Britain and Northern Ireland
2952,Veolia Environnement SA,Investor,France
2953,Veolia Environnement SA,Investor,France
2954,Voestalpine AG,Investor,Austria
2955,Voestalpine AG,Investor,Austria
2956,DNB ASA,Investor,Norway
2957,DNB ASA,Investor,Norway
2958,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
2959,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
2960,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
2961,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
2962,Skandinaviska Enskilda Banken AB (SEB AB),Investor,Sweden
2963,Equinor,Investor,Norway
2964,OP Financial Group,Investor,Finland
2965,La Poste,Investor,France
2966,AbbVie Inc,Investor,United States of America
2967,AbbVie Inc,Investor,United States of America
2968,Gefco,Supply Chain,France
2969,3i Group,Investor,United Kingdom of Great Britain and Northern Ireland
2970,Atos SE,Investor,France
2971,Atos SE,Investor,France
2972,Aviva plc,Investor,United Kingdom of Great Britain and Northern Ireland
2973,Banco Bradesco S/A,Investor,Brazil
2974,Banco Bradesco S/A,Investor,Brazil
2975,Banco Bradesco S/A,Investor,Brazil
2976,Proximus,Investor,Belgium
2977,Proximus,Investor,Belgium
2978,Proximus,Investor,Belgium
2979,Proximus,Investor,Belgium
2980,BT Group,Investor,United Kingdom of Great Britain and Northern Ireland
2981,Cap Gemini,Investor,France
2982,Cap Gemini,Investor,France
2983,Commerzbank AG,Investor,Germany
2984,Deutsche Bank AG,Investor,Germany
2985,eBay Inc.,Investor,United States of America
