name,entity_type,constituency,coordinator,city,country,remarks
Centre d'accompagnement des autochtones pygmées et minoritaires vulnerables,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Pacifique Isumbisho Mukumba,Bukavu,Congo,
Centre de coopération internationale en recherche agronomique pour le développement,Non-governmental organizations,Constituency - Research and independent,Mr. Bruno Locatelli,Montpellier Cedex 5,France,completed manually from UNFCCC website
Centre de développement de la région de Tensift,Non-governmental organizations,Constituency - Environmental,M. Mohammed Mesouli,Marrakech,Morocco,
Centre for 21st Century Issues,Non-governmental organizations,Constituency - Women and Gender,Ms. Titilope Ngozi Akosa,Lagos,Nigeria,
Centre for Community Economics and Development Consultants Society,Non-governmental organizations,Constituency - Farmers,Mr. Sharad Joshi,Jaipur,India,
Centre for Environment and Development,Non-governmental organizations,Constituency - Environmental,Mr. Demuni Darshana Uchita de Zoysa,Nugegoda,Sri Lanka,
Centre for Environmental Justice,Non-governmental organizations,Constituency - Environmental CJN,Mr. Hemantha Withanage,Colombo,Sri Lanka,
Centre for European Economic Research,Non-governmental organizations,Constituency - Research and independent,Mr. Martin Kesternich,Mannheim,Germany,
Centre for European Policy Studies,Non-governmental organizations,Constituency - Research and independent,Ms. Monica Alessi,Brussels,Belgium,
Centre for International Governance Innovation,Non-governmental organizations,Constituency - Research and independent,Ms. Oonagh Fitzgerald,Waterloo,Canada,
Centre for International Sustainable Development Law,Non-governmental organizations,Constituency - Research and independent,Mr. Patrick Reynaud,Montreal,Canada,
Centre for Science and Environment,Non-governmental organizations,Constituency - Environmental CAN,Ms. Sunita Narain,New Delhi,India,
Centre for Socio-Economic Development,Non-governmental organizations,Constituency - Research and independent,Ms. Lichia Saner-Yiu,Geneva 1,Switzerland,
Centre international de droit comparé de l'environnement,Non-governmental organizations,Constituency - Environmental,Mr. Kablan Jean-Michel Atta,Limoges,France,completed manually from UNFCCC website
Centre international de recherche sur l'environnement et le développement,Non-governmental organizations,Constituency - Research and independent,Mr. Cassen Christophe,Nogent-Sur-Marne Cedex,France,completed manually from UNFCCC website
Centre patronal de l'environnement du Québec,Non-governmental organizations,Constituency - Business and Industry,Mme Hélène Lauzon,Montreal,Canada,
Centre pour l'Environnement et le Développement,Non-governmental organizations,,Mr. Samuel Nguiffo,Yaounde,Cameroon,completed manually
Centres d'Actions et de Réalisations Internationales,Non-governmental organizations,Constituency - Environmental,Mr. Raymond Patrice Burger,Viols-le-Fort,France,
Centro Agronómico Tropical de Investigación y Enseñanza,Non-governmental organizations,Constituency - Research and independent,Sr. Miguel Cifuentes Jara,Turrialba,Costa Rica,
Centro Alexander von Humboldt,Non-governmental organizations,Constituency - Environmental CAN,Mr. Victor Manuel Campos Cubas,Managua,Nicaragua,
Centro de Apoyo a la Gestión Sustentable del Agua y el Medio Ambiente,Non-governmental organizations,Constituency - Environmental,Sra. Paula Lady Pacheco Mollinedo,La Paz,Bolivia (Plurinational State of),
Centro de Estudios Uruguayos de Tecnología Apropiada,Non-governmental organizations,Constituency - Environmental CAN,Mr. Gerardo Honty,Montevideo,Uruguay,
Centro de Incidencia Ambiental de Panamá,Non-governmental organizations,Constituency - Environmental,Ms. Tania Arosemena,Panamá,Panama,
Centro de Planificación y Estudio Social,Non-governmental organizations,Constituency - Research and independent,Ms. María de Lourdes Barragán Alvarado,Quito,Ecuador,
Centro de Transporte Sustentable de México Asociacion Civil,Non-governmental organizations,Constituency - Environmental,Ms. Adriana de Almeida Lobo,Mexico City,Mexico,
Centro Internacional de Agricultura Tropical,Non-governmental organizations,Constituency - Research and independent,Mr. Andrew James Jarvis,Cali,Colombia,
Centro Mexicano de Derecho Ambiental,Non-governmental organizations,Constituency - Environmental CAN,Ms. Anaid Paola Velasco Ramirez,Mexico,Mexico,
"Ceres, Inc.",Non-governmental organizations,Constituency - Business and Industry,Mr. Christopher Fox,Boston,United States of America,
Chamber of Commerce of the United States of America,Non-governmental organizations,,Ms. Suzanne P. Clark,Washington DC,United States of America,completed manually
Chatham House,Non-governmental organizations,Constituency - Research and independent,Mr. Robert Bailey,London,United Kingdom of Great Britain and Northern Ireland,
China Association for NGO Cooperation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Wang Xiang Yi,Beijing,China,
China Association for Science and Technology,Non-governmental organizations,Constituency - Research and independent,Mr. Jiuyi Qin,Beijing,China,
China Dialogue Trust,Non-governmental organizations,Constituency - ENGO,Ms. Laura Ann Woodbury,London,United Kingdom of Great Britain and Northern Ireland,
China Green Carbon Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Yeyun He,Beijing,China,
China New Energy Chamber of Commerce,Non-governmental organizations,Constituency - Business and Industry,Ms. Dan Wu,Beijing,China,
China NGO Network for International Exchanges,Non-governmental organizations,Constituency - Environmental,Ms. Fan Gui Fen,Beijing,China,
China Science and Technology Exchange Center,Non-governmental organizations,Constituency - Research and independent,Ms. Jiying Chen,Beijing,China,
CHIRAPAQ - Centro de Culturas Indígenas del Perú,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Celia Acasio Rodriguez,Lima,Peru,
Christian Aid,Non-governmental organizations,Constituency - Environmental CAN,Ms. Katherine Kramer,London,United Kingdom of Great Britain and Northern Ireland,
Church of the Brethren,Non-governmental organizations,Constituency - ENGO,Ms. Nancy J. Miner,Elgin,United States of America,
Citizen's Movement for Environmental Justice,Non-governmental organizations,Constituency - Environmental,Mr. Hong Cheol Kim,Seoul,Republic of Korea,
Citizens Alliance for Saving the Atmosphere and the Earth,Non-governmental organizations,Constituency - Environmental CAN,Ms. Michiyo Tsuchida,Osaka,Japan,
Civic Exchange,Non-governmental organizations,Constituency - Environmental,Mr. John So,Hong Kong,China,
Clean Air Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Stephanie Thorson,Toronto,Canada,
"Clean Air Initiative for Asian Cities Center, Inc.",Non-governmental organizations,Constituency - Environmental,Ms. Maria Glynda Bathan-Baterina,Pasig City,Philippines,
Clean Air Task Force,Non-governmental organizations,Constituency - Research and independent,Mr. Jonathan Lewis,Boston,United States of America,
Clean Energy and Safe Environment Initiative,Non-governmental organizations,Constituency - Environmental,Mr. Ishaku Huzi Mshelia,Abuja,Nigeria,
Clean Energy Nepal,Non-governmental organizations,Constituency - Environmental CAN,Mr. Manjeet Dhakal,Kathmandu,Nepal,
Climate Action Network - Europe,Non-governmental organizations,Constituency - Environmental CAN,Mr. Tom Boyle,Brussels,Belgium,
Climate Action Network - Latin America,Non-governmental organizations,Constituency - Environmental CAN,Mr. Enrique Gabriel Maurtua Konstantinidis,La Plata,Argentina,
Climate Action Network Australia,Non-governmental organizations,Constituency - Environmental CAN,Mr. Oliver Paget Toohey,Ultimo,Australia,
Climate Action Network Canada,Non-governmental organizations,Constituency - Environmental CAN,Mr. Christian Holz,Ottawa,Canada,
Climate Action Network International,Non-governmental organizations,Constituency - Environmental CAN,Mme Tashneem Essop,Beirut,Lebanon,
Climate Action Network Southeast Asia,Non-governmental organizations,Constituency - Environmental CAN,Mr. Nithiyananthan Nesadurai,Kuala Lumpur,Malaysia,completed manually from UNFCCC website
Climate Action Reserve,Non-governmental organizations,Constituency - Environmental,Mr. Craig Douglas Ebert,Los Angeles,United States of America,
Climate Alliance (Klima-Bündnis),Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Silke Lunnebach,Frankfurt am Main,Germany,
Climate Alliance Austria,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Markus Hafner-Auinger,Vienna,Austria,
Climate Alliance Italy,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Karl-Ludwig Schibel,Città di Castello,Italy,
Climate Analytics GmbH,Non-governmental organizations,Constituency - Research and independent,Ms. Mavis Durowaa Mainu,Berlin,Germany,
Climate and Health Limited,Non-governmental organizations,Constituency - Research and independent,Ms. Maya Tickell-Painter,London,United Kingdom of Great Britain and Northern Ireland,
Climate Change Center,Non-governmental organizations,Constituency - ENGO,Ms. Hyeji Shin,Seoul,Republic of Korea,
Climate Change Forum,Non-governmental organizations,Constituency - Environmental,Mr. Sungjo Lee,Seoul,Republic of Korea,
Climate Consortium Denmark,Non-governmental organizations,Constituency - Business and Industry,Mr. Iver Hoj Nielsen,Copenhagen,Denmark,
Climate Generation: A Will Steger Legacy,Non-governmental organizations,Constituency - Environmental CAN,Ms. Nicole Barbara Rom,Minneapolis,United States of America,
