name,entity_type,constituency,coordinator,city,country,remarks
"Labour, Health and Human Rights Development Center",Non-governmental organizations,Constituency - Environmental,Mr. Ayodele Sam Akele,Agege Lagos,Nigeria,
Lancaster University,Non-governmental organizations,Constituency - Research and independent,Mr. Barry Simons,Lancaster,United Kingdom of Great Britain and Northern Ireland,
Latin American Section of the American Nuclear Society,Non-governmental organizations,Constituency - Business and Industry,Mr. Jorge Spitalnik,Rio de Janeiro,Brazil,
LAYA,Non-governmental organizations,Constituency - Environmental,Ms. Nafisa Goga Dsouza,"Visakhapatnam, Andhra Pradesh",India,
LDC Watch,Non-governmental organizations,Constituency - Research and independent,Ms. Rushka Sthapit,Kathmandu,Nepal,
Leadership for Environment and Development,Non-governmental organizations,Constituency - Environmental CAN,Ms. Hina Salim Lotia,Islamabad,Pakistan,
Leadership for Environment and Development International,Non-governmental organizations,Constituency - Environmental,Mr. Hugh Maynard,"Epsom, Surrey",United Kingdom of Great Britain and Northern Ireland,
Legal Response Initiative,Non-governmental organizations,Constituency - Environmental CAN,Ms. Pascale Evelyn Bird,,United Kingdom of Great Britain and Northern Ireland,
Legambiente - League of Environment,Non-governmental organizations,Constituency - Environmental CJN,Mr. Maurizio Gubbiotti,Rome,Italy,
Les Anges Gardiens de la Planete,Non-governmental organizations,,,Boulogne Billancourt,France,completed manually
Les Jeunes Écologistes,Non-governmental organizations,,,Montreuil,France,completed manually
Lewis and Clark College,Non-governmental organizations,Constituency - Research and independent,Mr. Chris Wold,Portland,United States of America,
Liaison Office of the European Ceramic Industry,Non-governmental organizations,Constituency - Business and Industry,Mr. Renaud Batier,Bruxelles,Belgium,
Life and Environment - Israeli Union of Environmental NGOs,Non-governmental organizations,Constituency - Environmental,Ms. Moran Diment,Tel Aviv,Israel,completed manually from UNFCCC website
LIFE e.V.,Non-governmental organizations,Constituency - Women and Gender,Ms. Nanna Birk,Berlin,Germany,
Ligue pour la protection des oiseaux,Non-governmental organizations,Constituency - Environmental,Mr. Yves Verilhac,Rochefort,France,
Lombardy Foundation for the Environment / Fondazione Lombardia per l'Ambiente,Non-governmental organizations,Constituency - Research and independent,Ms. Mita Laura Lapi,Milan,Italy,
London School of Economics and Political Science,Non-governmental organizations,Constituency - Research and independent,Mr. Tim Forsyth,London,United Kingdom of Great Britain and Northern Ireland,
Lund University,Non-governmental organizations,Constituency - Research and independent,Mr. Roger Hildingsson,Lund,Sweden,
Lutheran World Federation,Non-governmental organizations,Constituency - Research and independent,Ms. Elena Cedillo Vargas,Geneva 2,Switzerland,
Macalester College,Non-governmental organizations,Constituency - Research and independent,Ms. Christina Manning,"St. Paul, Minnesota",United States of America,
Macau Environmental Protection and Management Association,Non-governmental organizations,Constituency - Environmental,Ms. Ka U Lao,Macau,China,
Macau Environmental Protection Institute,Non-governmental organizations,Constituency - ENGO,Ms. Priscilla Fong I Leong,Macau,China,
Macquarie University,Non-governmental organizations,Constituency - Research and independent,Ms. Lesley Hughes,Sydney,Australia,
Marmara University,Non-governmental organizations,Constituency - Research and independent,Ms. Semra Cerit Mazlum,Istanbul,Turkey,
Mary Robinson Foundation - Climate Justice,Non-governmental organizations,Constituency - Research and independent,Ms. Barbara Sweetman,Dublin,Ireland,
Maryknoll Fathers and Brothers,Non-governmental organizations,Constituency - Research and independent,Mr. John Tivnan Brinkman,Maryknoll,United States of America,
"Maryknoll Sisters of St. Dominic, Inc.",Non-governmental organizations,Constituency - Environmental,Ms. Marvelous Lomerio Misolas,Maryknoll,United States of America,completed manually from UNFCCC website
Massachusetts Institute of Technology,Non-governmental organizations,Constituency - Research and independent,Mr. John Sterman,Cambridge,United States of America,
McGill University,Non-governmental organizations,Constituency - Research and independent,Ms. Renée Sieber,Montréal,Canada,
Mediators Beyond Borders,Non-governmental organizations,Constituency - Research and independent,Ms. Megan Casey,Arlington,United States of America,
Mediterranean Protected Areas Network,Non-governmental organizations,Constituency - Environmental,Ms. Marie Romani,Hyeres,France,
Mercy International Association,Non-governmental organizations,Constituency - Research and independent,Ms. Angela Reed,Dublin,Ireland,
Meridian Institute,Non-governmental organizations,Constituency - ENGO,Mr. John Ehrmann,Dillon,United States of America,
Met Office Hadley Center,Non-governmental organizations,Constituency - Research and independent,Mr. Jason Lowe,Exeter,United Kingdom of Great Britain and Northern Ireland,
METIS - Global Awareness Network,Non-governmental organizations,Constituency - Research and independent,Mr. Andreas Andreopoulos,Kalivia Pezoulas,Greece,
Michael Succow Foundation for the Protection of Nature,Non-governmental organizations,Constituency - Environmental,Mr. Jan Peters,Greifswald,Germany,
Midwest Research Institute/National Renewable Energy Laboratory,Non-governmental organizations,Constituency - Research and independent,Mr. Ron Daniel Benioff,"Golden, CO",United States of America,
"MISEREOR, German Catholic Bishops' Organisation for Development Cooperation",Non-governmental organizations,Constituency - Environmental CAN,Ms. Anika Schroeder,Aachen,Germany,
Monde pluriel,Non-governmental organizations,,,Grenoble,France,completed manually
Moravian College,Non-governmental organizations,Constituency - Research and independent,Ms. Hilde Binford,Bethlehem,United States of America,
Mountain and Glacier Protection Organization,Non-governmental organizations,Constituency - Environmental,Mr. Tanweer Ahmad Bhutta,Islamabad,Pakistan,
"Mountain Institute, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Jorge Recharte Bullard,Washington DC,United States of America,
Mouvement des entreprises de France,Non-governmental organizations,,Mr. Geoffroy Roux de Bezieux,Paris,France,completed manually
Movimiento Ciudadano frente al Cambio Climático,Non-governmental organizations,Constituency - Environmental CAN,Sra. Rocío Valdeavellano Roca Rey,Lima,Peru,
Munich Climate Insurance Initiative,Non-governmental organizations,Constituency - Business and Industry,Mr. Michael Zissener,Bonn,Germany,
Münster University,Non-governmental organizations,Constituency - ENGO,Ms. Doris Fuchs,Münster,Germany,
National Association for the Advancement of Colored People,Non-governmental organizations,Constituency - Environmental CAN,Mr. Hilary Otis Shelton,Washington,United States of America,
National Association of Clean Air Agencies,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Stuart William Becker,Washington,United States of America,
National Center for Climate Change Strategy and International Cooperation,Non-governmental organizations,Constituency - Environmental,Mr. Xiaohua Zhang,Beijing,China,
National Concentrating Solar Power Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Marco Baresi,Milan,Italy,
"National Council for Climate Change, Sustainable Development and Public Leadership",Non-governmental organizations,Constituency - Farmers,Mr. Kirit Shelat,Ahmedabad,India,
National Ecological Centre of Ukraine,Non-governmental organizations,Constituency - Environmental CAN,Ms. Khrystyna Rudnytska,Kiev,Ukraine,
National Foreign Trade Council,Non-governmental organizations,Constituency - Business and Industry,Mr. Robert Jake Colvin,Washington,United States of America,
National Institute for Environmental Studies,Non-governmental organizations,Constituency - Research and independent,Mr. Atsuhiko Yoshimura,Tsukuba,Japan,
National Institute of Public Health and the Environment,Non-governmental organizations,Constituency - Research and independent,Mr. Rob Maas,Bilthoven,Netherlands,
National Native Title Council Ltd.,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Carolyn Betts,North Melbourne,Australia,
National Spiritual Assembly of the Baha'is of the United States,Non-governmental organizations,Constituency - Research and independent,Mr. Ian Hamilton,Washington,United States of America,
National University of Singapore,Non-governmental organizations,Constituency - Research and independent,Ms. Melissa Yu Xing Low,Singapore,Singapore,
National Wildlife Federation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Nathalie Walker,Reston,United States of America,
National Youth Achievement Award Association,Non-governmental organizations,Constituency - Youth,Ms. Aileen Yap,Singapore,Singapore,
Native American Rights Fund,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Kim Jerome Gottschalk,Boulder,United States of America,
"Natural Capitalism Solutions, Inc.",Non-governmental organizations,Constituency - Environmental,Ms. Heather L Kaberline,Longmont,United States of America,
Natural Justice,Non-governmental organizations,Constituency - Environmental,Ms. Ilse Rolene Booysen,Cape Town,South Africa,
Natural Resources Defense Council,Non-governmental organizations,Constituency - Environmental CAN,Mr. Jacob Schmidt,New York,United States of America,
Nature and Biodiversity Conservation Union,Non-governmental organizations,Constituency - Environmental CAN,Mr. Kristian Kloeckner,Berlin,Germany,
Nature Code - Centre of Development & Environment,Non-governmental organizations,,,Brussels,Belgium,completed manually
Natureparif,Non-governmental organizations,Constituency - Environmental,Mr. Marc Barra,Paris,France,
Nehru Foundation for Development Centre for Environment Education,Non-governmental organizations,,,Ahmedabad,India,completed manually
Neighbour Organization Nepal,Non-governmental organizations,Constituency - Environmental,Mr. Basanta Raj Gautam,Kathmandu,Nepal,
Neongreen Network,Non-governmental organizations,Constituency - Environmental,Ms. Angie Rattay,Vienna,Austria,
Nepal Federation of Indigenous Nationalities,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Tunga Bhadra Rai,Kathmandu,Nepal,
Network of Regional Governments for Sustainable Development,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Heloise Chicou,Brussels,Belgium,"completed manually from UNFCCC website; renamed ""Regions4 for Sustainable Development"""
New Energy and Industrial Technology Development Organization,Non-governmental organizations,Constituency - Research and independent,Mr. Toshio Kosuge,Kawasaki,Japan,
New Venture Fund,Non-governmental organizations,Constituency - Research and independent,Mr. Travis Franck,Washington,United States of America,
New Zealand Forest Owners' Association,Non-governmental organizations,Constituency - Business and Industry,Mr. David Rhodes,Wellington,New Zealand,
New Zealand Youth Delegation Incorporated,Non-governmental organizations,Constituency - Youth,Mr. Matthew John Gibbons,Wellington,New Zealand,
Nordic Folkcenter for Renewable Energy,Non-governmental organizations,,,Hurup,Denmark,completed manually
Northeastern University,Non-governmental organizations,Constituency - Research and independent,Ms. Denise Garcia Lapon,Boston,United States of America,
Norwegian Confederation of Trade Unions,Non-governmental organizations,Constituency - Trade Unions,Ms. Anne-Beth Skrede,Oslo,Norway,
Norwegian Forum for Environment and Development,Non-governmental organizations,Constituency - Environmental CAN,Ms. Lillian Bredal Eriksen,Oslo,Norway,
Norwegian Refugee Council,Non-governmental organizations,Constituency - Environmental,Ms. Nina M Birkeland,Oslo,Norway,
Norwegian Society for the Conservation of Nature,Non-governmental organizations,Constituency - Environmental CAN,Ms. Johanne Sæther Houge,Oslo,Norway,
Norwegian University of Science and Technology,Non-governmental organizations,Constituency - Research and independent,Mr. Espen Moe,Trondheim,Norway,
Nurses Across the Borders,Non-governmental organizations,Constituency - Environmental,Mr. Peters Osawaru Omoragbon,Lagos,Nigeria,
Observatoire méditerranéen de l'énergie,Non-governmental organizations,Constituency - Business and Industry,Mme Houda Allal,Sophie-Antipolis,France,
Oceana Inc.,Non-governmental organizations,Constituency - Environmental,Ms. Jacqueline Savitz,Washington,United States of America,
"Oeko-Institut (Institute for Applied Ecology e.V.), Berlin",Non-governmental organizations,Constituency - Research and independent,Mr. Lambert Richard Schneider,Berlin,Germany,completed manually from UNFCCC website
Oil Change International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Elizabeth Bast,Washington,United States of America,
Open University,Non-governmental organizations,Constituency - Research and independent,Mr. Eduard Vinyamata i Camp,Barcelona,Spain,
Organización Regional de la Asociación Inter-Étnica de Desarrollo de la Selva Peruana Ucayali,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Noe Segunda Tuesta Flores,Pucallpa,Peru,
Oro Verde - Tropical Forest Foundation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Elke Mannigel,Bonn,Germany,
Ouranos,Non-governmental organizations,Constituency - Research and independent,Mme Anne Debrabandere,Montréal,Canada,
Overseas Development Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Catherine Stockwell,London,United Kingdom of Great Britain and Northern Ireland,
"Overseas Environmental Cooperation Center, Japan",Non-governmental organizations,Constituency - Research and independent,Mr. Satoshi Iemoto,Tokyo,Japan,
OXFAM International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Tracy Carty,Oxford,United Kingdom of Great Britain and Northern Ireland,
Oxford Climate Policy,Non-governmental organizations,Constituency - Research and independent,Mr. Benito Müller,Oxford,United Kingdom of Great Britain and Northern Ireland,
P3 Foundation,Non-governmental organizations,Constituency - Youth,Mr. David Tong,Auckland,New Zealand,
Pacific Forest Trust,Non-governmental organizations,Constituency - Environmental,Ms. Laurie Wayburn,San Francisco,United States of America,
PAIRVI Associates,Non-governmental organizations,Constituency - Environmental,Mr. Ajay Kumar Jha,New Dehli,India,
Pakistan Community Peace Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Karamat Bhatti,Wah Cantt,Pakistan,
Pan African Climate Justice Alliance,Non-governmental organizations,Constituency - Environmental,Mr. Joseph Mithika Mwenda,Nairobi,Kenya,
ParisTech,Non-governmental organizations,Constituency - Research and independent,Mme Sandrine Selosse,Paris,France,
Pembina Institute for Appropriate Development,Non-governmental organizations,Constituency - Environmental CAN,Mr. Bora Plumptre,Calgary,Canada,
Pennsylvania Environmental Resource Consortium,Non-governmental organizations,Constituency - Research and independent,Mr. Donald Arthur Brown,Camp Hill,United States of America,
Peoples' Forum 2001 GWRG,Non-governmental organizations,Constituency - ENGO,Ms. Hye-Sook Park,Tokyo,Japan,
Perkumpulan Sawit Watch,Non-governmental organizations,Constituency - Research and independent,Ms. Tawangratri Dhyayin Kusumohartono,Bogor,Indonesia,
Plan International,Non-governmental organizations,Constituency - ENGO,Ms. Jessica Cooke,London,United Kingdom of Great Britain and Northern Ireland,
Planète Amazone,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Gert Bruch,Courbevoie,France,
Plant for the Planet Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Helge Maren Bork,Tutzing,Germany,
Plymouth Marine Laboratory,Non-governmental organizations,Constituency - Environmental,Ms. Thecla Keizer,Plymouth,United Kingdom of Great Britain and Northern Ireland,
Polish Ecological Club,Non-governmental organizations,Constituency - Environmental CJN,Ms. Urszula Stefanowicz,Kraków,Poland,
Pomona College,Non-governmental organizations,Constituency - Research and independent,Mr. Richard Worthington,Claremont,United States of America,
Population Action International,Non-governmental organizations,Constituency - Environmental,Ms. Elisha Dunn-Georgiou,Washington,United States of America,
Potsdam Institute for Climate Impact Research,Non-governmental organizations,Constituency - Research and independent,Ms. Annika Günther,Potsdam,Germany,
Practical Action,Non-governmental organizations,Constituency - Environmental CAN,Mr. Colin Ian McQuistan,Rugby,United Kingdom of Great Britain and Northern Ireland,
Presbyterian Church (U.S.A.),Non-governmental organizations,Constituency - Environmental CAN,Ms. Rebecca Jane Barnes,Louisville,United States of America,
Princeton University,Non-governmental organizations,Constituency - Research and independent,Mr. Charles Crosby,Princeton,United States of America,
Pro-Natura International,Non-governmental organizations,Constituency - Environmental,Mr. Guy Reinaud,Paris,France,
ProClim - Forum for Climate and Global Change,Non-governmental organizations,Constituency - Research and independent,Ms. Karin Ammon,Bern,Switzerland,
Project 90 by 2030,Non-governmental organizations,Constituency - Environmental CAN,Ms. Olivia Andrews,Cape Town,South Africa,
Project Developer Forum Ltd.,Non-governmental organizations,Constituency - Business and Industry,Mr. Sven Gunther Kolmetz,London,United Kingdom of Great Britain and Northern Ireland,
Pronatura Mexico,Non-governmental organizations,Constituency - Environmental,Sra. Leticia Espinosa Marván,Mexico,Mexico,
Purdue University - Purdue Climate Change Research Center,Non-governmental organizations,Constituency - Research and independent,M. Filley,West Lafayette,United States of America,
Purves Environmental Fund,Non-governmental organizations,Constituency - Environmental,Ms. Erika Hosoyama,Sydney,Australia,
Pusan National University - Marine Research Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Ik Kyo Chung,Busan Metro City,Republic of Korea,
PUSH Sweden,Non-governmental organizations,Constituency - Environmental,Mr. Adam Leckius,Stockholm,Sweden,
Quaker Earthcare Witness,Non-governmental organizations,Constituency - Environmental,Ms. Shelley Tanenbaum,Albany,United States of America,
R20 - Regions of Climate Action,Non-governmental organizations,Constituency - Environmental,Mr. Christophe Nuttall,Geneva,Switzerland,
Rainforest Action Network,Non-governmental organizations,Constituency - Environmental CJN,Mr. Patrick McCully,San Francisco,United States of America,
Rainforest Alliance,Non-governmental organizations,Constituency - Environmental,Mr. Martin Noponen,New York,United States of America,
Rainforest Concern,Non-governmental organizations,Constituency - Environmental,Mr. Peter Bennett,London,United Kingdom of Great Britain and Northern Ireland,
Rainforest Foundation Norway,Non-governmental organizations,Constituency - Environmental CAN,Ms. Monica Camacho Mejia,Oslo,Norway,
Rainforest Foundation UK,Non-governmental organizations,Constituency - Environmental,Mr. Joseph Eisen,London,United Kingdom of Great Britain and Northern Ireland,
Rainforest Partnership,Non-governmental organizations,Constituency - Environmental,Ms. Niyanta Spelman,Austin,United States of America,
Rare,Non-governmental organizations,Constituency - Environmental,Ms. Arlane Marietta Steins - Meier,Arlington,United States of America,
Reforestamos Mexico,Non-governmental organizations,Constituency - Environmental,Ms. Raquel Jimenez Acosta,Mexico City,Mexico,
"Refrigerants, Naturally e.V.",Non-governmental organizations,Constituency - Business and Industry,Mr. Dietram Oppelt,Königstein,Germany,
Regional Environmental Centre for Central Asia,Non-governmental organizations,Constituency - Environmental,Ms. Irina Bekmirzaeva,Almaty,Kazakhstan,
Remote Sensing Technology Center of Japan,Non-governmental organizations,Constituency - Research and independent,Mr. Masatoshi Kamei,Tokyo,Japan,
Renewable Energy and Energy Efficiency Partnership,Non-governmental organizations,Constituency - Environmental,Ms. Eszter Winkler,Vienna,Austria,
Renewable Energy Policy Network,Non-governmental organizations,Constituency - Environmental,Ms. Laura Williamson,Paris,France,
Renmin University of China,Non-governmental organizations,Constituency - Research and independent,Mr. Ji Zou,Beijing,China,
"Research and Development Centre, Nepal",Non-governmental organizations,Constituency - Research and independent,Mr. Ramdhyan Prasad Yadav,Kathmandu,Nepal,
Research Centre for Sustainable Development,Non-governmental organizations,Constituency - Research and independent,Ms. Francesca Farioli,Rome,Italy,
Research Institute of Innovative Technology for the Earth,Non-governmental organizations,Constituency - Research and independent,Mr. Haruo Kanaboshi,Kyoto,Japan,
"Réseau ""sortir du nucléaire""",Non-governmental organizations,Constituency - Environmental CAN,Ms. Charlotte Mijeon,Lyon,France,
Réseau Action Climat - France,Non-governmental organizations,Constituency - Environmental CAN,Ms. Aurore Mathieu,Montreuil,France,
Réseau Français des Etudiants pour le Développement Durable,Non-governmental organizations,Constituency - Youth,Mr. Lucas Paoli,Paris,France,
Resource Africa,Non-governmental organizations,Constituency - Environmental,Ms. Astrid Westerlind Wigström,Cambridge,United Kingdom of Great Britain and Northern Ireland,
Resources for the Future,Non-governmental organizations,Constituency - ENGO,Ms. Kristin Hayes,Washington,United States of America,
Responding to Climate Change,Non-governmental organizations,Constituency - Business and Industry,Ms. Nicole Serrij,London,United Kingdom of Great Britain and Northern Ireland,
Rheinische Friedrich-Wilhelms-Universität Bonn,Non-governmental organizations,Constituency - Research and independent,Ms. Sandra Gilgan,Bonn,Germany,
"Rockefeller Brothers Fund, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Thomas Kruse,New York,United States of America,
Rockefeller Foundation,Non-governmental organizations,Constituency - Research and independent,Ms. Elizabeth Yee,New York,United States of America,
Rocky Mountain Institute,Non-governmental organizations,Constituency - Environmental,Ms. Denali Rose Hussin,Boulder,United States of America,
Rosa-Luxemburg-Stiftung Gesellschaftsanalye und politische Bildung e.V.,Non-governmental organizations,,,Berlin,Germany,completed manually
Rural Reconstruction Nepal,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Gyan Bahadur Adhikari,Katmandu,Nepal,
Sabanci University,Non-governmental organizations,Constituency - Environmental,Mr. Umit Sahin,Istanbul,Turkey,
Saint John's University,Non-governmental organizations,Constituency - Research and independent,Ms. Jean Lavigne,Collegeville,United States of America,
Sauvons Le Climat,Non-governmental organizations,Constituency - Environmental,Mr. Stephan Savarese,Paris,France,
Save the Children International,Non-governmental organizations,Constituency - Youth,Mr. Christophe Belperron,London,United Kingdom of Great Britain and Northern Ireland,
School of Environmental Studies Education Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Craig Johnson,Apple Valley,United States of America,
SeaTrust Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Lynn Wilson,Olympia,United States of America,
Seawater Foundation,Non-governmental organizations,Constituency - Research and independent,Ms. Elizabeth Swilling Hodges,Tucson,United States of America,
Seoul International Law Academy,Non-governmental organizations,Constituency - Research and independent,Mr. Suh Yong Chung,Seoul,Republic of Korea,
Sequoia Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Thomas Kelly,La Jolla,United States of America,
Service Civil International,Non-governmental organizations,Constituency - Youth,Ms. Sara Turra,Antwerpen,Belgium,
Shakti Sustainable Energy Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Kunal Sharma,New Delhi,India,
Shan Shui Conservation Center,Non-governmental organizations,Constituency - Environmental CAN,Ms. Xiangying Shi,Beijing,China,
Shinji Shumeikai,Non-governmental organizations,Constituency - Environmental,Ms. Kristina Mayo,Koka,Japan,
Sierra Club,Non-governmental organizations,Constituency - Environmental CAN,Mr. John Coequyt,Washington,United States of America,
Sierra Club Canada,Non-governmental organizations,Constituency - Environmental CAN,Ms. Gretchen Fitzgerald,Ottawa,Canada,
"SILVA, Arbres, Forêts et Sociétes",Non-governmental organizations,Constituency - Environmental,Mr. Joseph Francois Racapé,Paris,France,
Sjoham Baabaji Mission,Non-governmental organizations,Constituency - Environmental,Mr. Philip Aartsen,'s-Hertogenbosch,Netherlands,
Small and Medium Scale Entrepreneurship Fundamentals Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Femi Oye,Lagos,Nigeria,
SNV Netherlands Development Organisation,Non-governmental organizations,Constituency - Environmental,Ms. Janne Maria Teule,The Hague,Netherlands,
Sociedade Pesquisa em Vida Salvagem e Educacao Ambiental,Non-governmental organizations,Constituency - Environmental,Mr. Clovis Ricardo Schrappe Borges,Curitiba,Brazil,
Società Italiana per le Scienze del Clima,Non-governmental organizations,Constituency - Research and independent,Ms. Martina Gambaro,Marghera-Venice,Italy,
Société Météorologique de France,Non-governmental organizations,,Mr. Jean Jouzel,Saint-Mandé,France,completed manually
Society for Peoples Education and Economic Change,Non-governmental organizations,Constituency - Women and Gender,Mr. John Devavaram,Tamilnadu,India,
Society for Threatened Peoples International,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Ulrich Delius,Goettingen,Germany,
Society of Catholic Medical Missionaries,Non-governmental organizations,Constituency - Research and independent,Ms. Cicilymol Paramundayil,London,United Kingdom of Great Britain and Northern Ireland,
Solar Energy Industries Association,Non-governmental organizations,Constituency - Business and Industry,Ms. Azra Chughtai,Washington DC,United States of America,
SOS SAHEL International France,Non-governmental organizations,Constituency - Farmers,Ms. Emilie Rouxel,,France,
South African Institute of International Affairs,Non-governmental organizations,Constituency - Research and independent,Ms. Desirée Joy Kosciulek,Braamfontein,South Africa,
South Asian Forum for Environment,Non-governmental organizations,Constituency - Environmental,Mr. Dipayan Dey,Kolkata,India,
South Central India Network for Development Alternatives,Non-governmental organizations,Constituency - Environmental,Ms. Sheila Benjamin,Tamilnadu,India,
SouthSouthNorth Projects Africa,Non-governmental organizations,Constituency - Environmental,,Cape Town,South Africa,
"St Louis Aquacenter, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Leonard Sonnenschein,Saint Louis,United States of America,
Stakeholder Forum for a Sustainable Future,Non-governmental organizations,Constituency - ENGO,Mr. Charles Allen Nouhan,Herne Bay,United Kingdom of Great Britain and Northern Ireland,
Stanford University,Non-governmental organizations,Constituency - Environmental,Ms. Patricia Hines,Stanford,United States of America,
Stichting Climate Action Network South Asia,Non-governmental organizations,Constituency - Environmental CAN,Mr. Sanjay Vashist,Dhaka,Bangladesh,
Stichting Hivos (Humanistisch Instituut voor Ontwikkelingssamenwerking),Non-governmental organizations,Constituency - Environmental CAN,Ms. Merit Maria Hindriks,The Hague,Netherlands,
Stockholm Environment Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Cleo Verkuijl,Stockholm,Sweden,
Stockholm International Water Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Kristina Gunilla Johansson,Stockholm,Sweden,
Stockholm University - Institute for International Economic Studies,Non-governmental organizations,,,Stockholm,Sweden,completed manually
STOP,Non-governmental organizations,Constituency - Environmental,Mr. Thomas Welt,Montréal,Canada,
Stop Climate Chaos Scotland,Non-governmental organizations,Constituency - Environmental,Ms. Gail Wilson,Edinburgh,United Kingdom of Great Britain and Northern Ireland,
Strömstad Academy,Non-governmental organizations,Constituency - Research and independent,Mr. Ari Lampinen,Strömstad,Sweden,
Student Energy,Non-governmental organizations,Constituency - Youth,Ms. Meredith Adler,Calgary,Canada,
Surfrider Foundation Europe,Non-governmental organizations,Constituency - Environmental,Ms. Elodie Bernollin,Biarritz,France,
Sustainability Council of New Zealand Trust,Non-governmental organizations,Constituency - Environmental CAN,Mr. Simon Terry,Wellington,New Zealand,
Sustainable Business Australia,Non-governmental organizations,Constituency - Business and Industry,Mr. Andrew Petersen,Sydney,Australia,
Sustainable Development Association,Non-governmental organizations,Constituency - Environmental,Mr. Bryan Li,Somerset,United Kingdom of Great Britain and Northern Ireland,
Sustainable Development Policy Institute,Non-governmental organizations,Constituency - Environmental CAN,Mr. Muhammad Abid Qaiyum Sulehri,Islamabad,Pakistan,
Sustainable Energy Africa,Non-governmental organizations,Constituency - Environmental CAN,Ms. Simisha Pather-Elias,Cape Town,South Africa,
Sustainable Environmental Development Watch,Non-governmental organizations,Constituency - Environmental CAN,Mr. Frank Msafiri Kairura,Nairobi,Kenya,
Sustainable Markets Foundation - 350.org,Non-governmental organizations,Constituency - Environmental CJN,Ms. Cansin Leylim Ilgaz,Brooklyn,United States of America,
Sustainable Population Australia Inc.,Non-governmental organizations,Constituency - Environmental CAN,Ms. Jane O'Sullivan,Weston Creek,Australia,
SustainUS,Non-governmental organizations,Constituency - Youth,Ms. Karina Belen Gonsalez,Grandville,United States of America,
Swarthmore College,Non-governmental organizations,Constituency - Research and independent,Ms. Catherine Burnett,Swarthmore,United States of America,
Swedish Society for Nature Conservation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Kristina Östman,Stockholm,Sweden,
Swedish University of Agricultural Sciences,Non-governmental organizations,Constituency - Research and independent,Mr. Johan Anders Stendahl,Uppsala,Sweden,
Swiss Association for Environmentally Conscious Management,Non-governmental organizations,,,,Switzerland,completed manually
Swiss Federal Institute of Technology,Non-governmental organizations,Constituency - Research and independent,Mr. Thomas Bernauer,Zurich,Switzerland,
Swisscontact,Non-governmental organizations,Constituency - Research and independent,Mr. Jon Bickel,Zurich,Switzerland,
Taiwan Institute for Sustainable Energy,Non-governmental organizations,Constituency - Business and Industry,Mr. Eugene Chien,Taipei,China,
Taiwan Research Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Cheng-Hung Liu,New Taipei,China,
TakingITGlobal,Non-governmental organizations,Constituency - Environmental,Mr. Liam O'Doherty,Toronto,Canada,
Tanzania Natural Resource Forum,Non-governmental organizations,Constituency - Environmental,Mr. Latif Ukhotya Amars,Arusha,United Republic of Tanzania,
TEARFUND,Non-governmental organizations,Constituency - Environmental CAN,Ms. Sarah Elizabeth Wiggins,Teddington,United Kingdom of Great Britain and Northern Ireland,completed manually from UNFCCC website
Tebtebba Foundation,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Raymond de Chavez,Baguio City,Philippines,
Technical University of Denmark,Non-governmental organizations,Constituency - Research and independent,Ms. Susanne Pedersen,Kgs. Lyngby,Denmark,
Technische Universität Darmstadt,Non-governmental organizations,Constituency - Research and independent,Mr. Wolfgang Liebert,Darmstadt,Germany,
Telecommunication and Transportation Foundation,Non-governmental organizations,Constituency - Business and Industry,Mr. You-Hsin Eugene Chien,New Taipei,China,
The Baum Foundation,Non-governmental organizations,Constituency - Environmental,Ms. April Minnich,San Francisco,United States of America,
The Carbon Trust,Non-governmental organizations,Constituency - ENGO,Mr. Simon Retallack,London,United Kingdom of Great Britain and Northern Ireland,
