name,entity_type,constituency,coordinator,city,country
Sustainable Business Australia,Non-governmental organizations,Constituency - Business and Industry,Mr. Andrew Petersen,Sydney,Australia
Sustainable Development Policy Institute,Non-governmental organizations,Constituency - Environmental CAN,Mr. Muhammad Abid Qaiyum Sulehri,Islamabad,Pakistan
Sustainable Energy for All Association for Sustainable Energy,Non-governmental organizations,Constituency - Environmental,Ms. Tracey Crowe,Vienna,Austria
Sustainable Environmental Development Watch,Non-governmental organizations,Constituency - Environmental CAN,Mr. Frank Kairura,Nairobi,Kenya
Sustainable Hudson Valley,Non-governmental organizations,Constituency - Environmental,Mr. David Conover,Rhinebeck,United States of America
Sustainable Population Australia Inc.,Non-governmental organizations,Constituency - Environmental CAN,Ms. Jane O'Sullivan,Deakin West,Australia
SustainableEnergy,Non-governmental organizations,Constituency - Environmental,Mr. Bjarke Rambøll,Aarhus,Denmark
SustainUS,Non-governmental organizations,Constituency - Youth,Ms. Karina Belen Gonsalez,Grandville,United States of America
Swarthmore College,Non-governmental organizations,Constituency - Research and independent,Ms. Catherine Burnett,Swarthmore,United States of America
Swedish Society for Nature Conservation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Kristina Östman,Stockholm,Sweden
Swedish University of Agricultural Sciences,Non-governmental organizations,Constituency - Research and independent,Mr. Johan Anders Stendahl,Uppsala,Sweden
Swiss Federal Institute of Technology,Non-governmental organizations,Constituency - Research and independent,Mr. Tobias Schmidt,Zurich,Switzerland
Swiss Lenten Fund,Non-governmental organizations,,Mr. Stefan Salzmann,Lucerne,Switzerland
Syndicat Professionnel pour le Recyclage et l’Elimination des Déchets Dangereux,Non-governmental organizations,,,,
Taiwan Carbon Capture Storage and Utilization Association,Non-governmental organizations,Constituency - Environmental,Mr. Joey Lu,"Taipei ,Taiwan",China
Taiwan Institute for Sustainable Energy,Non-governmental organizations,Constituency - Business and Industry,Mr. Eugene Chien,Taipei,China
Taiwan Research Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Cheng-Hung Liu,New Taipei,China
TakingITGlobal,Non-governmental organizations,Constituency - Environmental,Mr. Liam O'Doherty,Toronto,Canada
Tanzania Natural Resource Forum,Non-governmental organizations,Constituency - Environmental,Mr. Latif Ukhotya Amars,Arusha,United Republic of Tanzania
Tearfund,Non-governmental organizations,Constituency - Environmental CAN,Ms. Sarah Elizabeth Wiggins,Teddington,United Kingdom of Great Britain and Northern Ireland
Tebtebba Foundation,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Raymond de Chavez,Baguio City,Philippines
Technical University Munich,Non-governmental organizations,Constituency - Research and independent,Ms. Annette Menzel,Munich,Germany
Technical University of Denmark,Non-governmental organizations,Constituency - Research and independent,Ms. Susanne Pedersen,Kgs. Lyngby,Denmark
Technische Universität Darmstadt,Non-governmental organizations,Constituency - Research and independent,Mr. Wolfgang Liebert,Darmstadt,Germany
Telecommunication and Transportation Foundation,Non-governmental organizations,Constituency - Business and Industry,Mr. You-Hsin Eugene Chien,New Taipei,China
TENMYA 21,Non-governmental organizations,Constituency - Environmental,M. Hamadi Gharbi,Ezzahra,Tunisia
TERI University,Non-governmental organizations,Constituency - Research and independent,Ms. Leena Srivastava,New Delhi,India
Texas Impact Education Fund Doing Business as the Texas Interfaith Center for Public Policy,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Imaad Khan,Austin,United States of America
Texas Tech University System,Non-governmental organizations,Constituency - Research and independent,Ms. Katharine Hayhoe,Lubbock,United States of America
Thames Estuary Partnership,Non-governmental organizations,Constituency - Environmental,Ms. Amy Pryor,London,United Kingdom of Great Britain and Northern Ireland
The American Institute of Architects,Non-governmental organizations,Constituency - Business and Industry,Ms. Cindy Schwartz,Washington,United States of America
The Association for Coastal Ecosystem Services,Non-governmental organizations,Constituency - Environmental,Mr. Lucas Ruzowitzky,Dunbar,United Kingdom of Great Britain and Northern Ireland
The Association for Renewable Energy and Clean Technology,Non-governmental organizations,Constituency - Business and Industry,Mr. Stuart Pocock,London,United Kingdom of Great Britain and Northern Ireland
The Association of Commonwealth Universities,Non-governmental organizations,Constituency - Research and independent,Ms. Jackie Middleton,London,United Kingdom of Great Britain and Northern Ireland
The Australia Institute Ltd.,Non-governmental organizations,Constituency - Research and independent,Mr. Richard Merzian,Manuka ACT,Australia
"The B Team Headquarters, Inc.",Non-governmental organizations,Constituency - Business and Industry,Ms. Leah Seligmann,New York,United States of America
The British Academy,Non-governmental organizations,Constituency - Research and independent,Ms. Christina Moorhouse,London,United Kingdom of Great Britain and Northern Ireland
The British Council,Non-governmental organizations,Constituency - Research and independent,Ms. Jennifer Carolyn Bardsley,London,United Kingdom of Great Britain and Northern Ireland
The Carbon Institute,Non-governmental organizations,Constituency - Environmental CAN,Mr. John Oliver Niles,San Diego,United States of America
The Carbon Literacy Trust,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Dave Coleman,Manchester,United Kingdom of Great Britain and Northern Ireland
The Carbon Trust,Non-governmental organizations,Constituency - ENGO,Mr. Simon Retallack,London,United Kingdom of Great Britain and Northern Ireland
The Catholic Agency for Overseas Development,Non-governmental organizations,Constituency - Environmental,Ms. Amy Gander,London,United Kingdom of Great Britain and Northern Ireland
The Centre for Sustainable Healthcare,Non-governmental organizations,Constituency - Environmental,Ms. Rachel Stancliffe,Oxford,United Kingdom of Great Britain and Northern Ireland
The ChariTree Foundation,Non-governmental organizations,Constituency - Youth,Ms. Andrea Koehle Jones,Bowen Island,Canada
The Climate Center,Non-governmental organizations,,Ms. Ellen Cohen,Santa Rosa,United States of America
The Climate Coalition,Non-governmental organizations,Constituency - Environmental,Mr. Stuart Neaverson,London,United Kingdom of Great Britain and Northern Ireland
The Climate Crisis,Non-governmental organizations,Constituency - Environmental,Mr. John Chellman,London,United Kingdom of Great Britain and Northern Ireland
The Climate Group,Non-governmental organizations,Constituency - Business and Industry,Ms. Tereza Kamenicka,London,United Kingdom of Great Britain and Northern Ireland
The Climate Reality Project,Non-governmental organizations,Constituency - Environmental CAN,Mr. Ethan Spaner,Washington,United States of America
The Climate Registry,Non-governmental organizations,Constituency - Environmental,Ms. Amy Elizabeth Holm,Los Angeles,United States of America
The Congolese Diaspora For Nelson Mandela Legacy,Non-governmental organizations,Constituency - Youth,Mr. Frank Assimbo,Johannesburg,South Africa
The Conservancy Association,Non-governmental organizations,Constituency - Environmental,Mr. So Kwok-yin,Hong Kong,China
The Conservation Coalition,Non-governmental organizations,Constituency - Environmental,Mr. Christopher Barnard,Appleton,United States of America
The Corner House,Non-governmental organizations,Constituency - Environmental,Mr. Larry Lohmann,Dorset,United Kingdom of Great Britain and Northern Ireland
The Cultural Sanctuaries Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Olivia McKendrick,London,United Kingdom of Great Britain and Northern Ireland
The Danish Family Planning Association,Non-governmental organizations,Constituency - Women and Gender,Ms. Ida Baagoe Klockmann,København S,Denmark
The Donkey Sanctuary,Non-governmental organizations,Constituency - Environmental,Ms. Grace Clifford,Sidmouth,United Kingdom of Great Britain and Northern Ireland
The Energy and Resources Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Suruchi Bhadwal,New Delhi,India
The Energy Foundation,Non-governmental organizations,Constituency - Research and independent,Ms. Xiaohan Zhang,San Francisco,United States of America
The Fairtrade Foundation,Non-governmental organizations,Constituency - Research and independent,Mr. Timothy Aldred,London,United Kingdom of Great Britain and Northern Ireland
The Federation for Associations Connected to the International Humana People to People Movement,Non-governmental organizations,Constituency - Environmental,Mr. David Kerkhofs,Geneva,Switzerland
The Food Foundation,Non-governmental organizations,Constituency - Research and independent,Ms. Rosalia Salik,London,United Kingdom of Great Britain and Northern Ireland
The Gaia Foundation,Non-governmental organizations,Constituency - Environmental CJN,Ms. Fiona Karen Wilton,London,United Kingdom of Great Britain and Northern Ireland
The Geological Society of London,Non-governmental organizations,Constituency - Research and independent,Ms. Megan O'Donnell,London,United Kingdom of Great Britain and Northern Ireland
The George Washington University,Non-governmental organizations,Constituency - Research and independent,Mr. Robert Orttung,Washington,United States of America
The Gold Standard Foundation,Non-governmental organizations,Constituency - Research and independent,Ms. Sarah Leugers,Geneva,Switzerland
"The Good Food Institute, Inc.",Non-governmental organizations,,Ms. Stephanie von Stein,Washington,United States of America
The Green Initiative,Non-governmental organizations,Constituency - Environmental,Mr. Lucas Carvalho Pereira,São Paolo,Brazil
The Institute of Environmental Management and Assessment,Non-governmental organizations,Constituency - Environmental,Mr. Nicholas J Blyth,Lincoln,United Kingdom of Great Britain and Northern Ireland
The Institution of Chemical Engineers,Non-governmental organizations,Constituency - Business and Industry,Ms. Alana Collis,,United Kingdom of Great Britain and Northern Ireland
The Institution of Engineering and Technology,Non-governmental organizations,Constituency - Business and Industry,Ms. Alice Elisabeth Myles,Stevenage,United Kingdom of Great Britain and Northern Ireland
The Interfaith Center for Sustainable Development,Non-governmental organizations,Constituency - Environmental,Mr. Yonatan Neril,Jerusalem,Israel
The Kenya Climate Change Working Group Association,Non-governmental organizations,Constituency - Environmental CAN,Mr. Obed Omete Koringo,Nairobi,Kenya
The Landscape Institute,Non-governmental organizations,Constituency - Environmental,Ms. Dilraj Sokhi-Watson,London,United Kingdom of Great Britain and Northern Ireland
The Landworkers’ Alliance,Non-governmental organizations,,,,
The Lutheran World Federation,Non-governmental organizations,Constituency - Research and independent,Ms. Elena Cedillo Vargas,Geneva 2,Switzerland
The Mark Leonard Trust,Non-governmental organizations,Constituency - Environmental,Ms. Eva Mohler-Beresford,London,United Kingdom of Great Britain and Northern Ireland
The National Farmers Union,Non-governmental organizations,Constituency - Farmers,Ms. Nancy Fuller,Kenilworth,United Kingdom of Great Britain and Northern Ireland
The Nature Conservancy,Non-governmental organizations,Constituency - Environmental CAN,Mr. John Dennis Verdieck,Arlington,United States of America
The Optical Society,Non-governmental organizations,Constituency - Research and independent,Mr. David Lang,Washington,United States of America
The Raoul Wallenberg Institute of Human Rights and Humanitarian Law,Non-governmental organizations,Constituency - Research and independent,Mr. Victor Bernard,Lund,Sweden
The Regeneration Project/Interfaith Power and Light,Non-governmental organizations,,,,
The Rockefeller Foundation,Non-governmental organizations,Constituency - Research and independent,Ms. Elizabeth Yee,New York,United States of America
The Royal Incorporation of Architects in Scotland,Non-governmental organizations,Constituency - Environmental,Ms. Karen Stevenson,Edinburgh,United Kingdom of Great Britain and Northern Ireland
The Royal Society,Non-governmental organizations,Constituency - Research and independent,Ms. Elizabeth Surkovic,London,United Kingdom of Great Britain and Northern Ireland
The Royal Society for the Protection of Birds,Non-governmental organizations,Constituency - Environmental,Ms. Beatriz Luraschi,Sandy,United Kingdom of Great Britain and Northern Ireland
The Stanley Foundation,Non-governmental organizations,Constituency - Research and independent,Mr. Huan-Rei Ulysses Tang,Muscatine,United States of America
The Sunrise Project Australia Limited,Non-governmental organizations,Constituency - Environmental,Ms. Areeba Hamid,Surry Hills,Australia
The UK Emissions Trading Group,Non-governmental organizations,Constituency - Business and Industry,Mr. John Craven,London,United Kingdom of Great Britain and Northern Ireland
The University of Arizona,Non-governmental organizations,Constituency - Research and independent,Ms. Diana Liverman,Tucson,United States of America
The University of British Columbia,Non-governmental organizations,Constituency - Research and independent,Ms. Emily MacDougall,Vancouver,Canada
The University of Manchester,Non-governmental organizations,Constituency - Research and independent,Ms. Rachel Emily Lyons,Manchester,United Kingdom of Great Britain and Northern Ireland
The University of Sheffield,Non-governmental organizations,Constituency - Research and independent,Ms. Deborah Jane Beck,Sheffield,United Kingdom of Great Britain and Northern Ireland
"The V. Kann Rasmussen Foundation, Inc.",Non-governmental organizations,Constituency - Environmental,Ms. Irene Krarup,New York,United States of America
The V.I. Vernadsky Nongovernmental Ecological Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Andrey Cheshev,Moscow,Russian Federation
The Vegan Society,Non-governmental organizations,Constituency - Environmental,Ms. Louise Claire Davies,Birmingham,United Kingdom of Great Britain and Northern Ireland
The Waste and Resources Action Programme,Non-governmental organizations,Constituency - Environmental,Ms. Deanne Roche,Banbury,United Kingdom of Great Britain and Northern Ireland
The William and Flora Hewlett Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Mary Flannelly,Menlo Park,United States of America
The Word Forest Organisation,Non-governmental organizations,Constituency - Environmental,Mr. Simon West,Lyme Regis,United Kingdom of Great Britain and Northern Ireland
Thin Green Line Foundation UK Ltd,Non-governmental organizations,Constituency - Environmental,Ms. Abi Gatty Irving,Weybridge,United Kingdom of Great Britain and Northern Ireland
Third Generation Environmentalism,Non-governmental organizations,Constituency - Environmental CAN,Ms. Camilla Born,London,United Kingdom of Great Britain and Northern Ireland
Third World Network,Non-governmental organizations,Constituency - Environmental CJN,Ms. Meenakshi Raman,Penang,Malaysia
Transform Scotland,Non-governmental organizations,Constituency - Environmental,Mr. Colin Howden,Edinburgh,United Kingdom of Great Britain and Northern Ireland
Transforma,Non-governmental organizations,Constituency - Environmental CAN,Mr. Syed Aminul Hoque,Dhaka,Bangladesh
Transparency International,Non-governmental organizations,Constituency - Research and independent,Mr. Brice Antoine Boehmer,Berlin,Germany
True Animal Protein Price Coalition,Non-governmental organizations,Constituency - Environmental,Mr. Jeroom Remmers,Amsterdam,Netherlands
Trustees of the University of Pennsylvania,Non-governmental organizations,Constituency - Research and independent,Mr. Mark Alan Hughes,Philadelphia,United States of America
Trustees of Tufts College,Non-governmental organizations,Constituency - Research and independent,Ms. Nitsan Shakked,Somerville,United States of America
Turkish Industry and Business Association,Non-governmental organizations,Constituency - Business and Industry,Ms. Nursen Numanoglu,Istanbul,Turkey
Turkish Society of HVAC and Sanitary Engineers,Non-governmental organizations,Constituency - Business and Industry,Ms. Gamze Esener,Ankara,Turkey
U.S. Climate Action Network,Non-governmental organizations,Constituency - Environmental CAN,Ms. Carrie Clayton,Washington,United States of America
U.S. Green Building Council,Non-governmental organizations,Constituency - Environmental CAN,Ms. Elizabeth Beardsley,Washington,United States of America
UCC WHALE Center,Non-governmental organizations,Constituency - Environmental,Mr. David Randle,St Petersburg,United States of America
UiT The Arctic University of Norway,Non-governmental organizations,Constituency - Research and independent,,Tromso,Norway
UK Green Building Council,Non-governmental organizations,Constituency - Business and Industry,Ms. Julie Hirigoyen,London,United Kingdom of Great Britain and Northern Ireland
UK Student Climate Network,Non-governmental organizations,Constituency - Youth,Ms. Freya Tischkowitz,London,United Kingdom of Great Britain and Northern Ireland
UK100 Cities Network Ltd,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Talia Berriman,London,United Kingdom of Great Britain and Northern Ireland
Uma Gota No Oceano,Non-governmental organizations,Constituency - Indigenous peoples,Sra. Maria Paula Fernandes,Brazil,Brazil
UNEP - Finance Initiative,Non-governmental organizations,Constituency - ENGO,Mr. Kai-Remco Fischer,Geneva,Switzerland
UNICA - Brazilian Sugarcane Industry Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Eduardo Luis Leão de Sousa,Sao Paulo,Brazil
Unidad Nacional de Asociaciones de Ingenieros A.C.,Non-governmental organizations,Constituency - Business and Industry,Sr. Omar Guadarrama Cedillo,,Mexico
Unión de Industriales para Saneamiento Cuencas Matanza Riachuelo y Reconquista,Non-governmental organizations,Constituency - Business and Industry,Mr. Mariano Villares,Buenos Aires,Argentina
Union of Concerned Scientists,Non-governmental organizations,Constituency - Environmental CAN,Ms. Rachel Cleetus,Cambridge,United States of America
Union of the Electricity Industry,Non-governmental organizations,Constituency - Business and Industry,Mr. Henning Häder,Brussels,Belgium
Unis-Terre,Non-governmental organizations,Constituency - Environmental,Ms. Maelle Durant,Marseille Cedex 09,France
Unitarian Universalist Association,Non-governmental organizations,Constituency - Research and independent,Mr. Bruce Knotts,New York,0
United Cities and Local Governments,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Emilia Sáiz Carrancedo,Barcelona,Spain
United Cities of Local Governments of Africa,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Mohamed Nbou,Rabat,Morocco
United Kingdom Youth Climate Coalition Limited,Non-governmental organizations,Constituency - Youth,Ms. Sarah Dobson,Forest Row,United Kingdom of Great Britain and Northern Ireland
United Methodist Church - General Board of Church and Society,Non-governmental organizations,Constituency - ENGO,Mr. Liberato Bautista,New York,United States of America
United Mine Workers of America,Non-governmental organizations,Constituency - Trade Unions,Mr. Eugene Marc Trisko,Triangle,United States of America
United Nations Association for Development and Peace,Non-governmental organizations,,,,
United Nations Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Ryan Hobert,Washington,United States of America
United Nations of Youth Network,Non-governmental organizations,Constituency - Youth,Mr. Goodluck Odimegwu Obi,Lagos,Nigeria
United States Chamber of Commerce,Non-governmental organizations,Constituency - Business and Industry,Mr. Daniel Everett Byers,Washington,United States of America
United States Conference of Mayors,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Luis Renta,Washington,United States of America
United States Council for International Business,Non-governmental organizations,Constituency - Business and Industry,Ms. Norine Kennedy,New York,United States of America
Universal Versatile Society,Non-governmental organizations,Constituency - Environmental,Mr. Narayan Solanke,Washim,India
Universidad de Barcelona,Non-governmental organizations,Constituency - Research and independent,Ms. Maria del Mar Campins Eritja,Barcelona,Spain
Universidad de las Islas Baleares,Non-governmental organizations,Constituency - Research and independent,Mr. Pau de Vilchez Moragues,Palma,Spain
Universidad de Valladolid,Non-governmental organizations,Constituency - Research and independent,Mr. Luis Javier Miguel González,Valladolid,Spain
Universidad EARTH,Non-governmental organizations,Constituency - Youth,Sra. Karina Poveda Coto,San José,Costa Rica
Universidad Politécnica de Cataluña,Non-governmental organizations,Constituency - Research and independent,Ms. Olga Alcaraz Sendra,Barcelona,Spain
Universite Cote d’Azur,Non-governmental organizations,,,,
Université de Brest,Non-governmental organizations,Constituency - Research and independent,M. Yves-Marie Paulet,Brest,France
Université de Liège,Non-governmental organizations,Constituency - Research and independent,Mr. François Gemenne,Liège,Belgium
Université du Québec à Montréal,Non-governmental organizations,Constituency - Research and independent,M. Claude Codjia,Montréal,Canada
Université Libre de Bruxelles,Non-governmental organizations,Constituency - Research and independent,Mr. Romain Weikmans,Ixelles,Belgium
Universitetet i Bergen,Non-governmental organizations,Constituency - Research and independent,Mr. Tore Furevik,Bergen,Norway
Universities Space Research Association,Non-governmental organizations,Constituency - Research and independent,Mr. Miguel Roman,Columbia,United States of America
"University College Cork - National University of Ireland, Cork",Non-governmental organizations,Constituency - Research and independent,Mr. Brian O Gallachoir,Cork,Ireland
University College London,Non-governmental organizations,Constituency - Research and independent,Mr. Mark Maslin,London,United Kingdom of Great Britain and Northern Ireland
University Corporation for Atmospheric Research,Non-governmental organizations,Constituency - Research and independent,Ms. Linda Opal Mearns,Boulder,United States of America
"University Luigi Bocconi, Institute of Energy and Environment Economics and Policy",Non-governmental organizations,Constituency - Research and independent,Mr. Edoardo Croci,Milan,Italy
University of Zurich,Non-governmental organizations,Constituency - Research and independent,Ms. Anna Katharina Michaelowa,Zurich,Switzerland
University of Aberdeen,Non-governmental organizations,Constituency - Research and independent,Sra. Ana Payo-Payo,Aberdeen,United Kingdom of Great Britain and Northern Ireland
University of Applied Sciences Cologne,Non-governmental organizations,Constituency - Research and independent,Ms. Justyna Sycz,Cologne,Germany
University of Bayreuth,Non-governmental organizations,Constituency - Research and independent,Ms. Anja Jaeschke,Bayreuth,Germany
University of Birmingham,Non-governmental organizations,Constituency - Research and independent,Mr. Jeremy Swan,Birmingham,United Kingdom of Great Britain and Northern Ireland
University of Bradford,Non-governmental organizations,Constituency - Research and independent,Mr. Anand Prathivadi Bhayankaram,Bradford,United Kingdom of Great Britain and Northern Ireland
University of Bristol,Non-governmental organizations,Constituency - Research and independent,Ms. Jemma Wadham,Bristol,United Kingdom of Great Britain and Northern Ireland
University of Calgary,Non-governmental organizations,Constituency - Research and independent,Ms. Sharon Lorene Mascher,Calgary,Canada
University of California,Non-governmental organizations,Constituency - Research and independent,Mr. Robert Monroe,San Diego,United States of America
University of Cambridge,Non-governmental organizations,Constituency - Business and Industry,Mr. Eliot Whittington,Cambridge,United Kingdom of Great Britain and Northern Ireland
University of Colorado at Boulder,Non-governmental organizations,Constituency - Research and independent,Mr. James William Carl White,Boulder,United States of America
University of Connecticut,Non-governmental organizations,Constituency - Research and independent,Ms. Zahra Syed Ali,Storrs,United States of America
University of Copenhagen,Non-governmental organizations,Constituency - Research and independent,Ms. Annette Kathe Jeholm,Copenhagen,Denmark
University of Dundee,Non-governmental organizations,Constituency - Research and independent,Ms. Michelle Swain,Dundee,United Kingdom of Great Britain and Northern Ireland
University of Durham,Non-governmental organizations,Constituency - Research and independent,Mr. Adam Holden,Durham,United Kingdom of Great Britain and Northern Ireland
University of East Anglia,Non-governmental organizations,Constituency - Research and independent,Mr. Asher Minns,Norwich,United Kingdom of Great Britain and Northern Ireland
University of Eastern Finland,Non-governmental organizations,Constituency - Research and independent,Ms. Kati Kulovesi,Kuopio,Finland
University of Edinburgh,Non-governmental organizations,Constituency - Research and independent,Mr. Eladio Figueroa Cabrera,Edinburgh,United Kingdom of Great Britain and Northern Ireland
University of Exeter,Non-governmental organizations,Constituency - Research and independent,Mr. Alexander Huke,Exeter,United Kingdom of Great Britain and Northern Ireland
University of Geneva,Non-governmental organizations,Constituency - Research and independent,Mme Evelina Trutnevyte,Genève,Switzerland
University of Genoa,Non-governmental organizations,Constituency - Research and independent,Ms. Adriana Del Borghi,Genova,Italy
University of Gothenburg,Non-governmental organizations,Constituency - Business and Industry,Mr. Karl Eriksson,Göteborg,Sweden
University of Hamburg,Non-governmental organizations,Constituency - Research and independent,Mr. Stefan Cihan Aykut,Hamburg,Germany
University of Hawaii,Non-governmental organizations,Constituency - Youth,Mr. Matthew Kamakani Lynch,Honolulu,United States of America
University of Heidelberg,Non-governmental organizations,Constituency - Research and independent,Mr. Alex Giurca,Heidelberg,Germany
University of Helsinki,Non-governmental organizations,Constituency - Research and independent,Ms. Anna Matilda Lintunen,Helsinki,Finland
University of Hull,Non-governmental organizations,Constituency - Research and independent,Mr. Daniel Parsons,Hull,United Kingdom of Great Britain and Northern Ireland
University of Illinois,Non-governmental organizations,Constituency - Research and independent,Ms. Meredith Kaye Moore,Urbana,United States of America
University of Leeds,Non-governmental organizations,Constituency - Research and independent,Ms. Shona Cowan Smith,Leeds,United Kingdom of Great Britain and Northern Ireland
University of Leuven,Non-governmental organizations,Constituency - Research and independent,Ms. Katja Biedenkopf,Leuven,Belgium
University of Linköping,Non-governmental organizations,Constituency - Research and independent,Mr. Mathias Fridahl,Norrkoping,Sweden
University of Liverpool,Non-governmental organizations,Constituency - Research and independent,Ms. Hannah Dutton,Liverpool,United Kingdom of Great Britain and Northern Ireland
"University of Maastricht, Institute for Transnational Legal Research",Non-governmental organizations,Constituency - Research and independent,Ms. Marjan Peeters,Maastricht,Netherlands
University of Maine,Non-governmental organizations,Constituency - Research and independent,Ms. Cynthia Isenhour,Orono,United States of America
University of Maryland,Non-governmental organizations,Constituency - Research and independent,Ms. Shannon Kathleen Kennedy,College Park,United States of America
University of Massachusetts Lowell,Non-governmental organizations,Constituency - Research and independent,Mr. Jarrod Hayes,Lowell,United States of America
University of Miami,Non-governmental organizations,Constituency - Research and independent,Ms. Jessica Owley,Miami,United States of America
University of Michigan,Non-governmental organizations,Constituency - Research and independent,Mr. Jose Alfaro,Ann Arbor,United States of America
University of Minnesota,Non-governmental organizations,Constituency - Research and independent,Ms. Elizabeth Mercer-Taylor,Minneapolis,United States of America
University of Modena and Reggio Emilia,Non-governmental organizations,Constituency - Research and independent,Ms. Barbara Rebecchi,Modena,Italy
University of New England,Non-governmental organizations,Constituency - Youth,Ms. Holly Parker,Biddeford,United States of America
University of Newcastle upon Tyne,Non-governmental organizations,Constituency - Research and independent,Mr. Matt Dunlop,Newcastle upon Tyne,United Kingdom of Great Britain and Northern Ireland
University of Nijmegen,Non-governmental organizations,Constituency - Research and independent,Ms. Carlijn Hendriks,Nijmegen,Netherlands
University of North Carolina,Non-governmental organizations,Constituency - Research and independent,Ms. Angel Hsu,Chapel Hill,United States of America
University of Nottingham,Non-governmental organizations,Constituency - Research and independent,Mr. Chris Sims,Nottingham,United Kingdom of Great Britain and Northern Ireland
University of Oslo,Non-governmental organizations,Constituency - Research and independent,Ms. Christina Voigt,Oslo,Norway
University of Oxford,Non-governmental organizations,Constituency - Research and independent,Ms. Anne Loreto Ryan,Oxford,United Kingdom of Great Britain and Northern Ireland
University of Plymouth,Non-governmental organizations,Constituency - Research and independent,Ms. Deborah Greaves,Plymouth,United Kingdom of Great Britain and Northern Ireland
University of Potsdam,Non-governmental organizations,Constituency - Research and independent,Mr. Harald Fuhr,Potsdam,Germany
University of Reading,Non-governmental organizations,Constituency - Research and independent,Ms. Rosalind Cornforth,Reading,United Kingdom of Great Britain and Northern Ireland
University of Saskatchewan,Non-governmental organizations,Constituency - Research and independent,Ms. Marcia McKenzie,Saskatoon,Canada
University of Southampton,Non-governmental organizations,Constituency - Research and independent,Mr. Damon Teagle,Southampton,United Kingdom of Great Britain and Northern Ireland
University of Southern Denmark,Non-governmental organizations,Constituency - Research and independent,Mr. Nicola Tollin,Odense M,Denmark
University of St Andrews,Non-governmental organizations,Constituency - Research and independent,Mr. Derek Watson,St Andrews,United Kingdom of Great Britain and Northern Ireland
University of Stirling,Non-governmental organizations,Constituency - Research and independent,Mr. Matthew Francis,Stirling,United Kingdom of Great Britain and Northern Ireland
University of Strathclyde,Non-governmental organizations,Constituency - Research and independent,Ms. Clare McLaren,Glasgow,United Kingdom of Great Britain and Northern Ireland
University of Surrey,Non-governmental organizations,Constituency - Research and independent,Mr. Richard Murphy,"Guildford, Surrey",United Kingdom of Great Britain and Northern Ireland
University of Sussex - Sussex Energy Group,Non-governmental organizations,Constituency - Environmental,Mr. Rob Byrne,Brighton,United Kingdom of Great Britain and Northern Ireland
University of Technology Malaysia,Non-governmental organizations,Constituency - Research and independent,Mr. Mohd Ismail Abd Aziz,Johor,Malaysia
University of Texas at Austin,Non-governmental organizations,Constituency - Research and independent,Ms. Katherine Duncker Romanak,Austin,United States of America
University of Tokyo,Non-governmental organizations,Constituency - Research and independent,Mr. Hiroyuki Furuya,Tokyo,Japan
University of Toronto,Non-governmental organizations,Constituency - Research and independent,Mr. Matthew Hoffmann,Toronto,Canada
University of Vermont,Non-governmental organizations,Constituency - Research and independent,Ms. Bettine Gioia Thompson,Burlington,United States of America
University of Victoria,Non-governmental organizations,Constituency - Research and independent,Ms. Morag Mochan,Victoria,Canada
University of Warwick,Non-governmental organizations,Constituency - Research and independent,Mr. Hopi Sen,Coventry,United Kingdom of Great Britain and Northern Ireland
University of Washington,Non-governmental organizations,Constituency - Research and independent,Mr. Jeffrey Milner Riedinger,Seattle,United States of America
University of Waterloo,Non-governmental organizations,Constituency - Research and independent,Mr. Simon Christian Glauser,Waterloo,Canada
University of Wyoming,Non-governmental organizations,Constituency - Research and independent,Ms. Jean Anne Garrison,Laramie,United States of America
University of York,Non-governmental organizations,Constituency - Research and independent,Mr. David Diston,Heslington,United Kingdom of Great Britain and Northern Ireland
Uppsala University,Non-governmental organizations,Constituency - Research and independent,Ms. Carmen Rosa Medina Llanos,Uppsala,Sweden
Urgenda Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Dennis van Berkel,Zaandam,Netherlands
urgewald e.V.,Non-governmental organizations,Constituency - Environmental,Ms. Kathrin Petz,Sassenberg,Germany
Value Reporting Foundation,Non-governmental organizations,Constituency - Business and Industry,Ms. Juliet Markham,San Francisco,United States of America
Vanderbilt University,Non-governmental organizations,Constituency - Research and independent,Ms. Leah Dundon,Nashville,United States of America
Vanke Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Dan Wu,Shenzhen,China
Vasudha Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Srinivas Krishnaswamy,New Delhi,India
