name,entity_type,constituency,coordinator,city,country
Asociación AK Tenamit,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Stephen Dudenhoefer,Izabal,Guatemala
Asociación Ambiente y Sociedad,Non-governmental organizations,Constituency - Environmental CAN,Sra. Blanca Maria Margarita Florez Alonso,Bogotá,Colombia
Asociación Civil Oikos,Non-governmental organizations,Constituency - Environmental,Mr. Eric Chavez,Lima,Peru
Asociación Civil Sustentar para el Desarrollo Sostenible,Non-governmental organizations,Constituency - Environmental,Sra. Giselle Quintenla,Ciudad Autonoma de Buenos Aires,Argentina
Asociación Cluster de Industrias de Medio Ambiente de Euskadi,Non-governmental organizations,Constituency - Business and Industry,Sra. Begoña Castillo,Bilbao,Spain
Asociación Coordinadora Latinoamericana y del Caribe de Pequeños Productores de Comercio Justo,Non-governmental organizations,Constituency - Business and Industry,Ms. Xiomara J. Paredes,San Salvador,El Salvador
Asociación de Comunidades Forestales de Petén,Non-governmental organizations,,Mr. Marcedonio Cortave,Petén,Guatemala
Asociación de Empresas de Energía Eléctrica,Non-governmental organizations,Constituency - Business and Industry,Mr. Luis Alberca Carpintero,Madrid,Spain
Asociación Española del Gas,Non-governmental organizations,Constituency - Business and Industry,Ms. Naiara Ortiz de Mendíbil,Barcelona,Spain
Asociación Española para la Economía Energética,Non-governmental organizations,Constituency - Research and independent,Mr. Miguel Ángel Muñoz Rodríguez,Vigo,Spain
Asociación Interamericana para la Defensa del Ambiente,Non-governmental organizations,Constituency - Environmental CAN,Sra. Florencia Ortúzar,Oakland,United States of America
Asociación Interétnica de Desarrollo de la Selva Peruana,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Roberto Alfonso Espinoza Llanos,Lima,Peru
Asociación La Ruta del Clima,Non-governmental organizations,Constituency - Environmental,Mr. Adrian Alberto Martinez Blanco,San José,Costa Rica
Asociación Nacional de Empresas de Servicios Energéticos,Non-governmental organizations,Constituency - Environmental,Mr. Luis Alvarez,Madrid,Spain
Asociacion para la Naturaleza y Desarrollo Sostenible,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Alejandro Argumedo,Cusco,Peru
Asociación Proteger,Non-governmental organizations,Constituency - Environmental,Sr. Juan H. Ortiz Burgos,Buenos Aires,Argentina
Asociación Regional de Empresas de Petróleo y Gas Natural en Latinoamérica y el Caribe,Non-governmental organizations,Constituency - Business and Industry,Sra. Irene Alfaro Barrios,Montevideo,Uruguay
Assemblée des Régions d’Europe,Non-governmental organizations,,,,
Assembly of First Nations,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Regina Toulouse,Ottawa,Canada
Association Actions Vitales Pour Le Développement Durable,Non-governmental organizations,Constituency - Youth,Mr. Affana Affana Jean Paul Brice,Yaounde,Cameroon
Association Climate-KIC,Non-governmental organizations,Constituency - Business and Industry,,London,United Kingdom of Great Britain and Northern Ireland
Association de la Jeunesse Congolaise pour le Développement,Non-governmental organizations,,,,
Association Des 3 Hérissons,Non-governmental organizations,Constituency - Environmental,Ms. Mengjiao Wang,Carpentras,France
Association des Clubs des Amis de la Nature du Cameroun,Non-governmental organizations,,,,
Association des Enseignants des Sciences de la Vie et de la Terre,Non-governmental organizations,Constituency - Environmental,Mr. Mohamed Chaouki,Casablanca,Morocco
Association des Femmes Peules et Peuples Autochtones du Tchad,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Hindou Oumarou Ibrahim,N'Djamena,Chad
Association des Jeunes pour le Développement du Ouaddai,Non-governmental organizations,,,,
Association des Scientifiques Environnementalistes pour un Développement Intégré,Non-governmental organizations,Constituency - Environmental,Mr. Mohamed-Awali Ouro-Djeri Djobo,Lome,Togo
Association du Gharb pour la Protection de l’Environnement,Non-governmental organizations,,,,
Association Femmes Bladi pour le Développement et le Tourisme,Non-governmental organizations,Constituency - Environmental,Ms. Samia El Baouchi,Sefrou,Morocco
Association for Sustainable Development Milieukontakt Macedonia,Non-governmental organizations,,,,
Association Française des Entreprises pour l’Environnement,Non-governmental organizations,,,,
