"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","X","file_iso","name","continent"
"23",23,0.0037198702239689,0.027172813860408,0.0177214141079996,0.00957818326997387,0.0536011375990025,0.00655086301706157,0.00976473552773934,0.871890982393846,23,"CHN","China","Asia"
"24",24,0.00247306641862195,0.000586608358971704,0.00523778224568332,0.000426519535780843,0.0736497570724483,0.0750031285478017,0.0655357847893604,0.777087353031332,24,"COG","Congo - Brazzaville","Africa"
"25",25,1.14547992257454e-05,5.18246251059663e-05,0.00325065699947663,8.29423224071051e-05,0.000105300757570971,0.993928523402284,0.00231635562977372,0.000252941464156327,25,"COL","Colombia","Americas"
"26",26,0.00140145808211455,0.000451724545892444,0.0409827525998643,0.000174971355641749,0.0222848686959296,0.00698975850427523,0.0320537903228691,0.895660675893413,26,"CPV","Cape Verde","Africa"
"27",27,0.000300947925881263,0.00122372103492118,0.0118292027523002,0.0141235031164045,0.00197805234475566,0.956853619192555,0.00318033051876097,0.0105106231144216,27,"CRI","Costa Rica","Americas"
"28",28,1.27440678023528e-05,0.000132629586208142,0.00201466161025701,0.0226568562256486,0.000152353915834291,0.974243317248024,0.000230473779971227,0.000556963566253674,28,"CRI","Costa Rica","Americas"
"29",29,0.00371463572199691,0.00169632527775453,0.0634083256010509,0.00307619488974018,0.020419208702707,0.315998677200494,0.0035599289142715,0.588126703691985,29,"CUB","Cuba","Americas"
"30",30,5.96729246447413e-05,0.000217319820696912,0.000530423418056972,0.998226696698693,0.000124430257521371,0.000265502328920232,7.06343536970127e-05,0.000505320197769451,30,"CYP","Cyprus","Asia"
"31",31,5.96729246447419e-05,0.000217319820696915,0.000530423418056972,0.998226696698693,0.000124430257521374,0.000265502328920234,7.06343536970135e-05,0.000505320197769463,31,"CZE","Czechia","Europe"
"32",32,5.96729246447428e-05,0.000217319820696918,0.000530423418056982,0.998226696698693,0.000124430257521376,0.000265502328920238,7.06343536970144e-05,0.000505320197769465,32,"DEU","Germany","Europe"
"33",33,5.96729246447413e-05,0.000217319820696914,0.000530423418056972,0.998226696698693,0.000124430257521373,0.000265502328920234,7.06343536970134e-05,0.000505320197769453,33,"DNK","Denmark","Europe"
